,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
0,17.0,15.0,20.0,18.0,211.0,3.0,0.0,1.0,2.0,14.48,22.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,1,0,
1,19.0,17.0,23.0,21.0,211.0,3.0,0.0,1.0,2.0,14.99,23.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,2,0,
2,21.0,19.0,26.0,24.0,211.0,3.0,0.0,1.0,2.0,15.5,20.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,3,0,
3,23.0,21.0,29.0,27.0,231.0,3.0,0.0,1.0,2.0,15.5,32.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,4,0,
4,25.0,23.0,32.0,30.0,225.0,3.0,0.0,1.0,2.0,15.5,28.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,5,0,
5,27.0,25.0,35.0,33.0,219.0,3.0,0.0,1.0,2.0,15.98,26.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,6,0,
6,29.0,27.0,38.0,36.0,234.0,3.0,0.0,1.0,2.0,15.98,35.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,7,0,
7,31.0,29.0,41.0,39.0,226.0,3.0,0.0,1.0,2.0,15.98,36.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,8,0,
8,33.0,31.0,44.0,42.0,235.0,3.0,0.0,1.0,2.0,15.98,35.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,9,0,
9,35.0,33.0,47.0,45.0,236.0,3.0,0.0,1.0,2.0,16.0,45.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,10,0,
10,37.0,35.0,50.0,48.0,229.0,3.0,0.0,1.0,2.0,16.0,37.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,11,0,
11,39.0,37.0,53.0,51.0,246.0,3.0,0.0,1.0,2.0,16.48,51.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,12,0,
12,41.0,39.0,56.0,54.0,234.0,3.0,0.0,1.0,2.0,16.48,43.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,13,0,
13,43.0,41.0,59.0,57.0,243.0,3.0,0.0,1.0,2.0,16.48,48.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,14,0,
14,45.0,43.0,62.0,60.0,245.0,3.0,0.0,1.0,2.0,16.48,51.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,15,0,
15,120.0,56.0,236.0,81.0,351.0,9.0,0.0,1.0,30.0,21.44,137.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,1,0,
16,140.0,68.0,280.0,105.0,364.0,9.0,0.0,1.0,32.0,22.96,141.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,2,0,
17,160.0,80.0,324.0,129.0,398.0,9.0,0.0,1.0,34.0,24.48,174.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,3,0,
18,180.0,92.0,368.0,153.0,398.0,9.0,0.0,1.0,36.0,26.48,178.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,4,0,
19,200.0,104.0,412.0,177.0,425.0,9.0,0.0,1.0,38.0,8.26,197.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,5,0,
20,220.0,116.0,456.0,201.0,466.0,9.0,0.0,1.0,40.0,18.16,234.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,6,0,
21,240.0,128.0,500.0,225.0,476.0,9.0,0.0,1.0,42.0,21.22,217.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,7,0,
22,260.0,140.0,544.0,249.0,471.0,9.0,0.0,1.0,44.0,24.29,232.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,8,0,
23,280.0,152.0,588.0,273.0,521.0,9.0,0.0,1.0,46.0,26.3,267.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,9,0,
24,300.0,164.0,632.0,297.0,521.0,9.0,0.0,1.0,48.0,28.37,264.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,10,0,
25,320.0,176.0,676.0,321.0,561.0,9.0,0.0,1.0,50.0,31.41,319.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,11,0,
26,340.0,188.0,720.0,345.0,576.0,9.0,0.0,1.0,52.0,32.45,325.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,12,0,
27,360.0,200.0,764.0,369.0,589.0,9.0,0.0,1.0,54.0,36.47,313.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,13,0,
28,380.0,212.0,808.0,393.0,571.0,9.0,0.0,1.0,56.0,37.5,302.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,14,0,
29,400.0,224.0,852.0,417.0,592.0,9.0,0.0,1.0,58.0,41.52,335.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,15,0,
30,787.0,166.0,2316.0,277.0,1231.0,29.0,0.0,1.0,318.0,73.67,879.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,1,0,
31,935.0,204.0,2779.0,364.0,1514.0,29.0,0.0,1.0,359.0,25.6,1147.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,2,0,
32,1083.0,232.0,3243.0,429.0,1834.0,29.0,0.0,1.0,396.0,126.53,1401.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,3,0,
33,1231.0,282.0,3708.0,541.0,2280.0,29.0,0.0,1.0,435.0,110.65,1810.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,4,0,
34,1379.0,316.0,4172.0,622.0,2575.0,29.0,0.0,1.0,474.0,104.0,2087.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,5,0,
35,1527.0,339.0,4636.0,673.0,3028.0,29.0,0.0,1.0,513.0,116.45,2483.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,6,0,
36,1675.0,375.0,5100.0,755.0,3495.0,28.0,0.0,1.0,550.0,115.38,2905.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,7,0,
37,1823.0,411.0,5563.0,837.0,4033.0,28.0,0.0,1.0,588.0,92.3,3348.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,8,0,
38,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,9,0,
39,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,4,1,0,
40,17.0,15.0,20.0,18.0,208.0,1.0,0.0,1.0,2.0,14.48,19.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,1,1,
41,19.0,17.0,23.0,21.0,214.0,1.0,0.0,1.0,2.0,15.5,23.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,2,1,
42,21.0,19.0,26.0,24.0,209.0,1.0,0.0,1.0,2.0,15.5,23.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,3,1,
43,23.0,21.0,29.0,27.0,214.0,1.0,0.0,1.0,2.0,15.5,25.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,4,1,
44,25.0,23.0,32.0,30.0,216.0,1.0,0.0,1.0,2.0,15.5,26.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,5,1,
45,27.0,25.0,35.0,33.0,219.0,1.0,0.0,1.0,2.0,15.5,24.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,6,1,
46,29.0,27.0,38.0,36.0,229.0,1.0,0.0,1.0,2.0,15.98,35.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,7,1,
47,31.0,29.0,41.0,39.0,220.0,1.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,8,1,
48,33.0,31.0,44.0,42.0,233.0,1.0,0.0,1.0,2.0,15.98,40.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,9,1,
49,35.0,33.0,47.0,45.0,231.0,1.0,0.0,1.0,2.0,16.0,36.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,10,1,
50,37.0,35.0,50.0,48.0,235.0,1.0,0.0,1.0,2.0,16.0,44.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,11,1,
51,39.0,37.0,53.0,51.0,233.0,1.0,0.0,1.0,2.0,16.0,41.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,12,1,
52,41.0,39.0,56.0,54.0,233.0,1.0,0.0,1.0,2.0,16.48,39.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,13,1,
53,43.0,41.0,59.0,57.0,235.0,1.0,0.0,1.0,2.0,16.48,40.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,14,1,
54,45.0,43.0,62.0,60.0,243.0,1.0,0.0,1.0,2.0,16.96,47.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,15,1,
55,120.0,56.0,232.0,81.0,346.0,10.0,0.0,1.0,32.0,21.44,130.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,1,1,
56,140.0,68.0,274.0,105.0,367.0,14.0,0.0,1.0,36.0,23.44,138.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,2,1,
57,160.0,80.0,316.0,129.0,374.0,18.0,0.0,1.0,40.0,25.92,145.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,3,1,
58,180.0,92.0,357.0,153.0,434.0,22.0,0.0,1.0,44.0,8.1,203.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,4,1,
59,200.0,104.0,401.0,177.0,473.0,26.0,0.0,1.0,50.0,17.24,228.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,5,1,
60,220.0,116.0,441.0,201.0,505.0,30.0,0.0,1.0,52.0,22.26,251.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,6,1,
61,240.0,128.0,483.0,225.0,535.0,34.0,0.0,1.0,56.0,27.34,261.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,7,1,
62,260.0,140.0,526.0,249.0,520.0,38.0,0.0,1.0,60.0,32.36,238.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,8,1,
63,280.0,152.0,568.0,273.0,568.0,42.0,0.0,1.0,64.0,38.3,277.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,9,1,
64,300.0,164.0,609.0,297.0,542.0,46.0,0.0,1.0,68.0,44.32,263.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,10,1,
65,320.0,176.0,652.0,321.0,571.0,50.0,0.0,1.0,72.0,48.41,272.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,11,1,
66,340.0,188.0,694.0,345.0,630.0,54.0,0.0,1.0,76.0,53.42,322.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,12,1,
67,360.0,200.0,735.0,369.0,701.0,58.0,0.0,1.0,80.0,60.41,362.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,13,1,
68,380.0,212.0,778.0,393.0,638.0,62.0,0.0,1.0,84.0,67.47,315.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,14,1,
69,400.0,224.0,819.0,417.0,780.0,66.0,0.0,1.0,88.0,74.48,398.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,15,1,
70,779.0,161.0,2122.0,263.0,1290.0,82.0,0.0,1.0,221.0,98.27,828.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,1,1,
71,923.0,188.0,2509.0,321.0,1615.0,126.0,0.0,1.0,258.0,94.1,1088.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,2,1,
72,1067.0,225.0,2914.0,399.0,2295.0,199.0,0.0,1.0,303.0,144.22,1571.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,3,1,
73,1211.0,255.0,3304.0,465.0,2934.0,262.0,0.0,1.0,348.0,94.38,1953.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,4,1,
74,1355.0,294.0,3705.0,546.0,3347.0,322.0,0.0,1.0,393.0,47.0,2281.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,5,1,
75,1499.0,324.0,4136.0,613.0,4586.0,406.0,0.0,1.0,456.0,143.39,3202.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,6,1,
76,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,7,1,
77,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,4,1,1,
78,17.0,15.0,20.0,18.0,209.0,1.0,0.0,1.0,2.0,14.48,18.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,1,2,
79,19.0,17.0,23.0,21.0,217.0,1.0,0.0,1.0,2.0,15.5,21.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,2,2,
80,21.0,19.0,26.0,24.0,217.0,1.0,0.0,1.0,2.0,15.5,25.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,3,2,
81,23.0,21.0,29.0,27.0,215.0,1.0,0.0,1.0,2.0,15.5,24.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,4,2,
82,25.0,23.0,32.0,30.0,219.0,1.0,0.0,1.0,2.0,15.5,29.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,5,2,
83,27.0,25.0,35.0,33.0,223.0,1.0,0.0,1.0,2.0,15.5,35.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,6,2,
84,29.0,27.0,38.0,36.0,221.0,1.0,0.0,1.0,2.0,15.98,23.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,7,2,
85,31.0,29.0,41.0,39.0,225.0,1.0,0.0,1.0,2.0,15.98,29.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,8,2,
86,33.0,31.0,44.0,42.0,225.0,1.0,0.0,1.0,2.0,15.98,34.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,9,2,
87,35.0,33.0,47.0,45.0,226.0,1.0,0.0,1.0,2.0,16.0,34.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,10,2,
88,37.0,35.0,50.0,48.0,225.0,1.0,0.0,1.0,2.0,16.0,34.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,11,2,
89,39.0,37.0,53.0,51.0,245.0,1.0,0.0,1.0,2.0,16.0,52.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,12,2,
90,41.0,39.0,56.0,54.0,238.0,1.0,0.0,1.0,2.0,16.48,43.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,13,2,
