,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
31,122.0,21.0,244.0,27.0,263.0,19.0,0.0,1.0,46.0,23.62,90.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,5,1
32,170.0,24.0,339.0,31.0,289.0,22.0,0.0,1.0,61.0,25.14,127.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,6,1
33,228.0,31.0,464.0,43.0,354.0,31.0,0.0,1.0,86.0,28.18,155.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,7,1
34,292.0,39.0,603.0,57.0,451.0,27.0,0.0,1.0,105.0,17.44,269.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,8,1
35,364.0,45.0,757.0,67.0,445.0,31.0,0.0,1.0,132.0,23.58,259.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,9,1
36,444.0,49.0,913.0,71.0,478.0,42.0,0.0,1.0,147.0,28.76,258.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,10,1
37,532.0,55.0,1074.0,80.0,526.0,47.0,0.0,1.0,175.0,32.73,297.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,11,1
38,628.0,59.0,1328.0,86.0,584.0,48.0,0.0,2.0,223.0,47.7,353.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,12,1
39,732.0,93.0,1518.0,146.0,705.0,56.0,0.0,2.0,253.0,52.7,423.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,13,1
40,844.0,112.0,1645.0,172.0,751.0,63.0,0.0,2.0,265.0,49.68,482.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,14,1
41,964.0,128.0,1875.0,197.0,782.0,69.0,0.0,1.0,298.0,57.71,542.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,1,15,1
42,35.0,13.0,56.0,16.0,268.0,4.0,0.0,1.0,19.0,19.65,33.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,2,1,1
43,209.0,23.0,395.0,29.0,316.0,17.0,0.0,1.0,121.0,26.66,146.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,2,2,1
44,745.0,45.0,1552.0,62.0,874.0,84.0,0.0,1.0,441.0,64.78,583.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,2,3,1
45,1947.0,75.0,4253.0,103.0,1978.0,222.0,0.0,1.0,1183.0,61.89,1288.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,2,4,1
46,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,2,5,1
47,119.0,11.0,210.0,12.0,293.0,12.0,0.0,1.0,63.0,23.62,92.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,3,1,1
48,1579.0,70.0,3137.0,108.0,1541.0,96.0,0.0,1.0,976.0,30.66,1065.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,3,2,1
49,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,3,3,1
50,398.0,13.0,741.0,14.0,549.0,35.0,0.0,1.0,228.0,32.49,314.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,4,1,1
51,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,4,2,1
52,1284.0,115.0,2635.0,198.0,1527.0,246.0,0.0,2.0,765.0,25.28,813.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,5,1,1
53,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/1.onnx,TL,6,1,1
54,11.0,7.0,15.0,8.0,164.0,3.0,0.0,1.0,4.0,17.7,12.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,1,2
55,26.0,7.0,44.0,8.0,180.0,6.0,0.0,1.0,10.0,19.2,28.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,2,2
56,52.0,20.0,95.0,29.0,185.0,16.0,0.0,4.0,13.0,20.18,41.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,3,2
57,83.0,32.0,168.0,55.0,235.0,27.0,0.0,9.0,14.0,22.18,80.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,4,2
58,122.0,44.0,258.0,81.0,298.0,43.0,0.0,12.0,26.0,25.14,111.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,5,2
59,169.0,20.0,350.0,24.0,329.0,52.0,0.0,10.0,27.0,27.62,142.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,6,2
60,224.0,36.0,474.0,50.0,365.0,91.0,0.0,11.0,33.0,21.24,188.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,7,2
61,287.0,32.0,623.0,43.0,397.0,91.0,0.0,15.0,44.0,27.39,195.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,8,2
62,361.0,47.0,808.0,68.0,476.0,94.0,0.0,17.0,76.0,36.52,227.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,9,2
63,440.0,50.0,997.0,72.0,626.0,137.0,0.0,13.0,74.0,48.68,357.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,10,2
64,526.0,58.0,1209.0,86.0,684.0,122.0,0.0,22.0,92.0,60.7,408.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,11,2
65,625.0,56.0,1462.0,81.0,737.0,170.0,0.0,50.0,101.0,78.7,401.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,12,2
66,725.0,14.0,1685.0,18.0,912.0,219.0,0.0,33.0,136.0,104.67,539.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,13,2
67,839.0,56.0,1956.0,79.0,997.0,246.0,0.0,45.0,160.0,135.63,569.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,14,2
68,958.0,62.0,2224.0,88.0,1172.0,252.0,0.0,33.0,184.0,30.59,652.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,1,15,2
69,34.0,13.0,50.0,16.0,173.0,5.0,0.0,1.0,12.0,19.68,36.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,2,1,2
70,212.0,26.0,425.0,35.0,362.0,79.0,0.0,1.0,98.0,20.14,159.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,2,2,2
71,747.0,31.0,1616.0,43.0,936.0,245.0,0.0,13.0,255.0,118.61,528.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,2,3,2
72,1908.0,17.0,4369.0,19.0,3096.0,883.0,0.0,5.0,553.0,20.1,1424.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,2,4,2
73,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,2,5,2
74,117.0,11.0,198.0,12.0,268.0,22.0,0.0,1.0,47.0,23.7,71.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,3,1,2
75,1494.0,21.0,3115.0,27.0,1820.0,363.0,0.0,1.0,643.0,107.15,1083.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,3,2,2
76,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,3,3,2
77,384.0,13.0,684.0,14.0,439.0,41.0,0.0,1.0,172.0,33.32,226.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,4,1,2
78,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,4,2,2
79,1268.0,15.0,2541.0,16.0,1386.0,234.0,0.0,1.0,642.0,40.84,671.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,5,1,2
80,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/2.onnx,TL,6,1,2
81,11.0,7.0,12.0,8.0,171.0,2.0,0.0,1.0,3.0,17.7,13.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,1,3
82,26.0,13.0,41.0,16.0,157.0,6.0,0.0,1.0,6.0,19.2,21.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,2,3
83,39.0,10.0,62.0,12.0,183.0,9.0,0.0,1.0,7.0,19.65,44.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,3,3
84,45.0,10.0,79.0,12.0,194.0,11.0,0.0,1.0,7.0,19.68,49.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,4,3
85,101.0,10.0,188.0,12.0,247.0,36.0,0.0,1.0,19.0,22.66,77.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,5,3
86,152.0,10.0,301.0,12.0,293.0,81.0,0.0,1.0,27.0,26.66,123.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,6,3
87,213.0,7.0,434.0,8.0,399.0,123.0,0.0,1.0,38.0,19.18,176.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,7,3
88,271.0,10.0,583.0,12.0,434.0,202.0,0.0,1.0,40.0,36.18,196.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,8,3
89,343.0,7.0,728.0,8.0,504.0,181.0,0.0,1.0,71.0,33.41,253.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,9,3
90,412.0,10.0,893.0,12.0,483.0,251.0,0.0,1.0,76.0,46.42,248.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,10,3
91,501.0,17.0,1138.0,27.0,639.0,319.0,0.0,16.0,113.0,66.4,345.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,11,3
92,600.0,7.0,1381.0,8.0,888.0,439.0,0.0,22.0,120.0,119.29,500.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,12,3
93,693.0,7.0,1619.0,8.0,867.0,561.0,0.0,20.0,100.0,20.81,385.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,13,3
94,842.0,37.0,2025.0,50.0,981.0,558.0,0.0,16.0,208.0,75.26,476.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,14,3
95,938.0,45.0,2219.0,58.0,1103.0,702.0,0.0,1.0,137.0,148.31,530.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,1,15,3
96,34.0,13.0,49.0,16.0,180.0,4.0,0.0,1.0,12.0,19.68,21.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,2,1,3
97,167.0,9.0,318.0,10.0,308.0,60.0,0.0,1.0,41.0,28.66,125.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,2,2,3
98,662.0,13.0,1438.0,16.0,816.0,330.0,0.0,1.0,232.0,125.33,376.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,2,3,3
99,1739.0,25.0,4048.0,32.0,2294.0,864.0,0.0,20.0,656.0,129.55,1166.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,2,4,3
100,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,2,5,3
101,117.0,19.0,201.0,24.0,261.0,28.0,0.0,1.0,49.0,23.62,99.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,3,1,3
102,1242.0,11.0,2605.0,12.0,1506.0,504.0,0.0,1.0,503.0,83.37,751.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,3,2,3
103,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,3,3,3
104,382.0,13.0,767.0,14.0,580.0,120.0,0.0,1.0,171.0,52.25,274.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,4,1,3
105,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,4,2,3
106,1168.0,15.0,2492.0,16.0,1480.0,497.0,0.0,1.0,535.0,39.59,601.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,5,1,3
107,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/3.onnx,TL,6,1,3
108,10.0,7.0,12.0,8.0,158.0,2.0,0.0,1.0,3.0,17.23,9.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/4.onnx,TL,1,1,4
109,16.0,10.0,22.0,12.0,166.0,2.0,0.0,1.0,3.0,19.2,12.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/4.onnx,TL,1,2,4
