,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,ra feature,idx
0,140,52,262,68,274,43,0,1,6,14.02,44.0,new,experiments/results/TA_2_2/B_1mill/0.onnx,TA,2,2,0.8851678371429443,0,1e-05,20,0.1,15,False,10000,True,0
1,140,85,253,141,299,22,0,1,7,15.96,62.0,new,experiments/results/TA_2_2/B_1mill/1.onnx,TA,2,2,20.96185827255249,10000,1e-05,20,0.1,15,False,10000,True,1
2,140,57,259,79,340,28,0,1,12,16.97,76.0,new,experiments/results/TA_2_2/B_1mill/2.onnx,TA,2,2,41.455621004104614,20000,1e-05,20,0.1,15,False,10000,True,2
3,140,57,257,78,303,43,0,1,11,21.98,77.0,new,experiments/results/TA_2_2/B_1mill/3.onnx,TA,2,2,62.14104771614075,30000,1e-05,20,0.1,15,False,10000,True,3
4,138,86,277,142,310,95,0,1,25,16.99,45.0,new,experiments/results/TA_2_2/B_1mill/4.onnx,TA,2,2,82.77884411811829,40000,1e-05,20,0.1,15,False,10000,True,4
5,140,99,287,174,344,72,0,1,20,17.03,59.0,new,experiments/results/TA_2_2/B_1mill/5.onnx,TA,2,2,102.80246591567993,50000,1e-05,20,0.1,15,False,10000,True,5
6,140,101,263,177,264,12,0,1,11,15.98,67.0,new,experiments/results/TA_2_2/B_1mill/6.onnx,TA,2,2,122.32991576194763,60000,1e-05,20,0.1,15,False,10000,True,6
7,140,73,251,115,366,68,0,1,6,19.95,87.0,new,experiments/results/TA_2_2/B_1mill/7.onnx,TA,2,2,142.69505333900452,70000,1e-05,20,0.1,15,False,10000,True,7
8,140,50,259,65,283,79,0,1,6,20.96,53.0,new,experiments/results/TA_2_2/B_1mill/8.onnx,TA,2,2,163.29110479354858,80000,1e-05,20,0.1,15,False,10000,True,8
9,140,101,275,177,285,82,0,1,18,21.97,55.0,new,experiments/results/TA_2_2/B_1mill/9.onnx,TA,2,2,183.4915735721588,90000,1e-05,20,0.1,15,False,10000,True,9
10,140,76,274,120,303,81,0,1,12,23.0,51.0,new,experiments/results/TA_2_2/B_1mill/10.onnx,TA,2,2,204.05126667022705,100000,1e-05,20,0.1,15,False,10000,True,10
11,140,101,286,177,340,60,0,1,18,16.03,59.0,new,experiments/results/TA_2_2/B_1mill/11.onnx,TA,2,2,224.40532970428467,110000,1e-05,20,0.1,15,False,10000,True,11
12,138,57,242,79,324,65,0,1,8,17.01,66.0,new,experiments/results/TA_2_2/B_1mill/12.onnx,TA,2,2,244.13331961631775,120000,1e-05,20,0.1,15,False,10000,True,12
13,140,99,286,174,267,72,0,1,19,16.01,47.0,new,experiments/results/TA_2_2/B_1mill/13.onnx,TA,2,2,264.1498203277588,130000,1e-05,20,0.1,15,False,10000,True,13
14,140,99,287,174,291,1,0,1,23,11.01,68.0,new,experiments/results/TA_2_2/B_1mill/14.onnx,TA,2,2,283.7824218273163,140000,1e-05,20,0.1,15,False,10000,True,14
15,140,101,283,177,369,99,0,1,34,17.99,60.0,new,experiments/results/TA_2_2/B_1mill/15.onnx,TA,2,2,303.5556764602661,150000,1e-05,20,0.1,15,False,10000,True,15
16,137,50,237,65,267,62,0,1,14,17.0,48.0,new,experiments/results/TA_2_2/B_1mill/16.onnx,TA,2,2,323.45887303352356,160000,1e-05,20,0.1,15,False,10000,True,16
17,140,99,286,174,363,93,0,1,28,16.01,47.0,new,experiments/results/TA_2_2/B_1mill/17.onnx,TA,2,2,343.5204825401306,170000,1e-05,20,0.1,15,False,10000,True,17
18,140,99,287,174,271,102,0,1,26,15.99,41.0,new,experiments/results/TA_2_2/B_1mill/18.onnx,TA,2,2,363.1572620868683,180000,1e-05,20,0.1,15,False,10000,True,18
19,140,57,250,79,278,23,0,1,8,15.96,58.0,new,experiments/results/TA_2_2/B_1mill/19.onnx,TA,2,2,382.66020250320435,190000,1e-05,20,0.1,15,False,10000,True,19
20,140,74,276,116,301,84,0,1,19,23.0,46.0,new,experiments/results/TA_2_2/B_1mill/20.onnx,TA,2,2,402.80025696754456,200000,1e-05,20,0.1,15,False,10000,True,20
21,140,101,286,177,265,100,0,1,20,15.99,36.0,new,experiments/results/TA_2_2/B_1mill/21.onnx,TA,2,2,423.052273273468,210000,1e-05,20,0.1,15,False,10000,True,21
22,140,101,279,177,351,17,0,1,29,13.0,76.0,new,experiments/results/TA_2_2/B_1mill/22.onnx,TA,2,2,442.71487760543823,220000,1e-05,20,0.1,15,False,10000,True,22
23,140,101,278,177,333,9,0,1,22,12.01,47.0,new,experiments/results/TA_2_2/B_1mill/23.onnx,TA,2,2,462.4386582374573,230000,1e-05,20,0.1,15,False,10000,True,23
24,103,67,167,99,247,46,0,1,6,29.7,33.0,new,experiments/results/TA_2_2/B_1mill/24.onnx,TA,2,2,482.3471210002899,240000,1e-05,20,0.1,15,False,10000,True,24
25,133,50,216,65,366,54,0,1,6,16.0,76.0,new,experiments/results/TA_2_2/B_1mill/25.onnx,TA,2,2,502.58200335502625,250000,1e-05,20,0.1,15,False,10000,True,25
26,140,97,263,165,287,27,0,1,31,16.99,55.0,new,experiments/results/TA_2_2/B_1mill/26.onnx,TA,2,2,522.6080386638641,260000,1e-05,20,0.1,15,False,10000,True,26
