,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,ra feature,idx
0,286,109,535,140,698,1,0,1,0,131.31,355.0,new,experiments/results/TA_2_2/T_1mill/0.onnx,TA,3,3,0.05755877494812012,0,1e-05,20,0.1,15,True,10000,True,0
1,726,505,1700,1031,2269,567,0,1,6,17.48,1213.0,new,experiments/results/TA_2_2/T_1mill/1.onnx,TA,3,3,13.903124570846558,10000,1e-05,20,0.1,15,True,10000,True,1
2,1075,195,2996,321,3436,282,0,1,53,96.2,2247.0,new,experiments/results/TA_2_2/T_1mill/2.onnx,TA,3,3,27.677555322647095,20000,1e-05,20,0.1,15,True,10000,True,2
3,1083,139,3055,202,4189,363,0,1,70,149.33,3001.0,new,experiments/results/TA_2_2/T_1mill/3.onnx,TA,3,3,41.539647817611694,30000,1e-05,20,0.1,15,True,10000,True,3
4,1083,154,3096,230,4098,334,0,1,60,190.33,2914.0,new,experiments/results/TA_2_2/T_1mill/4.onnx,TA,3,3,55.28967642784119,40000,1e-05,20,0.1,15,True,10000,True,4
5,1083,202,3100,329,4242,301,0,1,60,60.34,3141.0,new,experiments/results/TA_2_2/T_1mill/5.onnx,TA,3,3,69.20914506912231,50000,1e-05,20,0.1,15,True,10000,True,5
6,1083,195,3100,316,4337,269,0,1,58,84.08,3268.0,new,experiments/results/TA_2_2/T_1mill/6.onnx,TA,3,3,83.05850601196289,60000,1e-05,20,0.1,15,True,10000,True,6
7,1083,153,3097,234,4431,264,0,1,43,148.2,3415.0,new,experiments/results/TA_2_2/T_1mill/7.onnx,TA,3,3,96.93034172058105,70000,1e-05,20,0.1,15,True,10000,True,7
8,1083,242,3099,414,4789,285,0,1,50,181.09,3446.0,new,experiments/results/TA_2_2/T_1mill/8.onnx,TA,3,3,110.74232411384583,80000,1e-05,20,0.1,15,True,10000,True,8
9,1083,191,3055,316,4275,643,0,1,58,107.49,2679.0,new,experiments/results/TA_2_2/T_1mill/9.onnx,TA,3,3,124.79199767112732,90000,1e-05,20,0.1,15,True,10000,True,9
10,1083,269,2953,480,4690,1027,0,1,65,164.24,2585.0,new,experiments/results/TA_2_2/T_1mill/10.onnx,TA,3,3,138.9250476360321,100000,1e-05,20,0.1,15,True,10000,True,10
11,1082,250,3017,436,4743,1082,0,1,167,283.21,2413.0,new,experiments/results/TA_2_2/T_1mill/11.onnx,TA,3,3,153.05545568466187,110000,1e-05,20,0.1,15,True,10000,True,11
12,1081,282,2815,502,4648,1009,0,1,89,144.97,2556.0,new,experiments/results/TA_2_2/T_1mill/12.onnx,TA,3,3,167.03408765792847,120000,1e-05,20,0.1,15,True,10000,True,12
13,1083,259,2949,448,4918,1129,0,1,153,160.83,2576.0,new,experiments/results/TA_2_2/T_1mill/13.onnx,TA,3,3,181.08023023605347,130000,1e-05,20,0.1,15,True,10000,True,13
14,1083,276,2879,489,4802,875,0,1,172,144.7,2799.0,new,experiments/results/TA_2_2/T_1mill/14.onnx,TA,3,3,195.1113305091858,140000,1e-05,20,0.1,15,True,10000,True,14
15,1083,279,2726,502,4906,856,0,1,184,170.7,2886.0,new,experiments/results/TA_2_2/T_1mill/15.onnx,TA,3,3,209.2945535182953,150000,1e-05,20,0.1,15,True,10000,True,15
