,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,4.0,0.0,3.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,1,
1,5.0,0.0,4.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,2,
2,6.0,0.0,5.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,3,
3,7.0,0.0,6.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,4,
4,8.0,0.0,7.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,5,
5,9.0,0.0,8.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,6,
6,10.0,0.0,9.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,7,
7,11.0,0.0,10.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,8,
8,12.0,0.0,11.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,9,
9,13.0,0.0,12.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,10,
10,14.0,0.0,13.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,11,
11,15.0,0.0,14.0,0.0,136.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,12,
12,16.0,0.0,15.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,13,
13,17.0,0.0,16.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,14,
14,18.0,0.0,17.0,0.0,138.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,1,15,
15,61.0,23.0,75.0,27.0,190.0,9.0,0.0,1.0,6.0,16.48,55.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,2,1,
16,70.0,25.0,82.0,29.0,189.0,10.0,0.0,1.0,3.0,16.48,57.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,2,2,
17,96.0,48.0,123.0,65.0,209.0,20.0,0.0,1.0,3.0,17.92,64.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,2,3,
18,106.0,44.0,135.0,58.0,218.0,21.0,0.0,1.0,3.0,18.48,75.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,2,4,
19,123.0,49.0,149.0,65.0,229.0,17.0,0.0,1.0,3.0,18.48,81.0,True,new,experiments/results/DP_2_2/epsdec_2/35.onnx,DP,2,5,
