,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,17.0,17.0,21.0,21.0,30.0,5.0,0.0,1.0,0.0,16.66,old,r,CM,1,1
1,33.0,33.0,42.0,42.0,42.0,9.0,0.0,2.0,0.0,18.66,old,r,CM,1,2
2,53.0,53.0,69.0,69.0,62.0,13.0,0.0,5.0,0.0,22.18,old,r,CM,1,3
3,77.0,77.0,102.0,102.0,96.0,17.0,0.0,10.0,0.0,27.14,old,r,CM,1,4
4,141.0,105.0,195.0,141.0,126.0,21.0,5.0,27.0,0.0,16.02,old,r,CM,1,5
5,81.0,75.0,144.0,132.0,78.0,42.0,0.0,1.0,0.0,25.14,old,r,CM,2,1
6,242.0,221.0,455.0,413.0,227.0,136.0,0.0,6.0,0.0,55.45,old,r,CM,2,2
7,557.0,460.0,1042.0,886.0,684.0,289.0,0.0,35.0,1.0,89.54,old,r,CM,2,3
8,3228.0,973.0,6392.0,1900.0,2658.0,1352.0,65.0,417.0,464.0,161.05,old,r,CM,2,4
9,10631.0,1682.0,25181.0,3297.0,111251.0,7912.0,524.0,943.0,2241.0,363.27,old,r,CM,2,5
10,454.0,355.0,1144.0,922.0,562.0,442.0,0.0,1.0,0.0,98.14,old,r,CM,3,1
11,7011.0,1681.0,19438.0,4741.0,20204.0,2394.0,2199.0,103.0,4476.0,312.36,old,r,CM,3,2
12,,,,,,,,,,,old,r,CM,3,3
13,,,,,,,,,,,old,r,CM,3,4
14,,,,,,,,,,,old,r,CM,3,5
15,2655.0,1787.0,8828.0,6620.0,15093.0,4205.0,0.0,1.0,0.0,317.42,old,r,CM,4,1
16,,,,,,,,,,,old,r,CM,4,2
17,,,,,,,,,,,old,r,CM,4,3
18,,,,,,,,,,,old,r,CM,4,4
19,,,,,,,,,,,old,r,CM,4,5
20,,,,,,,,,,,old,r,CM,5,1
21,,,,,,,,,,,old,r,CM,5,2
22,,,,,,,,,,,old,r,CM,5,3
23,,,,,,,,,,,old,r,CM,5,4
24,,,,,,,,,,,old,r,CM,5,5
