,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,1463.0,2282.0,1199.0,2.0,2.0,CM,11.0,3342.7026813030243,1500000,-1147.3939377235736,0
1,,,,,,,,3342.7026813030243,1500000,-1147.3939377235736,0
2,1606.0,2562.0,1308.0,2.0,2.0,CM,11.0,1259.8885293006897,500000,-1015.6997654742994,1
3,,,,,,,,1259.8885293006897,500000,-1015.6997654742994,1
4,926.0,2473.0,1328.0,2.0,2.0,CM,11.0,2246.007509946823,1000000,-1163.7930792145046,2
5,,,,,,,,2246.007509946823,1000000,-1163.7930792145046,2
