,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,803.0,3122.0,1622.0,2,2,CM,11.0,1.9034035205841064,2000,1e-05,20,0.1,-0.24741325,0,0.7927263,-1.1359329,-1.59057,-0.3511138,0.16056105,0.0,-0.60311586,0.42395538,-1.1718192,-1.5997922,-0.9019068
1,,,,3,3,CM,,1.9034035205841064,2000,1e-05,20,0.1,-0.24741325,0,0.7927263,-1.1359329,-1.59057,-0.3511138,0.16056105,0.0,-0.60311586,0.42395538,-1.1718192,-1.5997922,-0.9019068
2,1324.0,2637.0,1380.0,2,2,CM,11.0,9.895991563796997,12000,1e-05,20,0.1,-3.864117,5,-0.6336132,-0.11666244,-2.1556568,-0.6042909,0.0698386,-3.5762787e-07,-0.07772386,-0.18719885,-0.94698036,-0.8355071,-1.681079
3,,,,3,3,CM,,9.895991563796997,12000,1e-05,20,0.1,-3.864117,5,-0.6336132,-0.11666244,-2.1556568,-0.6042909,0.0698386,-3.5762787e-07,-0.07772386,-0.18719885,-0.94698036,-0.8355071,-1.681079
4,956.0,2488.0,1306.0,2,2,CM,11.0,18.669102430343628,22000,1e-05,20,0.1,-22.25039,10,-1.448894,-0.21485937,-2.304393,-0.36991328,0.052236386,-2.9802322e-07,-0.8091662,-1.194305,-1.2391233,-1.4912952,-2.0946453
5,,,,3,3,CM,,18.669102430343628,22000,1e-05,20,0.1,-22.25039,10,-1.448894,-0.21485937,-2.304393,-0.36991328,0.052236386,-2.9802322e-07,-0.8091662,-1.194305,-1.2391233,-1.4912952,-2.0946453
6,839.0,2387.0,1278.0,2,2,CM,11.0,28.691535234451294,32000,1e-05,20,0.1,-57.577934,15,-1.5039444,-0.5249617,-2.0264144,-0.41570133,-0.08802141,-7.748604e-07,-2.4679582,-3.8806393,-2.100482,-3.459908,-3.3699956
7,,,,3,3,CM,,28.691535234451294,32000,1e-05,20,0.1,-57.577934,15,-1.5039444,-0.5249617,-2.0264144,-0.41570133,-0.08802141,-7.748604e-07,-2.4679582,-3.8806393,-2.100482,-3.459908,-3.3699956
8,1512.0,3105.0,1705.0,2,2,CM,11.0,38.75325798988342,42000,1e-05,20,0.1,-132.76604,20,-0.8340315,-0.75938475,-0.94100785,-0.37910658,-0.324716,2.9802322e-07,-4.5882277,-5.377209,-2.6861053,-4.4877834,-4.921077
9,,,,3,3,CM,,38.75325798988342,42000,1e-05,20,0.1,-132.76604,20,-0.8340315,-0.75938475,-0.94100785,-0.37910658,-0.324716,2.9802322e-07,-4.5882277,-5.377209,-2.6861053,-4.4877834,-4.921077
10,1210.0,2966.0,1596.0,2,2,CM,11.0,49.3488130569458,52000,1e-05,20,0.1,-267.48758,25,-0.48075894,-0.73967993,-0.537936,-0.22268435,-0.3349959,-2.3841858e-07,-5.3339524,-5.868353,-2.2100916,-3.8869576,-5.584112
