,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,17.0,17.0,21.0,21.0,33.0,5.0,0.0,1.0,0.0,15.66,8.0,false,OpenSet RA,r,CM,1,1
1,33.0,33.0,42.0,42.0,55.0,9.0,0.0,2.0,0.0,17.64,18.0,false,OpenSet RA,r,CM,1,2
2,53.0,53.0,69.0,69.0,57.0,13.0,0.0,5.0,0.0,20.66,18.0,false,OpenSet RA,r,CM,1,3
3,77.0,77.0,102.0,102.0,79.0,17.0,0.0,10.0,0.0,25.62,26.0,false,OpenSet RA,r,CM,1,4
4,213.0,105.0,323.0,141.0,177.0,65.0,5.0,33.0,7.0,22.98,51.0,false,OpenSet RA,r,CM,1,5
5,137.0,137.0,186.0,186.0,172.0,25.0,0.0,26.0,0.0,24.42,63.0,false,OpenSet RA,r,CM,1,6
6,173.0,173.0,237.0,237.0,216.0,29.0,0.0,36.0,0.0,38.83,72.0,false,OpenSet RA,r,CM,1,7
7,247.0,213.0,348.0,294.0,259.0,36.0,8.0,45.0,0.0,60.44,85.0,false,OpenSet RA,r,CM,1,8
8,265.0,257.0,373.0,357.0,329.0,38.0,5.0,60.0,0.0,18.93,117.0,false,OpenSet RA,r,CM,1,9
9,721.0,305.0,1191.0,426.0,929.0,316.0,20.0,100.0,17.0,105.69,153.0,false,OpenSet RA,r,CM,1,10
10,407.0,337.0,588.0,471.0,496.0,55.0,19.0,88.0,0.0,54.23,153.0,false,OpenSet RA,r,CM,1,11
11,623.0,411.0,928.0,578.0,721.0,116.0,21.0,137.0,9.0,49.43,236.0,false,OpenSet RA,r,CM,1,12
12,1173.0,453.0,2008.0,639.0,2477.0,594.0,37.0,154.0,27.0,209.29,232.0,false,OpenSet RA,r,CM,1,13
13,1349.0,537.0,2326.0,762.0,3416.0,708.0,32.0,156.0,27.0,205.43,263.0,false,OpenSet RA,r,CM,1,14
14,1529.0,585.0,2621.0,831.0,4072.0,774.0,43.0,206.0,28.0,56.68,347.0,false,OpenSet RA,r,CM,1,15
15,81.0,75.0,144.0,132.0,72.0,42.0,0.0,1.0,0.0,23.14,37.0,false,OpenSet RA,r,CM,2,1
16,244.0,221.0,459.0,413.0,232.0,140.0,0.0,6.0,0.0,52.37,93.0,false,OpenSet RA,r,CM,2,2
17,784.0,460.0,1431.0,886.0,685.0,315.0,0.0,89.0,27.0,114.52,224.0,false,OpenSet RA,r,CM,2,3
18,885.0,806.0,1741.0,1583.0,1329.0,494.0,0.0,97.0,0.0,166.25,341.0,false,OpenSet RA,r,CM,2,4
