,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
28,1046,296,2776,523,3606,1243,0,1,119,202.4,1402.0,new,experiments/results/TA_2_2/TB_5mill_b100000/28.onnx,TA,3,3,2369.0893681049347,1400000,1e-05,20,0.1,15,True,10000,True,100000,True,28
29,1024,292,2454,521,3030,1260,0,1,45,121.19,1185.0,new,experiments/results/TA_2_2/TB_5mill_b100000/29.onnx,TA,3,3,2454.9683196544647,1450000,1e-05,20,0.1,15,True,10000,True,100000,True,29
30,1042,287,2735,547,3791,1555,0,1,52,31.96,1418.0,new,experiments/results/TA_2_2/TB_5mill_b100000/30.onnx,TA,3,3,2543.3850226402283,1500000,1e-05,20,0.1,15,True,10000,True,100000,True,30
31,1083,481,3040,1057,3613,731,0,1,198,124.65,1427.0,new,experiments/results/TA_2_2/TB_5mill_b100000/31.onnx,TA,3,3,2638.3345029354095,1550000,1e-05,20,0.1,15,True,10000,True,100000,True,31
32,567,191,1277,295,1763,509,0,1,39,12.94,835.0,new,experiments/results/TA_2_2/TB_5mill_b100000/32.onnx,TA,3,3,2725.058161020279,1600000,1e-05,20,0.1,15,True,10000,True,100000,True,32
33,920,304,2256,565,3033,1126,0,1,30,70.45,1262.0,new,experiments/results/TA_2_2/TB_5mill_b100000/33.onnx,TA,3,3,2812.6188378334045,1650000,1e-05,20,0.1,15,True,10000,True,100000,True,33
34,876,236,1637,395,2532,142,0,1,20,175.69,1800.0,new,experiments/results/TA_2_2/TB_5mill_b100000/34.onnx,TA,3,3,2906.4187932014465,1700000,1e-05,20,0.1,15,True,10000,True,100000,True,34
35,1047,348,2372,630,3076,1203,0,1,57,82.55,1048.0,new,experiments/results/TA_2_2/TB_5mill_b100000/35.onnx,TA,3,3,2995.6223769187927,1750000,1e-05,20,0.1,15,True,10000,True,100000,True,35
36,632,181,1240,270,1562,556,0,1,14,128.11,728.0,new,experiments/results/TA_2_2/TB_5mill_b100000/36.onnx,TA,3,3,3076.612401008606,1800000,1e-05,20,0.1,15,True,10000,True,100000,True,36
37,913,267,1837,459,2560,793,0,1,14,181.53,1294.0,new,experiments/results/TA_2_2/TB_5mill_b100000/37.onnx,TA,3,3,3157.966117143631,1850000,1e-05,20,0.1,15,True,10000,True,100000,True,37
38,1083,332,2475,617,3316,1295,0,1,35,174.24,1321.0,new,experiments/results/TA_2_2/TB_5mill_b100000/38.onnx,TA,3,3,3241.697691679001,1900000,1e-05,20,0.1,15,True,10000,True,100000,True,38
39,1049,325,2417,599,3395,1213,0,1,14,217.67,1566.0,new,experiments/results/TA_2_2/TB_5mill_b100000/39.onnx,TA,3,3,3323.0629637241364,1950000,1e-05,20,0.1,15,True,10000,True,100000,True,39
40,1044,383,2657,751,2983,1225,0,1,240,130.7,699.0,new,experiments/results/TA_2_2/TB_5mill_b100000/40.onnx,TA,3,3,3405.387176513672,2000000,1e-05,20,0.1,15,True,10000,True,100000,True,40
41,1038,266,2387,474,3443,1223,0,1,63,57.09,1529.0,new,experiments/results/TA_2_2/TB_5mill_b100000/41.onnx,TA,3,3,3487.1849403381348,2050000,1e-05,20,0.1,15,True,10000,True,100000,True,41
42,1061,226,2160,369,3230,297,0,1,36,74.84,2256.0,new,experiments/results/TA_2_2/TB_5mill_b100000/42.onnx,TA,3,3,3568.8736469745636,2100000,1e-05,20,0.1,15,True,10000,True,100000,True,42
