,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
0,17.0,15.0,20.0,18.0,208.0,3.0,0.0,1.0,2.0,20.21,17.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,1,0,
1,19.0,17.0,23.0,21.0,208.0,3.0,0.0,1.0,2.0,19.7,21.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,2,0,
2,21.0,19.0,26.0,24.0,227.0,3.0,0.0,1.0,2.0,20.21,35.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,3,0,
3,23.0,21.0,29.0,27.0,215.0,3.0,0.0,1.0,2.0,20.18,29.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,4,0,
4,25.0,23.0,32.0,30.0,216.0,3.0,0.0,1.0,2.0,20.18,23.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,5,0,
5,27.0,25.0,35.0,33.0,218.0,3.0,0.0,1.0,2.0,20.18,27.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,6,0,
6,29.0,27.0,38.0,36.0,218.0,3.0,0.0,1.0,2.0,20.18,23.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,7,0,
7,31.0,29.0,41.0,39.0,219.0,3.0,0.0,1.0,2.0,20.69,28.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,8,0,
8,33.0,31.0,44.0,42.0,222.0,3.0,0.0,1.0,2.0,20.69,31.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,9,0,
9,35.0,33.0,47.0,45.0,236.0,3.0,0.0,1.0,2.0,20.18,41.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,10,0,
10,37.0,35.0,50.0,48.0,225.0,3.0,0.0,1.0,2.0,20.66,39.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,11,0,
11,39.0,37.0,53.0,51.0,241.0,3.0,0.0,1.0,2.0,21.17,43.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,12,0,
12,41.0,39.0,56.0,54.0,247.0,3.0,0.0,1.0,2.0,21.14,44.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,13,0,
13,43.0,41.0,59.0,57.0,237.0,3.0,0.0,1.0,2.0,20.66,41.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,14,0,
14,45.0,43.0,62.0,60.0,253.0,3.0,0.0,1.0,2.0,21.17,57.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,1,15,0,
15,120.0,56.0,236.0,81.0,347.0,9.0,0.0,1.0,30.0,25.62,141.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,1,0,
16,140.0,68.0,280.0,105.0,372.0,9.0,0.0,1.0,32.0,27.14,155.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,2,0,
17,160.0,80.0,324.0,129.0,402.0,9.0,0.0,1.0,34.0,28.66,187.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,3,0,
18,180.0,92.0,368.0,153.0,439.0,9.0,0.0,1.0,36.0,9.65,210.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,4,0,
19,200.0,104.0,412.0,177.0,433.0,9.0,0.0,1.0,38.0,17.53,199.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,5,0,
20,220.0,116.0,456.0,201.0,468.0,9.0,0.0,1.0,40.0,22.59,232.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,6,0,
21,240.0,128.0,500.0,225.0,503.0,9.0,0.0,1.0,42.0,23.67,267.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,7,0,
22,260.0,140.0,544.0,249.0,509.0,9.0,0.0,1.0,44.0,26.69,271.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,8,0,
23,280.0,152.0,588.0,273.0,557.0,9.0,0.0,1.0,46.0,27.76,318.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,9,0,
24,300.0,164.0,632.0,297.0,558.0,9.0,0.0,1.0,48.0,30.78,297.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,10,0,
25,320.0,176.0,676.0,321.0,523.0,9.0,0.0,1.0,50.0,33.79,274.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,11,0,
26,340.0,188.0,720.0,345.0,576.0,9.0,0.0,1.0,52.0,36.81,302.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,12,0,
27,360.0,200.0,764.0,369.0,569.0,9.0,0.0,1.0,54.0,37.85,288.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,13,0,
28,380.0,212.0,808.0,393.0,623.0,9.0,0.0,1.0,56.0,41.89,351.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,14,0,
29,400.0,224.0,852.0,417.0,590.0,9.0,0.0,1.0,58.0,42.92,318.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,2,15,0,
30,787.0,162.0,2316.0,268.0,1234.0,29.0,0.0,1.0,318.0,33.86,884.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,1,0,
31,935.0,206.0,2779.0,367.0,1533.0,29.0,0.0,1.0,359.0,98.9,1130.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,2,0,
32,1083.0,231.0,3243.0,428.0,1851.0,29.0,0.0,1.0,396.0,38.21,1403.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,3,0,
33,1231.0,264.0,3708.0,505.0,2248.0,29.0,0.0,1.0,435.0,128.88,1795.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,4,0,
34,1379.0,306.0,4172.0,597.0,2551.0,29.0,0.0,1.0,474.0,86.7,2001.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,5,0,
35,1527.0,341.0,4636.0,676.0,3124.0,29.0,0.0,1.0,513.0,61.4,2491.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,6,0,
36,1675.0,379.0,5100.0,761.0,3510.0,28.0,0.0,1.0,550.0,145.9,2898.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,7,0,
37,1823.0,415.0,5563.0,843.0,3979.0,28.0,0.0,1.0,588.0,135.29,3319.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,8,0,
38,1971.0,451.0,6028.0,925.0,4419.0,28.0,0.0,1.0,625.0,99.13,3709.0,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,9,0,
39,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,3,10,0,
40,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/0.onnx,TA,4,1,0,
41,17.0,15.0,20.0,18.0,205.0,1.0,0.0,1.0,2.0,18.75,20.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,1,1,
42,19.0,17.0,23.0,21.0,208.0,1.0,0.0,1.0,2.0,19.7,20.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,2,1,
43,21.0,19.0,26.0,24.0,214.0,1.0,0.0,1.0,2.0,20.21,26.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,3,1,
44,23.0,21.0,29.0,27.0,217.0,1.0,0.0,1.0,2.0,19.7,28.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,4,1,
45,25.0,23.0,32.0,30.0,219.0,1.0,0.0,1.0,2.0,20.18,30.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,5,1,
46,27.0,25.0,35.0,33.0,235.0,1.0,0.0,1.0,2.0,20.18,40.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,6,1,
47,29.0,27.0,38.0,36.0,223.0,1.0,0.0,1.0,2.0,20.18,33.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,7,1,
48,31.0,29.0,41.0,39.0,221.0,1.0,0.0,1.0,2.0,20.69,31.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,8,1,
49,33.0,31.0,44.0,42.0,224.0,1.0,0.0,1.0,2.0,20.69,32.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,9,1,
50,35.0,33.0,47.0,45.0,243.0,1.0,0.0,1.0,2.0,20.18,45.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,10,1,
51,37.0,35.0,50.0,48.0,234.0,1.0,0.0,1.0,2.0,20.66,42.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,11,1,
52,39.0,37.0,53.0,51.0,239.0,1.0,0.0,1.0,2.0,21.17,39.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,12,1,
53,41.0,39.0,56.0,54.0,248.0,1.0,0.0,1.0,2.0,21.14,52.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,13,1,
54,43.0,41.0,59.0,57.0,241.0,1.0,0.0,1.0,2.0,20.66,45.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,14,1,
55,45.0,43.0,62.0,60.0,258.0,1.0,0.0,1.0,2.0,21.17,59.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,1,15,1,
56,120.0,56.0,232.0,81.0,343.0,10.0,0.0,1.0,32.0,25.62,135.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,1,1,
57,140.0,68.0,274.0,105.0,382.0,14.0,0.0,1.0,36.0,27.62,166.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,2,1,
58,160.0,80.0,316.0,129.0,390.0,18.0,0.0,1.0,40.0,9.53,151.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,3,1,
59,180.0,92.0,357.0,153.0,445.0,22.0,0.0,1.0,44.0,19.59,202.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,4,1,
60,200.0,104.0,401.0,177.0,455.0,26.0,0.0,1.0,50.0,23.64,197.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,5,1,
61,220.0,116.0,441.0,201.0,469.0,30.0,0.0,1.0,52.0,26.73,198.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,6,1,
62,240.0,128.0,483.0,225.0,537.0,34.0,0.0,1.0,56.0,30.64,261.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,7,1,
63,260.0,140.0,526.0,249.0,542.0,38.0,0.0,1.0,60.0,35.67,273.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,8,1,
64,280.0,152.0,568.0,273.0,563.0,42.0,0.0,1.0,64.0,39.73,282.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,9,1,
65,300.0,164.0,609.0,297.0,575.0,46.0,0.0,1.0,68.0,45.8,256.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,10,1,
66,320.0,176.0,652.0,321.0,620.0,50.0,0.0,1.0,72.0,51.77,282.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,11,1,
67,340.0,188.0,694.0,345.0,685.0,54.0,0.0,1.0,76.0,57.79,358.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,12,1,
68,360.0,200.0,735.0,369.0,693.0,58.0,0.0,1.0,80.0,62.81,358.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,13,1,
69,380.0,212.0,778.0,393.0,752.0,62.0,0.0,1.0,84.0,68.85,402.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,14,1,
70,400.0,224.0,819.0,417.0,779.0,66.0,0.0,1.0,88.0,75.86,428.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,2,15,1,
71,779.0,156.0,2122.0,255.0,1359.0,82.0,0.0,1.0,221.0,71.94,891.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,1,1,
72,923.0,191.0,2509.0,325.0,1734.0,126.0,0.0,1.0,258.0,51.89,1110.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,2,1,
73,1067.0,224.0,2914.0,397.0,2340.0,199.0,0.0,1.0,303.0,85.7,1577.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,3,1,
74,1211.0,258.0,3304.0,470.0,2971.0,262.0,0.0,1.0,348.0,144.0,1979.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,4,1,
75,1355.0,292.0,3705.0,543.0,3677.0,322.0,0.0,1.0,393.0,42.95,2441.0,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,5,1,
76,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,3,6,1,
77,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pathLabels/1.onnx,TA,4,1,1,
78,17.0,15.0,20.0,18.0,208.0,1.0,0.0,1.0,2.0,18.75,17.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,1,2,
79,19.0,17.0,23.0,21.0,211.0,1.0,0.0,1.0,2.0,19.7,21.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,2,2,
80,21.0,19.0,26.0,24.0,212.0,1.0,0.0,1.0,2.0,20.21,20.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,3,2,
81,23.0,21.0,29.0,27.0,217.0,1.0,0.0,1.0,2.0,19.7,22.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,4,2,
82,25.0,23.0,32.0,30.0,219.0,1.0,0.0,1.0,2.0,20.18,25.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,5,2,
83,27.0,25.0,35.0,33.0,229.0,1.0,0.0,1.0,2.0,20.18,26.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,6,2,
84,29.0,27.0,38.0,36.0,218.0,1.0,0.0,1.0,2.0,20.18,27.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,7,2,
85,31.0,29.0,41.0,39.0,226.0,1.0,0.0,1.0,2.0,20.69,34.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,8,2,
86,33.0,31.0,44.0,42.0,228.0,1.0,0.0,1.0,2.0,20.69,29.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,9,2,
87,35.0,33.0,47.0,45.0,229.0,1.0,0.0,1.0,2.0,20.18,30.0,False,new,experiments/results/TA_2_2/pathLabels/2.onnx,TA,1,10,2,
