,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,6,6,8,8,16,2,0,2,0,15.15,5.0,false,OpenSet RA,r,AT,1,1
1,6,6,8,8,17,2,0,2,0,15.19,5.0,false,OpenSet RA,r,AT,1,2
2,7,6,9,8,19,2,0,2,0,15.64,7.0,false,OpenSet RA,r,AT,1,3
3,6,6,8,8,20,2,0,2,0,15.66,6.0,false,OpenSet RA,r,AT,1,4
4,6,6,8,8,21,2,0,2,0,15.67,6.0,false,OpenSet RA,r,AT,1,5
5,6,6,8,8,25,2,0,2,0,15.63,7.0,false,OpenSet RA,r,AT,1,6
6,6,6,8,8,25,2,0,2,0,15.63,8.0,false,OpenSet RA,r,AT,1,7
7,6,6,8,8,37,2,0,2,0,16.18,13.0,false,OpenSet RA,r,AT,1,8
8,6,6,8,8,29,2,0,2,0,16.18,11.0,false,OpenSet RA,r,AT,1,9
9,6,6,8,8,30,2,0,2,0,16.18,11.0,false,OpenSet RA,r,AT,1,10
10,6,6,8,8,44,2,0,2,0,16.67,19.0,false,OpenSet RA,r,AT,1,11
11,6,6,8,8,47,2,0,2,0,16.68,22.0,false,OpenSet RA,r,AT,1,12
12,6,6,8,8,35,2,0,2,0,16.66,14.0,false,OpenSet RA,r,AT,1,13
13,6,6,8,8,40,2,0,2,0,17.14,17.0,false,OpenSet RA,r,AT,1,14
14,6,6,8,8,58,2,0,2,0,17.14,32.0,false,OpenSet RA,r,AT,1,15
15,5,0,4,0,21,0,0,0,1,0.0,8.0,false,OpenSet RA,r,AT,2,1
16,33,22,55,35,43,12,0,1,4,17.14,18.0,false,OpenSet RA,r,AT,2,2
17,35,20,52,30,48,7,0,1,4,17.62,24.0,false,OpenSet RA,r,AT,2,3
18,43,20,62,30,61,11,0,2,2,18.66,37.0,false,OpenSet RA,r,AT,2,4
19,48,20,70,30,77,12,0,2,2,19.62,52.0,false,OpenSet RA,r,AT,2,5
20,57,20,82,30,114,13,0,2,2,21.62,80.0,false,OpenSet RA,r,AT,2,6
21,64,20,92,30,109,14,0,2,2,23.14,71.0,false,OpenSet RA,r,AT,2,7
22,71,20,102,30,122,15,0,2,2,25.14,79.0,false,OpenSet RA,r,AT,2,8
23,76,20,110,30,144,16,0,2,2,27.14,108.0,false,OpenSet RA,r,AT,2,9
24,83,20,120,30,165,17,0,2,2,29.62,124.0,false,OpenSet RA,r,AT,2,10
25,92,20,132,30,223,18,0,2,2,12.38,174.0,false,OpenSet RA,r,AT,2,11
26,99,20,142,30,229,19,0,2,2,15.34,192.0,false,OpenSet RA,r,AT,2,12
27,104,20,150,30,268,20,0,2,2,19.47,227.0,false,OpenSet RA,r,AT,2,13
28,111,20,160,30,316,21,0,2,2,24.56,269.0,false,OpenSet RA,r,AT,2,14
29,118,20,170,30,340,22,0,2,2,28.61,288.0,false,OpenSet RA,r,AT,2,15
30,5,0,4,0,21,0,0,0,1,0.0,7.0,false,OpenSet RA,r,AT,3,1
31,146,0,233,0,148,26,0,0,34,0.0,93.0,false,OpenSet RA,r,AT,3,2
32,246,93,410,152,279,37,0,1,60,16.95,196.0,false,OpenSet RA,r,AT,3,3
33,356,93,588,152,288,75,0,1,72,37.0,206.0,false,OpenSet RA,r,AT,3,4
34,657,104,1176,180,690,108,0,1,170,105.07,500.0,false,OpenSet RA,r,AT,3,5
35,895,104,1574,179,1097,177,0,1,196,54.31,807.0,false,OpenSet RA,r,AT,3,6
36,1173,114,2102,192,1583,280,0,1,240,87.29,1045.0,false,OpenSet RA,r,AT,3,7
37,1467,112,2596,186,1769,228,0,1,264,132.39,1329.0,false,OpenSet RA,r,AT,3,8
38,1807,113,3208,191,2231,255,0,1,298,148.4,1726.0,false,OpenSet RA,r,AT,3,9
39,2199,118,3965,196,2988,397,0,1,348,56.7,2200.0,false,OpenSet RA,r,AT,3,10
40,2577,104,4598,180,3342,180,0,1,356,120.85,2940.0,false,OpenSet RA,r,AT,3,11
41,3023,104,5403,180,4466,193,0,1,388,48.47,3964.0,false,OpenSet RA,r,AT,3,12
42,3527,120,6314,198,6240,359,0,1,434,132.34,5314.0,false,OpenSet RA,r,AT,3,13
43,4023,104,7211,180,6753,219,0,1,452,57.7,6108.0,false,OpenSet RA,r,AT,3,14
44,4603,113,8263,188,9267,412,0,1,502,122.52,8037.0,false,OpenSet RA,r,AT,3,15
