,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,5,5,6,6,14,2,0,1,0,15.15,3.0,false,OpenSet RA,r,BW,1,1
1,5,5,6,6,20,2,0,1,0,15.15,4.0,false,OpenSet RA,r,BW,1,2
2,5,5,6,6,19,2,0,1,0,15.16,5.0,false,OpenSet RA,r,BW,1,3
3,5,5,6,6,19,2,0,1,0,15.14,3.0,false,OpenSet RA,r,BW,1,4
4,5,5,6,6,19,2,0,1,0,15.65,4.0,false,OpenSet RA,r,BW,1,5
5,5,5,6,6,20,2,0,1,0,15.65,2.0,false,OpenSet RA,r,BW,1,6
6,5,5,6,6,21,2,0,1,0,15.64,2.0,false,OpenSet RA,r,BW,1,7
7,5,5,6,6,21,2,0,1,0,15.63,3.0,false,OpenSet RA,r,BW,1,8
8,5,5,6,6,24,2,0,1,0,16.18,2.0,false,OpenSet RA,r,BW,1,9
9,5,5,6,6,24,2,0,1,0,16.2,2.0,false,OpenSet RA,r,BW,1,10
10,5,5,6,6,34,2,0,1,0,16.2,7.0,false,OpenSet RA,r,BW,1,11
11,5,5,6,6,35,2,0,1,0,16.66,6.0,false,OpenSet RA,r,BW,1,12
12,5,5,6,6,27,2,0,1,0,16.66,4.0,false,OpenSet RA,r,BW,1,13
13,5,5,6,6,36,2,0,1,0,17.14,8.0,false,OpenSet RA,r,BW,1,14
14,5,5,6,6,40,2,0,1,0,17.15,6.0,false,OpenSet RA,r,BW,1,15
15,13,11,17,14,22,4,0,1,0,15.65,6.0,false,OpenSet RA,r,BW,2,1
16,34,23,66,40,39,21,0,1,0,16.66,20.0,false,OpenSet RA,r,BW,2,2
17,52,31,102,56,56,45,0,1,0,19.14,23.0,false,OpenSet RA,r,BW,2,3
18,86,31,179,52,70,77,0,1,0,22.66,25.0,false,OpenSet RA,r,BW,2,4
19,111,35,227,58,116,100,0,1,0,26.66,59.0,false,OpenSet RA,r,BW,2,5
20,149,38,308,63,116,142,0,1,0,12.75,41.0,false,OpenSet RA,r,BW,2,6
21,184,47,375,80,182,186,0,1,0,32.75,68.0,false,OpenSet RA,r,BW,2,7
22,248,51,534,86,181,266,0,1,0,46.92,57.0,false,OpenSet RA,r,BW,2,8
23,280,43,598,62,195,294,0,1,0,53.02,63.0,false,OpenSet RA,r,BW,2,9
24,360,58,777,97,292,389,0,1,0,97.13,84.0,false,OpenSet RA,r,BW,2,10
25,421,59,912,94,371,469,0,1,0,132.21,80.0,false,OpenSet RA,r,BW,2,11
26,493,99,1071,190,549,560,0,1,0,31.4,144.0,false,OpenSet RA,r,BW,2,12
27,537,63,1167,96,599,607,0,1,0,61.47,136.0,false,OpenSet RA,r,BW,2,13
28,619,67,1352,102,773,707,0,1,0,147.7,114.0,false,OpenSet RA,r,BW,2,14
29,649,70,1428,107,958,748,0,1,0,69.4,142.0,false,OpenSet RA,r,BW,2,15
30,48,26,78,39,45,26,0,1,0,17.7,20.0,false,OpenSet RA,r,BW,3,1
31,203,51,513,90,150,202,0,1,0,29.63,48.0,false,OpenSet RA,r,BW,3,2
32,378,168,854,405,310,396,0,1,0,100.79,84.0,false,OpenSet RA,r,BW,3,3
33,845,438,2294,1204,1226,1207,0,1,0,171.04,155.0,false,OpenSet RA,r,BW,3,4
34,1263,395,3329,1037,2710,1800,0,1,0,215.7,239.0,false,OpenSet RA,r,BW,3,5
35,2117,1003,5715,2899,5547,3105,0,1,0,238.88,355.0,false,OpenSet RA,r,BW,3,6
36,3027,472,8416,1176,17761,4738,0,1,0,340.56,486.0,false,OpenSet RA,r,BW,3,7
37,4006,1023,10509,2794,17973,5553,0,1,0,229.05,654.0,false,OpenSet RA,r,BW,3,8
38,4666,289,10905,610,18531,5473,0,1,0,334.48,658.0,false,OpenSet RA,r,BW,3,9
39,6147,0,15001,0,36670,7477,0,0,0,269.7,895.0,true,OpenSet RA,r,BW,3,10
40,6877,0,15001,0,31590,6921,0,0,0,341.36,1101.0,true,OpenSet RA,r,BW,3,11
41,7643,0,15001,0,21437,5463,0,0,0,165.31,1205.0,true,OpenSet RA,r,BW,3,12
42,7681,0,15001,0,22063,5727,0,0,0,317.43,1197.0,true,OpenSet RA,r,BW,3,13
43,7669,0,15001,0,23818,6041,0,0,0,199.38,1230.0,true,OpenSet RA,r,BW,3,14
44,7888,0,15001,0,22565,5767,0,0,0,259.82,1393.0,true,OpenSet RA,r,BW,3,15
45,186,71,376,132,174,158,0,1,0,33.68,66.0,false,OpenSet RA,r,BW,4,1
46,1123,182,3260,400,1944,1691,0,1,0,141.25,222.0,false,OpenSet RA,r,BW,4,2
47,3142,1907,9864,6123,16746,5809,0,1,0,222.76,524.0,false,OpenSet RA,r,BW,4,3
48,5246,0,15001,0,37834,8748,0,0,0,252.9,970.0,true,OpenSet RA,r,BW,4,4
49,7160,0,15001,0,24917,6019,0,0,0,116.93,1309.0,true,OpenSet RA,r,BW,4,5
50,8102,0,15001,0,14622,4168,0,0,0,196.52,1556.0,true,OpenSet RA,r,BW,4,6
51,9150,0,15001,0,5078,1805,0,0,0,114.01,1734.0,true,OpenSet RA,r,BW,4,7
52,10201,0,15001,0,3034,21,0,0,0,0.0,2006.0,true,OpenSet RA,r,BW,4,8
53,10254,0,15001,0,2827,0,0,0,0,0.0,2031.0,true,OpenSet RA,r,BW,4,9
54,10327,0,15001,0,2731,0,0,0,0,0.0,2044.0,true,OpenSet RA,r,BW,4,10
55,10364,0,15001,0,2805,0,0,0,0,0.0,2164.0,true,OpenSet RA,r,BW,4,11
56,10451,0,15001,0,2737,0,0,0,0,0.0,2138.0,true,OpenSet RA,r,BW,4,12
57,10388,0,15001,0,2742,0,0,0,0,0.0,2135.0,true,OpenSet RA,r,BW,4,13
58,10542,0,15001,0,2700,0,0,0,0,0.0,2100.0,true,OpenSet RA,r,BW,4,14
59,10633,0,15001,0,2863,0,0,0,0,0.0,2262.0,true,OpenSet RA,r,BW,4,15
