,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,5.0,5.0,6.0,6.0,184.0,2.0,0.0,1.0,0.0,12.48,16.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,1,
1,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,13.5,12.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,2,
2,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,3,
3,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,4,
4,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,5,
5,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.54,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,6,
6,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,7,
7,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.05,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,8,
8,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,9,
9,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,10,
10,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,11,
11,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.54,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,12,
12,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,13,
13,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,14,
14,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.54,11.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,15,
15,11.0,11.0,14.0,14.0,178.0,4.0,0.0,1.0,0.0,14.51,21.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,1,
16,15.0,15.0,20.0,20.0,184.0,5.0,0.0,1.0,0.0,15.53,23.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,2,
17,19.0,19.0,26.0,26.0,190.0,7.0,0.0,1.0,0.0,16.0,26.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,3,
18,23.0,23.0,32.0,32.0,192.0,9.0,0.0,1.0,0.0,16.0,31.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,4,
19,27.0,27.0,38.0,38.0,193.0,11.0,0.0,1.0,0.0,16.48,30.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,5,
20,31.0,31.0,44.0,44.0,315.0,13.0,0.0,1.0,0.0,15.98,53.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,6,
