,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
0,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/0.onnx,TL,1,1,0
1,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/1.onnx,TL,1,1,1
2,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/2.onnx,TL,1,1,2
3,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/3.onnx,TL,1,1,3
4,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/4.onnx,TL,1,1,4
5,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/5.onnx,TL,1,1,5
6,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/6.onnx,TL,1,1,6
7,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/7.onnx,TL,1,1,7
8,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/8.onnx,TL,1,1,8
9,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/9.onnx,TL,1,1,9
10,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/10.onnx,TL,1,1,10
11,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/11.onnx,TL,1,1,11
12,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/12.onnx,TL,1,1,12
13,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/13.onnx,TL,1,1,13
14,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/14.onnx,TL,1,1,14
15,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/15.onnx,TL,1,1,15
16,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/16.onnx,TL,1,1,16
17,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/17.onnx,TL,1,1,17
18,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/18.onnx,TL,1,1,18
19,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/19.onnx,TL,1,1,19
20,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/20.onnx,TL,1,1,20
21,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/21.onnx,TL,1,1,21
22,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/22.onnx,TL,1,1,22
23,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/23.onnx,TL,1,1,23
24,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/24.onnx,TL,1,1,24
25,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/25.onnx,TL,1,1,25
26,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/26.onnx,TL,1,1,26
27,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/27.onnx,TL,1,1,27
28,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/28.onnx,TL,1,1,28
29,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/29.onnx,TL,1,1,29
30,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/30.onnx,TL,1,1,30
31,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/31.onnx,TL,1,1,31
32,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/32.onnx,TL,1,1,32
33,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/33.onnx,TL,1,1,33
34,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/34.onnx,TL,1,1,34
35,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/35.onnx,TL,1,1,35
36,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/36.onnx,TL,1,1,36
37,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/37.onnx,TL,1,1,37
38,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/38.onnx,TL,1,1,38
39,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/39.onnx,TL,1,1,39
40,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/40.onnx,TL,1,1,40
41,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/41.onnx,TL,1,1,41
42,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/42.onnx,TL,1,1,42
43,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/43.onnx,TL,1,1,43
44,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/45.onnx,TL,1,1,45
45,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/46.onnx,TL,1,1,46
46,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/48.onnx,TL,1,1,48
47,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/49.onnx,TL,1,1,49
48,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/50.onnx,TL,1,1,50
49,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/51.onnx,TL,1,1,51
50,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/52.onnx,TL,1,1,52
51,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/53.onnx,TL,1,1,53
52,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/54.onnx,TL,1,1,54
53,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/55.onnx,TL,1,1,55
54,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/56.onnx,TL,1,1,56
55,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/57.onnx,TL,1,1,57
56,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/58.onnx,TL,1,1,58
57,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/59.onnx,TL,1,1,59
58,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/60.onnx,TL,1,1,60
59,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/61.onnx,TL,1,1,61
60,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/62.onnx,TL,1,1,62
61,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/63.onnx,TL,1,1,63
62,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/64.onnx,TL,1,1,64
63,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/65.onnx,TL,1,1,65
64,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/66.onnx,TL,1,1,66
65,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/67.onnx,TL,1,1,67
66,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/68.onnx,TL,1,1,68
67,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/69.onnx,TL,1,1,69
68,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/70.onnx,TL,1,1,70
69,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/71.onnx,TL,1,1,71
70,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/72.onnx,TL,1,1,72
71,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/73.onnx,TL,1,1,73
72,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/74.onnx,TL,1,1,74
73,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/75.onnx,TL,1,1,75
74,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/76.onnx,TL,1,1,76
75,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/77.onnx,TL,1,1,77
76,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/78.onnx,TL,1,1,78
77,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/79.onnx,TL,1,1,79
78,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/80.onnx,TL,1,1,80
79,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/81.onnx,TL,1,1,81
80,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/82.onnx,TL,1,1,82
81,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/83.onnx,TL,1,1,83
82,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/84.onnx,TL,1,1,84
83,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/85.onnx,TL,1,1,85
84,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/86.onnx,TL,1,1,86
85,,,False,True,new,experiments/results/TL_2_2/pathLabelsSGDNoMomentum/87.onnx,TL,1,1,87
