,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
32,33,12,44,14,151,7,0,1,5,17.62,16.0,new,experiments/results/TL_2_2/ra_feature_2h/32.onnx,TL,2,2,2425.7970671653748,1650000,1e-05,20,0.1,14,True,32
33,11,9,12,10,148,2,0,1,1,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/33.onnx,TL,2,2,2547.563613176346,1700000,1e-05,20,0.1,14,True,33
34,22,20,31,28,144,4,0,6,1,16.67,11.0,new,experiments/results/TL_2_2/ra_feature_2h/34.onnx,TL,2,2,2661.5019040107727,1750000,1e-05,20,0.1,14,True,34
35,12,9,13,10,161,2,0,1,3,16.18,8.0,new,experiments/results/TL_2_2/ra_feature_2h/35.onnx,TL,2,2,2732.8830921649933,1800000,1e-05,20,0.1,14,True,35
36,11,9,12,10,130,2,0,1,2,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/36.onnx,TL,2,2,2812.3806762695312,1850000,1e-05,20,0.1,14,True,36
37,9,9,10,10,152,2,0,1,0,16.19,6.0,new,experiments/results/TL_2_2/ra_feature_2h/37.onnx,TL,2,2,3082.128361225128,1900000,1e-05,20,0.1,14,True,37
38,10,9,11,10,160,2,0,1,1,16.19,7.0,new,experiments/results/TL_2_2/ra_feature_2h/38.onnx,TL,2,2,3219.294508457184,1950000,1e-05,20,0.1,14,True,38
39,11,9,12,10,149,2,0,1,2,16.18,8.0,new,experiments/results/TL_2_2/ra_feature_2h/39.onnx,TL,2,2,3302.4979724884033,2000000,1e-05,20,0.1,14,True,39
40,9,9,10,10,126,2,0,1,0,16.19,5.0,new,experiments/results/TL_2_2/ra_feature_2h/40.onnx,TL,2,2,3413.9303402900696,2050000,1e-05,20,0.1,14,True,40
41,10,9,11,10,153,2,0,1,1,16.19,7.0,new,experiments/results/TL_2_2/ra_feature_2h/41.onnx,TL,2,2,3529.0177369117737,2100000,1e-05,20,0.1,14,True,41
42,9,9,10,10,145,2,0,1,0,16.19,7.0,new,experiments/results/TL_2_2/ra_feature_2h/42.onnx,TL,2,2,3635.1279726028442,2150000,1e-05,20,0.1,14,True,42
43,63,12,89,14,199,4,0,1,9,20.66,28.0,new,experiments/results/TL_2_2/ra_feature_2h/43.onnx,TL,2,2,3732.414075613022,2200000,1e-05,20,0.1,14,True,43
44,35,18,49,26,177,10,0,1,6,17.7,21.0,new,experiments/results/TL_2_2/ra_feature_2h/44.onnx,TL,2,2,3803.034555196762,2250000,1e-05,20,0.1,14,True,44
45,10,9,11,10,130,2,0,1,1,16.19,5.0,new,experiments/results/TL_2_2/ra_feature_2h/45.onnx,TL,2,2,3924.517997741699,2300000,1e-05,20,0.1,14,True,45
46,102,9,133,10,220,17,0,1,31,25.62,38.0,new,experiments/results/TL_2_2/ra_feature_2h/46.onnx,TL,2,2,4106.700892925262,2350000,1e-05,20,0.1,14,True,46
47,12,9,13,10,130,2,0,1,2,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/47.onnx,TL,2,2,4205.174489021301,2400000,1e-05,20,0.1,14,True,47
48,47,9,63,10,188,11,0,1,15,18.67,23.0,new,experiments/results/TL_2_2/ra_feature_2h/48.onnx,TL,2,2,4364.37043094635,2450000,1e-05,20,0.1,14,True,48
49,11,9,12,10,130,2,0,1,2,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/49.onnx,TL,2,2,4479.77073264122,2500000,1e-05,20,0.1,14,True,49
50,20,12,24,14,137,2,0,4,4,16.66,12.0,new,experiments/results/TL_2_2/ra_feature_2h/50.onnx,TL,2,2,4607.363283872604,2550000,1e-05,20,0.1,14,True,50
51,11,9,12,10,126,2,0,1,0,16.18,8.0,new,experiments/results/TL_2_2/ra_feature_2h/51.onnx,TL,2,2,4779.602396249771,2600000,1e-05,20,0.1,14,True,51
52,20,12,24,14,155,2,0,4,4,16.66,7.0,new,experiments/results/TL_2_2/ra_feature_2h/52.onnx,TL,2,2,4982.397151470184,2650000,1e-05,20,0.1,14,True,52
53,27,18,36,26,159,6,0,1,9,17.14,12.0,new,experiments/results/TL_2_2/ra_feature_2h/53.onnx,TL,2,2,5100.760521173477,2700000,1e-05,20,0.1,14,True,53
54,9,9,10,10,147,2,0,1,0,16.19,7.0,new,experiments/results/TL_2_2/ra_feature_2h/54.onnx,TL,2,2,5186.6350309848785,2750000,1e-05,20,0.1,14,True,54
55,22,12,26,14,166,2,0,4,6,16.66,8.0,new,experiments/results/TL_2_2/ra_feature_2h/55.onnx,TL,2,2,5321.094420194626,2800000,1e-05,20,0.1,14,True,55
