testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable
AT-4-1,compos,MA,,5,0,4,0,25,0,0,0,1,14.00MB,36,False
AT-4-1,compos,RA,,5,0,4,0,28,0,0,0,1,14.00MB,28,False
AT-4-1,compos,BFS,,17,0,16,0,12,0,0,0,2,14.00MB,27,False
AT-4-1,mono,,,690,0,1849,0,16,0,0,0,0,0Bs,77,False
AT-4-10,compos,RA,,39665,701,95755,1417,101885,341,0,1,18198,543.54MB,44,True
AT-4-10,compos,BFS,,54225,1322,171022,2605,582184,1177,0,1,34015,861.83MB,44,True
AT-4-10,mono,,,51234,24401,250465,43585,997,0,0,0,0,462.68MB,351,True
AT-4-11,compos,RA,,53015,779,130021,1573,151923,343,0,1,23344,599.83MB,43,True
AT-4-11,compos,BFS,,68621,2797,233469,4785,1268332,1826,0,1,40452,1018.26MB,42,True
AT-4-11,mono,,,66770,33169,335537,57705,1287,0,0,0,0,715.81MB,431,True
AT-4-12,compos,RA,,69345,871,172603,1799,223938,336,0,1,29310,659.73MB,55,True
AT-4-12,compos,BFS,TO,,,,,,,,,,,,
AT-4-12,mono,,,85522,44121,440457,74921,1604,0,0,0,0,841.43MB,540,True
AT-4-13,compos,RA,,89157,856,225094,1724,307634,348,0,1,36314,796.49MB,44,True
AT-4-13,mono,,,107898,57593,568081,95641,2128,0,0,0,0,1.05GB,625,True
AT-4-14,compos,RA,,112778,879,288685,1789,438511,349,0,1,44268,945.82MB,48,True
AT-4-14,mono,,,134330,73945,721457,120297,2649,0,0,0,0,1.14GB,755,True
AT-4-15,compos,RA,,140746,914,365112,1875,596690,352,0,1,53364,1.12GB,49,True
AT-4-15,mono,,,165274,93561,903825,149345,3162,0,0,0,0,1.72GB,933,True
AT-4-2,compos,RA,,315,0,384,0,246,0,0,0,74,14.00MB,30,False
AT-4-2,compos,MA,,721,0,1204,0,897,345,0,0,270,14.00MB,29,False
AT-4-2,compos,BFS,,664,0,1193,0,463,211,0,0,136,14.00MB,29,False
AT-4-2,mono,,,1682,0,5057,0,35,0,0,0,0,0Bs,98,False
AT-4-3,compos,MA,,1686,0,3356,0,5170,1264,0,0,968,153.27MB,33,False
AT-4-3,compos,BFS,,2291,0,4344,0,3480,672,0,0,981,127.69MB,32,False
AT-4-3,compos,RA,,1480,0,2552,0,1172,202,0,0,559,96.59MB,43,False
AT-4-3,mono,,,3298,0,11121,0,85,0,0,0,0,0Bs,81,False
AT-4-4,compos,MA,,2714,789,5016,1578,8647,1099,0,1,1381,199.78MB,50,True
AT-4-4,compos,BFS,,4474,1011,9355,1991,2313,112,0,1,2132,158.13MB,33,True
AT-4-4,compos,RA,,3377,910,6986,1853,4878,382,0,1,2060,79.00MB,43,True
AT-4-4,mono,,,5730,1865,21097,4057,133,0,0,0,0,63.84MB,95,True
AT-4-5,compos,BFS,,6907,647,15841,1316,46645,2214,0,1,2638,335.15MB,36,True
AT-4-5,compos,MA,,6023,905,14672,1784,110584,5994,0,5,4380,277.91MB,43,True
AT-4-5,compos,RA,,5761,810,12193,1632,9036,310,0,1,3270,217.82MB,42,True
AT-4-5,mono,,,9194,3241,36305,6825,166,0,0,0,0,83.09MB,129,True
AT-4-6,compos,MA,,9705,1522,25785,3162,445355,12298,0,7,7200,292.28MB,40,True
AT-4-6,compos,RA,,9369,740,21287,1535,15768,382,0,1,5426,278.56MB,54,True
AT-4-6,compos,BFS,,10362,897,25338,1829,112348,3126,0,1,3301,405.12MB,37,True
AT-4-6,mono,,,13930,5289,58257,10745,242,0,0,0,0,132.02MB,190,True
AT-4-7,compos,RA,,14149,889,33072,1807,25726,355,0,1,7652,461.96MB,39,True
AT-4-7,compos,BFS,,19914,1638,52790,3328,52926,520,0,1,11476,519.14MB,38,True
AT-4-7,compos,MA,,4308,834,6663,1680,16147,1095,0,1,1416,222.73MB,41,True
AT-4-7,mono,,,20202,8201,88657,16081,343,0,0,0,0,194.16MB,205,True
AT-4-8,compos,BFS,,25584,1223,71985,2365,930078,5754,0,1,11478,651.71MB,41,True
AT-4-8,compos,MA,,6688,839,14872,1674,73637,4662,0,1,2772,235.76MB,42,True
AT-4-8,compos,RA,,20599,880,48330,1805,43236,348,0,1,10420,465.28MB,41,True
AT-4-8,mono,,,28298,12193,129401,23121,488,0,0,0,0,265.74MB,232,True
AT-4-9,compos,RA,,28999,846,68993,1750,68028,341,0,1,13934,520.77MB,40,True
AT-4-9,compos,BFS,,31566,1030,89947,2079,1419407,7128,0,1,8518,460.42MB,43,True
AT-4-9,compos,MA,TO,,,,,,,,,,,,
AT-4-9,mono,,,38530,17505,182577,32177,770,0,0,0,0,443.44MB,302,True
AT-5-1,compos,RA,,5,0,4,0,34,0,0,0,1,14.00MB,29,False
AT-5-1,compos,MA,,6,0,5,0,34,0,0,0,1,14.00MB,29,False
AT-5-1,compos,BFS,,92,0,108,0,28,11,0,0,1,14.00MB,39,False
AT-5-1,mono,,,2594,0,7371,0,39,0,0,0,0,16.81MB,76,False
AT-5-10,mono,,,810794,250433,4575291,491091,14053,0,0,0,0,6.68GB,4694,True
AT-5-11,mono,,Exception,,,,,,,,,,,,
AT-5-2,compos,RA,,1230,0,1649,0,821,0,0,0,343,14.99MB,32,False
AT-5-2,compos,MA,,1802,0,2427,0,1709,161,0,0,884,140.76MB,33,False
AT-5-2,compos,BFS,,656,0,972,0,96,29,0,0,98,14.96MB,40,False
AT-5-2,mono,,,9194,0,30411,0,105,0,0,0,0,0Bs,100,False
AT-5-3,compos,BFS,,2676,0,3716,0,233,0,0,0,674,15.45MB,36,False
AT-5-3,compos,RA,,4147,0,5988,0,2513,0,0,0,1755,128.68MB,35,False
AT-5-3,compos,MA,,6795,0,12496,0,38848,1812,0,0,3578,263.49MB,42,False
AT-5-3,mono,,,23154,0,85771,0,274,0,0,0,0,0Bs,185,False
AT-5-4,compos,RA,,11172,0,17353,0,7543,0,0,0,5665,160.43MB,38,False
AT-5-4,compos,BFS,,25673,0,53467,0,888317,6646,0,0,12751,446.07MB,47,False
AT-5-4,compos,MA,,19248,0,40243,0,866158,13970,0,0,14235,318.22MB,40,False
AT-5-4,mono,,,48434,0,197931,0,748,0,0,0,0,0Bs,287,False
AT-5-5,compos,BFS,,63553,5937,129264,11752,1319534,4045,0,1,33130,889.18MB,48,True
AT-5-5,compos,RA,,41773,6319,88941,13804,470111,2158,0,1,31760,643.24MB,39,True
AT-5-5,compos,MA,,30444,6322,57672,13599,1456478,11296,0,1,18944,346.14MB,39,True
AT-5-5,mono,,,90074,18313,398691,42371,1033,0,0,0,0,750.50MB,405,True
AT-5-6,compos,MA,,34237,6026,60744,12871,1431772,10684,0,1,18381,311.61MB,52,True
AT-5-6,compos,RA,,77753,6533,170275,14098,707952,1649,0,1,56340,742.44MB,51,True
AT-5-6,compos,BFS,,106422,6368,250252,12880,979784,920,0,1,61888,1012.15MB,51,True
AT-5-6,mono,,,154314,34513,729331,77291,1778,0,0,0,0,1.23GB,635,True
AT-5-7,compos,BFS,TO,,,,,,,,,,,,
