testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable
AT-6-5,compos,RA,,136609,0,213548,0,168724,0,0,0,79521,773.12MB,43,False
AT-6-5,compos,BFS,,346964,0,688440,0,1671557,0,0,0,187803,1.24GB,52,False
AT-6-5,mono,,,850770,0,4070989,0,11811,0,0,0,0,5.25GB,3626,False
AT-6-6,compos,RA,TO,,,,,,,,,,,,
AT-6-6,compos,BFS,TO,,,,,,,,,,,,
AT-6-6,mono,,Exception,,,,,,,,,,,,
AT-7-1,compos,MA,,5,0,4,0,59,0,0,0,1,14.97MB,41,False
AT-7-1,compos,RA,,5,0,4,0,78,0,0,0,1,14.99MB,38,False
AT-7-1,compos,BFS,,6,0,5,0,10,0,0,0,1,14.96MB,31,False
AT-7-1,mono,,,27682,0,83567,0,180,0,0,0,0,0Bs,181,False
AT-7-2,compos,MA,,12195,0,18520,0,46659,1259,0,0,2906,373.91MB,36,False
AT-7-2,compos,RA,,9155,0,11819,0,6697,0,0,0,2397,150.47MB,37,False
AT-7-2,compos,BFS,,214,0,246,0,43,0,0,0,25,15.44MB,38,False
AT-7-2,mono,,,198146,0,730927,0,1258,0,0,0,0,1.36GB,574,False
AT-7-3,compos,MA,TO,,,,,,,,,,,,
AT-7-3,compos,BFS,,1956,0,2551,0,166,0,0,0,277,15.92MB,53,False
AT-7-3,compos,RA,,61388,0,90314,0,59913,0,0,0,31643,518.11MB,51,False
AT-7-3,mono,,,899154,0,3737343,0,6122,0,0,0,0,4.88GB,3072,False
AT-7-4,compos,BFS,TO,,,,,,,,,,,,
AT-7-4,compos,RA,,209934,0,314733,0,278506,0,0,0,118890,782.07MB,42,False
AT-7-4,mono,,Exception,,,,,,,,,,,,
AT-7-5,compos,RA,,630588,0,965612,0,1176754,0,0,0,375853,1.49GB,54,False
AT-7-6,compos,RA,TO,,,,,,,,,,,,
AT-8-1,compos,RA,,5,0,4,0,65,0,0,0,1,14.97MB,34,False
AT-8-1,compos,BFS,,66,0,68,0,25,2,0,0,2,14.96MB,34,False
AT-8-1,compos,MA,,5,0,4,0,57,0,0,0,1,14.96MB,33,False
AT-8-1,mono,,,82178,0,252433,0,575,0,0,0,0,0Bs,311,False
AT-8-2,compos,BFS,,6709,0,10345,0,8199,1040,0,0,417,281.14MB,38,False
AT-8-2,compos,RA,,22411,0,28766,0,18989,0,0,0,5604,271.17MB,52,False
AT-8-2,compos,MA,,63511,0,88660,0,108451,7,0,0,32870,643.42MB,38,False
AT-8-2,mono,,,796418,0,3030289,0,4784,0,0,0,0,4.06GB,2422,False
AT-8-3,compos,BFS,TO,,,,,,,,,,,,
AT-8-3,compos,RA,,208551,0,306305,0,287554,0,0,0,113422,786.41MB,43,False
AT-8-3,compos,MA,TO,,,,,,,,,,,,
AT-8-3,mono,,Exception,,,,,,,,,,,,
AT-8-4,compos,RA,,833914,0,1236731,0,1739735,0,0,0,500503,1.95GB,50,False
AT-8-5,compos,RA,TO,,,,,,,,,,,,
AT-9-1,compos,MA,,5,0,4,0,61,0,0,0,1,15.45MB,34,False
AT-9-1,compos,RA,,5,0,4,0,76,0,0,0,1,15.47MB,35,False
AT-9-1,compos,BFS,,17,0,16,0,13,0,0,0,2,15.45MB,35,False
AT-9-1,mono,,,233218,0,725779,0,1332,0,0,0,0,1.28GB,613,False
AT-9-2,compos,RA,,53257,0,67927,0,65738,0,0,0,12748,444.63MB,44,False
AT-9-2,compos,MA,,7153,0,9435,0,25650,436,0,0,1248,242.44MB,55,False
AT-9-2,compos,BFS,,6004,0,8602,0,3559,615,0,0,262,137.12MB,45,False
AT-9-2,mono,,Exception,,,,,,,,,,,,
AT-9-3,compos,BFS,,1578,0,1965,0,161,0,0,0,208,16.97MB,45,False
AT-9-3,compos,MA,,271428,0,422562,0,1140976,973,0,0,180771,1.13GB,46,False
AT-9-3,compos,RA,,664193,0,970921,0,1270768,0,0,0,374209,1.55GB,44,False
AT-9-4,compos,RA,TO,,,,,,,,,,,,
