testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments
TA-2-12,compos,RA,173,112,280,160,193,71,0,1,0,28.66MB,29,True,
TA-2-12,mono,,341,270,784,535,16,0,0,0,0,14.04MB,64,True,
TA-2-13,compos,BFS,364,235,813,442,239,140,0,1,91,92.52MB,29,True,
TA-2-13,compos,RA,176,118,283,169,196,74,0,1,0,29.78MB,36,True,
TA-2-13,compos,MA,360,277,709,520,762,278,0,1,0,46.40MB,29,True,
TA-2-13,mono,,361,286,828,569,24,0,0,0,0,14.89MB,83,True,
TA-2-14,compos,RA,186,124,300,178,200,77,0,1,0,32.93MB,30,True,
TA-2-14,compos,BFS,384,267,856,507,283,142,0,1,120,108.56MB,29,True,
TA-2-14,compos,MA,380,291,749,549,870,293,0,1,0,93.00MB,39,True,
TA-2-14,mono,,381,302,872,603,26,0,0,0,0,15.37MB,84,True,
TA-2-15,compos,BFS,404,236,857,429,267,131,0,1,121,103.58MB,30,True,
TA-2-15,compos,RA,192,130,309,187,211,80,0,1,0,36.07MB,30,True,
TA-2-15,compos,MA,364,309,715,580,799,261,0,1,0,76.27MB,29,True,
TA-2-15,mono,,401,318,916,637,20,0,0,0,0,15.14MB,68,True,
TA-2-2,compos,RA,90,46,140,57,115,33,0,1,0,25.92MB,33,True,
TA-2-2,compos,BFS,143,97,336,169,85,50,0,1,82,14.00MB,26,True,
TA-2-2,compos,MA,118,80,229,130,195,73,0,1,0,48.16MB,27,True,
TA-2-2,mono,,141,110,344,195,11,0,0,0,0,10.72MB,67,True,
TA-2-3,compos,BFS,164,113,383,204,107,72,0,1,81,17.33MB,26,True,
TA-2-3,compos,RA,98,52,153,66,112,36,0,1,0,26.97MB,26,True,
TA-2-3,compos,MA,160,117,315,202,284,113,0,1,0,76.12MB,26,True,
TA-2-3,mono,,161,126,388,229,14,0,0,0,0,11.03MB,60,True,
TA-2-4,compos,RA,106,58,166,75,115,39,0,1,0,14.00MB,37,True,
TA-2-4,compos,BFS,184,129,427,238,116,98,0,1,86,26.37MB,26,True,
TA-2-4,compos,MA,180,133,365,240,309,138,0,1,0,96.07MB,26,True,
TA-2-4,mono,,181,142,432,263,11,0,0,0,0,11.21MB,59,True,
TA-2-5,compos,RA,98,63,140,83,115,25,0,1,0,27.44MB,27,True,
TA-2-5,compos,MA,200,149,405,272,370,146,0,1,0,117.29MB,27,True,
TA-2-5,compos,BFS,204,145,471,272,154,105,0,1,78,33.41MB,35,True,
TA-2-5,mono,,201,158,476,297,11,0,0,0,0,11.59MB,59,True,
TA-2-6,compos,RA,105,69,151,92,121,28,0,1,0,14.00MB,28,True,
TA-2-6,compos,BFS,224,161,511,306,131,95,0,1,82,36.43MB,28,True,
TA-2-6,compos,MA,220,165,443,303,404,165,0,1,0,136.33MB,34,True,
TA-2-6,mono,,221,174,520,331,12,0,0,0,0,11.78MB,61,True,
TA-2-7,compos,BFS,244,177,548,339,146,80,0,1,96,43.43MB,39,True,
TA-2-7,compos,RA,112,75,162,101,131,31,0,1,0,14.00MB,29,True,
TA-2-7,compos,MA,232,181,465,338,426,160,0,1,0,148.41MB,27,True,
TA-2-7,mono,,241,190,564,365,19,0,0,0,0,12.38MB,94,True,
TA-2-8,compos,BFS,264,170,584,305,159,99,0,1,99,50.47MB,27,True,
TA-2-8,compos,MA,240,197,470,359,458,164,0,1,0,20.09MB,28,True,
TA-2-8,compos,RA,115,82,164,111,154,32,0,1,0,14.00MB,28,True,
TA-2-8,mono,,261,206,608,399,11,0,0,0,0,12.63MB,61,True,
TA-2-9,compos,BFS,272,158,571,279,155,91,0,1,99,46.50MB,29,True,
TA-2-9,compos,MA,260,211,515,392,509,185,0,1,0,44.66MB,27,True,
TA-2-9,compos,RA,119,88,169,120,133,35,0,1,0,14.48MB,28,True,
TA-2-9,mono,,281,222,652,433,20,0,0,0,0,13.23MB,78,True,
TA-3-1,compos,BFS,792,365,2548,791,2015,831,0,1,344,140.77MB,28,True,
TA-3-1,compos,RA,295,90,507,111,272,102,0,1,0,41.85MB,37,True,
TA-3-1,compos,MA,725,244,1834,472,1914,703,0,1,0,33.56MB,28,True,
TA-3-1,mono,,788,588,2624,1386,72,0,0,0,0,11.89MB,75,True,
TA-3-10,compos,BFS,2121,931,6600,2275,11180,2011,0,1,692,223.08MB,45,True,
TA-3-10,compos,RA,765,433,1493,764,1284,506,0,1,0,96.55MB,30,True,
TA-3-10,compos,MA,2016,980,5763,2323,14763,2784,0,1,0,248.22MB,30,True,
TA-3-10,mono,,2120,1560,6872,4122,130,0,0,0,0,48.59MB,96,True,
TA-3-11,compos,BFS,2257,1130,7104,2825,15144,2828,0,1,463,290.83MB,30,True,
TA-3-11,compos,RA,468,227,785,318,571,179,0,1,0,136.25MB,30,True,
