testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments
TL-1-1,compos,MA,8,7,10,8,17,2,0,1,2,15.95MB,25,True,
TL-1-1,compos,BFS,10,5,10,5,11,1,0,1,2,14.48MB,24,True,
TL-1-1,compos,RA,8,7,9,8,19,2,0,1,1,15.45MB,25,True,
TL-1-1,mono,,15,8,32,9,3,0,0,0,0,7.61MB,60,True,
TL-1-10,compos,MA,8,7,10,8,19,2,0,1,0,16.00MB,26,True,
TL-1-10,compos,BFS,36,5,45,5,15,1,0,1,11,15.44MB,38,True,
TL-1-10,compos,RA,7,7,8,8,23,2,0,1,0,16.48MB,27,True,
TL-1-10,mono,,474,242,1454,585,32,0,0,0,0,17.34MB,69,True,
TL-1-11,compos,MA,8,7,10,8,20,2,0,1,0,16.48MB,27,True,
TL-1-11,compos,RA,7,7,8,8,25,2,0,1,0,16.48MB,26,True,
TL-1-11,compos,BFS,39,5,49,5,16,1,0,1,12,15.44MB,27,True,
TL-1-11,mono,,565,288,1742,704,28,0,0,0,0,11.24MB,82,True,
TL-1-12,compos,BFS,42,5,53,5,18,1,0,1,13,15.45MB,26,True,
TL-1-12,compos,MA,8,7,10,8,28,2,0,1,0,16.48MB,36,True,
TL-1-12,compos,RA,7,7,8,8,29,2,0,1,0,16.51MB,36,True,
TL-1-12,mono,,664,338,2056,834,34,0,0,0,0,12.06MB,79,True,
TL-1-13,compos,BFS,45,5,57,5,18,1,0,1,14,15.92MB,27,True,
TL-1-13,compos,RA,7,7,8,8,34,2,0,1,0,16.48MB,27,True,
TL-1-13,compos,MA,8,7,10,8,21,2,0,1,0,16.48MB,27,True,
TL-1-13,mono,,771,392,2396,975,39,0,0,0,0,14.70MB,73,True,
TL-1-14,compos,MA,8,7,10,8,21,2,0,1,0,15.92MB,27,True,
TL-1-14,compos,BFS,48,5,61,5,18,1,0,1,15,15.92MB,27,True,
TL-1-14,compos,RA,7,7,8,8,27,2,0,1,0,16.48MB,28,True,
TL-1-14,mono,,886,450,2762,1127,61,0,0,0,0,10.96MB,72,True,
TL-1-15,compos,MA,8,7,10,8,22,2,0,1,0,16.48MB,28,True,
TL-1-15,compos,BFS,51,5,65,5,19,1,0,1,16,15.93MB,27,True,
TL-1-15,compos,RA,7,7,8,8,34,2,0,1,0,16.96MB,39,True,
TL-1-15,mono,,1009,512,3154,1290,59,0,0,0,0,15.25MB,80,True,
TL-1-2,compos,MA,8,7,10,8,20,2,0,1,0,15.96MB,35,True,
TL-1-2,compos,RA,7,7,8,8,25,2,0,1,0,15.92MB,31,True,
TL-1-2,compos,BFS,12,5,13,5,11,1,0,1,3,14.48MB,32,True,
TL-1-2,mono,,34,18,86,29,6,0,0,0,0,8.25MB,54,True,
TL-1-3,compos,BFS,15,5,17,5,12,1,0,1,4,14.50MB,25,True,
TL-1-3,compos,MA,8,7,10,8,19,2,0,1,0,15.92MB,25,True,
TL-1-3,compos,RA,7,7,8,8,26,2,0,1,0,15.93MB,33,True,
TL-1-3,mono,,61,32,166,60,7,0,0,0,0,8.40MB,55,True,
TL-1-4,compos,MA,8,7,10,8,20,2,0,1,0,15.92MB,25,True,
TL-1-4,compos,RA,7,7,8,8,27,2,0,1,0,15.92MB,36,True,
TL-1-4,compos,BFS,18,5,21,5,12,1,0,1,5,14.52MB,25,True,
