testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
CM-1-11,compos,693.0,357.0,1108.0,501.0,716.0,218.0,28.0,110.0,15.0,133.25MB,49.0,True,RA,,765.0,RA,2075.0,4014.0,0.17,0.33,0.12,0.28,5.431,0.6976,2.7404,0.3737,1,11,133.25
CM-1-11,mono,2075.0,1083.0,4014.0,1531.0,184.0,0.0,0.0,0.0,0.0,55.00MB,120.0,True,,,304.0,Monolithic,2075.0,4014.0,0.52,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,11,55.0
CM-1-12,compos,827.0,413.0,1344.0,582.0,1016.0,200.0,144.0,131.0,17.0,80.50MB,61.0,True,RA,,1077.0,RA,2455.0,4762.0,0.17,0.34,0.12,0.28,4.1999,3.0239,2.7509,0.357,1,12,80.5
CM-1-12,compos,2275.0,428.0,4225.0,597.0,9231.0,774.0,344.0,1.0,109.0,189.39MB,51.0,True,BFS,,9282.0,BFS,2455.0,4762.0,0.17,0.93,0.13,0.89,16.2537,7.2239,0.021,2.289,1,12,189.39
CM-1-12,compos,1147.0,290.0,2085.0,387.0,1835.0,134.0,399.0,10.0,19.0,163.78MB,51.0,True,MA,,1886.0,MA,2455.0,4762.0,0.12,0.47,0.08,0.44,2.8139,8.3788,0.21,0.399,1,12,163.78
CM-1-12,mono,2455.0,1277.0,4762.0,1813.0,213.0,0.0,0.0,0.0,0.0,54.94MB,95.0,True,,,308.0,Monolithic,2455.0,4762.0,0.52,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,12,54.94
CM-1-13,compos,2662.0,476.0,4968.0,672.0,13576.0,914.0,399.0,1.0,120.0,279.84MB,60.0,True,BFS,,13636.0,BFS,2867.0,5574.0,0.17,0.93,0.12,0.89,16.3976,7.1582,0.0179,2.1529,1,13,279.84
CM-1-13,compos,1319.0,412.0,2419.0,565.0,2025.0,146.0,462.0,33.0,19.0,208.00MB,74.0,True,MA,,2099.0,MA,2867.0,5574.0,0.14,0.46,0.1,0.43,2.6193,8.2885,0.592,0.3409,1,13,208.0
CM-1-13,compos,,,,,,,,,,0MB,,,RA,TO,1800000.0,RA,2867.0,5574.0,,,,,,,,,1,13,
CM-1-13,mono,2867.0,1487.0,5574.0,2119.0,252.0,0.0,0.0,0.0,0.0,73.80MB,105.0,True,,,357.0,Monolithic,2867.0,5574.0,0.52,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,13,73.8
CM-1-14,compos,3074.0,549.0,5767.0,774.0,19905.0,1068.0,459.0,1.0,131.0,255.94MB,63.0,True,BFS,,19968.0,BFS,3311.0,6450.0,0.17,0.93,0.12,0.89,16.5581,7.1163,0.0155,2.031,1,14,255.94
CM-1-14,compos,1505.0,542.0,2776.0,767.0,2502.0,152.0,545.0,30.0,20.0,101.56MB,53.0,True,MA,,2555.0,MA,3311.0,6450.0,0.16,0.45,0.12,0.43,2.3566,8.4496,0.4651,0.3101,1,14,101.56
CM-1-14,mono,3311.0,1713.0,6450.0,2449.0,294.0,0.0,0.0,0.0,0.0,31.98MB,111.0,True,,,405.0,Monolithic,3311.0,6450.0,0.52,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,14,31.98
CM-1-15,compos,1703.0,526.0,3157.0,737.0,3120.0,169.0,640.0,34.0,22.0,186.20MB,77.0,True,MA,,3197.0,MA,3787.0,7390.0,0.14,0.45,0.1,0.43,2.2869,8.6604,0.4601,0.2977,1,15,186.2
CM-1-15,compos,3513.0,620.0,6621.0,876.0,28198.0,1217.0,523.0,1.0,142.0,263.29MB,75.0,True,BFS,,28273.0,BFS,3787.0,7390.0,0.16,0.93,0.12,0.9,16.4682,7.0771,0.0135,1.9215,1,15,263.29
CM-1-15,mono,3787.0,1955.0,7390.0,2803.0,340.0,0.0,0.0,0.0,0.0,66.91MB,107.0,True,,,447.0,Monolithic,3787.0,7390.0,0.52,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,15,66.91
CM-1-2,compos,84.0,36.0,124.0,45.0,46.0,20.0,7.0,1.0,11.0,18.96MB,40.0,True,BFS,,86.0,BFS,95.0,162.0,0.38,0.88,0.28,0.77,12.3457,4.321,0.6173,6.7901,1,2,18.96
CM-1-2,compos,51.0,33.0,69.0,42.0,81.0,14.0,0.0,2.0,4.0,24.48MB,40.0,True,MA,,121.0,MA,95.0,162.0,0.35,0.54,0.26,0.43,8.642,0.0,1.2346,2.4691,1,2,24.48
CM-1-2,compos,33.0,33.0,42.0,42.0,41.0,9.0,0.0,2.0,0.0,18.48MB,30.0,True,RA,,71.0,RA,95.0,162.0,0.35,0.35,0.26,0.26,5.5556,0.0,1.2346,0.0,1,2,18.48
CM-1-2,mono,95.0,57.0,162.0,73.0,10.0,0.0,0.0,0.0,0.0,9.40MB,57.0,True,,,67.0,Monolithic,95.0,162.0,0.6,1.0,0.45,1.0,0.0,0.0,0.0,0.0,1,2,9.4
CM-1-3,compos,162.0,56.0,256.0,72.0,87.0,36.0,22.0,1.0,20.0,14.00MB,40.0,True,BFS,,127.0,BFS,187.0,334.0,0.3,0.87,0.22,0.77,10.7784,6.5868,0.2994,5.988,1,3,14.0
CM-1-3,compos,53.0,53.0,69.0,69.0,60.0,13.0,0.0,5.0,0.0,21.92MB,31.0,True,RA,,91.0,RA,187.0,334.0,0.28,0.28,0.21,0.21,3.8922,0.0,1.497,0.0,1,3,21.92
CM-1-3,compos,115.0,58.0,163.0,74.0,125.0,22.0,9.0,6.0,8.0,17.20MB,30.0,True,MA,,155.0,MA,187.0,334.0,0.31,0.61,0.22,0.49,6.5868,2.6946,1.7964,2.3952,1,3,17.2
CM-1-3,mono,187.0,107.0,334.0,139.0,10.0,0.0,0.0,0.0,0.0,11.00MB,61.0,True,,,71.0,Monolithic,187.0,334.0,0.57,1.0,0.42,1.0,0.0,0.0,0.0,0.0,1,3,11.0
CM-1-4,compos,270.0,83.0,444.0,108.0,134.0,59.0,40.0,1.0,30.0,40.36MB,34.0,True,BFS,,168.0,BFS,311.0,570.0,0.27,0.87,0.19,0.78,10.3509,7.0175,0.1754,5.2632,1,4,40.36
CM-1-4,compos,185.0,82.0,291.0,107.0,161.0,38.0,28.0,9.0,8.0,42.23MB,34.0,True,MA,,195.0,MA,311.0,570.0,0.26,0.59,0.19,0.51,6.6667,4.9123,1.5789,1.4035,1,4,42.23
CM-1-4,compos,77.0,77.0,102.0,102.0,83.0,17.0,0.0,10.0,0.0,26.96MB,42.0,True,RA,,125.0,RA,311.0,570.0,0.25,0.25,0.18,0.18,2.9825,0.0,1.7544,0.0,1,4,26.96
CM-1-4,mono,311.0,173.0,570.0,229.0,28.0,0.0,0.0,0.0,0.0,14.96MB,85.0,True,,,113.0,Monolithic,311.0,570.0,0.56,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1,4,14.96
CM-1-5,compos,263.0,110.0,427.0,146.0,227.0,47.0,48.0,11.0,11.0,76.28MB,37.0,True,MA,,264.0,MA,467.0,870.0,0.24,0.56,0.17,0.49,5.4023,5.5172,1.2644,1.2644,1,5,76.28
CM-1-5,compos,413.0,110.0,690.0,146.0,251.0,87.0,64.0,1.0,39.0,97.45MB,36.0,True,BFS,,287.0,BFS,467.0,870.0,0.24,0.88,0.17,0.79,10.0,7.3563,0.1149,4.4828,1,5,97.45
CM-1-5,compos,105.0,105.0,141.0,141.0,117.0,21.0,0.0,17.0,0.0,14.96MB,47.0,True,RA,,164.0,RA,467.0,870.0,0.22,0.22,0.16,0.16,2.4138,0.0,1.954,0.0,1,5,14.96
CM-1-5,mono,467.0,255.0,870.0,343.0,35.0,0.0,0.0,0.0,0.0,19.75MB,71.0,True,,,106.0,Monolithic,467.0,870.0,0.55,1.0,0.39,1.0,0.0,0.0,0.0,0.0,1,5,19.75
