testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments
DP-1-1,compos,MA,4,0,3,0,17,0,0,0,1,14.00MB,34,False,
DP-1-1,compos,BFS,4,0,3,0,7,0,0,0,1,14.00MB,24,False,
DP-1-1,compos,RA,4,0,3,0,15,0,0,0,1,14.00MB,29,False,
DP-1-1,mono,,4,0,3,0,0,0,0,0,0,7.04MB,60,False,
DP-1-10,compos,BFS,13,0,12,0,9,0,0,0,1,14.00MB,35,False,
DP-1-10,compos,RA,13,0,12,0,20,0,0,0,1,14.00MB,25,False,
DP-1-10,compos,MA,13,0,12,0,17,0,0,0,1,14.00MB,26,False,
DP-1-10,mono,,13,0,12,0,1,0,0,0,0,7.03MB,54,False,
DP-1-11,compos,MA,14,0,13,0,19,0,0,0,1,14.00MB,29,False,
DP-1-11,compos,BFS,14,0,13,0,9,0,0,0,1,14.00MB,25,False,
DP-1-11,compos,RA,14,0,13,0,21,0,0,0,1,14.00MB,25,False,
DP-1-11,mono,,14,0,13,0,0,0,0,0,0,7.19MB,55,False,
DP-1-12,compos,MA,15,0,14,0,25,0,0,0,1,14.00MB,35,False,
DP-1-12,compos,BFS,15,0,14,0,9,0,0,0,1,14.00MB,25,False,
DP-1-12,compos,RA,15,0,14,0,21,0,0,0,1,14.00MB,26,False,
DP-1-12,mono,,15,0,14,0,1,0,0,0,0,7.19MB,60,False,
DP-1-13,compos,MA,16,0,15,0,19,0,0,0,1,14.00MB,25,False,
DP-1-13,compos,BFS,16,0,15,0,10,0,0,0,1,14.00MB,26,False,
DP-1-13,compos,RA,16,0,15,0,21,0,0,0,1,14.00MB,26,False,
DP-1-13,mono,,16,0,15,0,1,0,0,0,0,7.19MB,61,False,
DP-1-14,compos,RA,17,0,16,0,22,0,0,0,1,14.00MB,27,False,
DP-1-14,compos,BFS,17,0,16,0,13,0,0,0,1,14.00MB,34,False,
DP-1-14,compos,MA,17,0,16,0,19,0,0,0,1,14.00MB,25,False,
DP-1-14,mono,,17,0,16,0,1,0,0,0,0,7.19MB,59,False,
DP-1-15,compos,RA,18,0,17,0,24,0,0,0,1,14.00MB,36,False,
DP-1-15,compos,MA,18,0,17,0,26,0,0,0,1,14.00MB,31,False,
DP-1-15,compos,BFS,18,0,17,0,11,0,0,0,1,14.00MB,25,False,
DP-1-15,mono,,18,0,17,0,1,0,0,0,0,7.19MB,69,False,
DP-1-2,compos,RA,5,0,4,0,15,0,0,0,1,13.95MB,24,False,
DP-1-2,compos,BFS,5,0,4,0,8,0,0,0,1,14.00MB,25,False,
DP-1-2,compos,MA,5,0,4,0,16,0,0,0,1,14.00MB,32,False,
DP-1-2,mono,,5,0,4,0,0,0,0,0,0,7.03MB,61,False,
DP-1-3,compos,RA,6,0,5,0,22,0,0,0,1,14.00MB,25,False,
DP-1-3,compos,BFS,6,0,5,0,8,0,0,0,1,14.00MB,33,False,
DP-1-3,compos,MA,6,0,5,0,12,0,0,0,1,14.00MB,25,False,
DP-1-3,mono,,6,0,5,0,0,0,0,0,0,7.19MB,72,False,
DP-1-4,compos,MA,7,0,6,0,14,0,0,0,1,14.00MB,33,False,
DP-1-4,compos,BFS,7,0,6,0,9,0,0,0,1,14.00MB,25,False,
DP-1-4,compos,RA,7,0,6,0,16,0,0,0,1,14.00MB,25,False,
DP-1-4,mono,,7,0,6,0,0,0,0,0,0,7.19MB,61,False,
DP-1-5,compos,MA,8,0,7,0,14,0,0,0,1,14.00MB,26,False,
DP-1-5,compos,RA,8,0,7,0,17,0,0,0,1,13.95MB,25,False,
DP-1-5,compos,BFS,8,0,7,0,9,0,0,0,1,14.00MB,25,False,
DP-1-5,mono,,8,0,7,0,1,0,0,0,0,7.03MB,53,False,
DP-1-6,compos,RA,9,0,8,0,17,0,0,0,1,13.95MB,25,False,
DP-1-6,compos,BFS,9,0,8,0,9,0,0,0,1,14.00MB,24,False,
DP-1-6,compos,MA,9,0,8,0,21,0,0,0,1,14.00MB,26,False,
DP-1-6,mono,,9,0,8,0,1,0,0,0,0,7.03MB,60,False,
DP-1-7,compos,RA,10,0,9,0,19,0,0,0,1,13.95MB,26,False,
DP-1-7,compos,BFS,10,0,9,0,8,0,0,0,1,14.00MB,25,False,
DP-1-7,compos,MA,10,0,9,0,22,0,0,0,1,14.00MB,31,False,
DP-1-7,mono,,10,0,9,0,1,0,0,0,0,7.19MB,55,False,
DP-1-8,compos,RA,11,0,10,0,19,0,0,0,1,14.00MB,28,False,
DP-1-8,compos,MA,11,0,10,0,16,0,0,0,1,14.00MB,26,False,
DP-1-8,compos,BFS,11,0,10,0,9,0,0,0,1,14.00MB,31,False,
DP-1-8,mono,,11,0,10,0,1,0,0,0,0,7.03MB,57,False,
DP-1-9,compos,BFS,12,0,11,0,9,0,0,0,1,14.00MB,25,False,
DP-1-9,compos,RA,12,0,11,0,20,0,0,0,1,14.00MB,37,False,
DP-1-9,compos,MA,12,0,11,0,17,0,0,0,1,14.00MB,25,False,
DP-1-9,mono,,12,0,11,0,2,0,0,0,0,7.27MB,66,False,
DP-10-1,compos,RA,1239,1099,5346,5199,1442,4,0,407,0,95.04MB,32,True,
DP-10-2,compos,RA,1442,1139,5584,5269,1827,28,6,409,1,17.30MB,32,True,
DP-10-3,compos,RA,1619,1199,5891,5379,2040,68,36,613,1,100.79MB,33,True,
DP-10-4,compos,RA,1716,1209,5988,5389,2129,68,36,518,1,139.55MB,33,True,
DP-10-5,compos,RA,6664,1369,13763,5799,53984,1204,1169,1,60,402.65MB,33,True,
DP-10-6,compos,RA,9355,1463,18583,6009,160323,1930,2250,1,86,441.98MB,33,True,
DP-10-7,compos,RA,16745,1449,29548,5979,441871,2648,3564,1,197,433.90MB,34,True,
DP-10-8,compos,RA,,,,,,,,,,,,,TO
DP-11-1,compos,RA,2701,2130,11995,11350,3115,4,0,568,0,135.31MB,33,True,
DP-11-2,compos,RA,2549,2171,11811,11421,3450,28,6,367,1,117.93MB,32,True,
DP-11-3,compos,RA,2772,2242,12199,11552,3681,76,45,541,1,93.51MB,33,True,
DP-11-4,compos,RA,2880,2253,12307,11563,3618,76,45,374,1,154.00MB,34,True,
DP-11-5,compos,RA,10476,2414,23695,11974,121688,1696,1417,1,90,422.70MB,34,True,
DP-11-6,compos,RA,14437,2515,31498,12225,415016,2836,3577,1,106,512.58MB,38,True,
DP-11-7,compos,RA,20449,2526,39922,12236,853167,3408,4500,1,198,531.88MB,35,True,
DP-11-8,compos,RA,,,,,,,,,,,,,TO
DP-12-1,compos,RA,4464,4185,24979,24669,6368,4,0,1829,0,273.43MB,33,True,
DP-12-2,compos,RA,4682,4227,25208,24741,6740,28,6,770,1,191.52MB,37,True,
DP-12-3,compos,RA,4953,4309,25682,24893,7460,84,55,1094,1,217.56MB,34,True,
DP-12-4,compos,RA,5071,4321,25800,24905,6937,84,55,1032,1,160.75MB,34,True,
DP-12-5,compos,RA,16865,4497,42570,25338,385969,2288,1652,1,144,528.11MB,35,True,
DP-12-6,compos,RA,23783,4663,56946,25729,1291287,4500,5890,1,150,562.16MB,41,True,
DP-12-7,compos,RA,,,,,,,,,,,,,TO
DP-13-1,compos,RA,8788,8288,53910,53348,15956,4,0,2820,0,377.22MB,33,True,
DP-13-2,compos,RA,8874,8331,53976,53421,15743,28,6,2946,1,413.00MB,41,True,
DP-13-3,compos,RA,9198,8424,54544,53594,17100,92,66,1746,1,395.23MB,34,True,
DP-13-4,compos,RA,9328,8437,54674,53607,17238,92,66,1524,1,406.80MB,49,True,
DP-13-5,compos,RA,27797,8600,79696,54020,1087611,3038,1907,1,233,682.80MB,34,True,
DP-13-6,compos,RA,,,,,,,,,,,,,TO
DP-14-1,compos,RA,17615,16487,116086,114795,40599,4,0,1497,0,723.80MB,35,True,
DP-14-2,compos,RA,17170,16531,115520,114869,40419,28,6,3302,1,663.97MB,42,True,
DP-14-3,compos,RA,17551,16635,116189,115063,43402,100,78,3900,1,694.74MB,44,True,
DP-14-4,compos,RA,17694,16649,116332,115077,43091,100,78,1713,1,727.55MB,42,True,
DP-14-5,compos,RA,,,,,,,,,,,,,TO
DP-15-1,compos,RA,34183,32878,247365,245874,131927,4,0,7011,0,1.02GB,35,True,
DP-15-2,compos,RA,33666,32923,246704,245949,132051,28,6,5744,1,1.02GB,35,True,
DP-15-3,compos,RA,34108,33038,247481,246164,130690,108,91,6718,1,1.00GB,36,True,
DP-15-4,compos,RA,34265,33053,247638,246179,133262,108,91,6397,1,1.04GB,51,True,
DP-15-5,compos,RA,,,,,,,,,,,,,TO
DP-2-1,compos,RA,25,23,29,27,37,4,0,1,1,16.96MB,26,True,
DP-2-1,compos,MA,50,30,70,41,64,4,0,1,7,21.92MB,33,True,
DP-2-1,compos,BFS,83,38,128,56,33,15,1,5,8,18.48MB,34,True,
DP-2-1,mono,,132,111,246,193,9,0,0,0,0,9.25MB,58,True,
