testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
AT-6-6,compos,RA,TO,,,,,,,,,,0MB,,,1800000.0,RA,,,,,,,,,,,6,6,
AT-6-6,compos,BFS,TO,,,,,,,,,,0MB,,,1800000.0,BFS,,,,,,,,,,,6,6,
AT-6-6,mono,,Exception,,,,,,,,,,0MB,,,-1.0,Monolithic,,,,,,,,,,,6,6,
AT-7-1,compos,MA,,5.0,0.0,4.0,0.0,59.0,0.0,0.0,0.0,1.0,14.97MB,41.0,False,100.0,MA,27682.0,83567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,7,1,14.97
AT-7-1,compos,RA,,5.0,0.0,4.0,0.0,78.0,0.0,0.0,0.0,1.0,14.99MB,38.0,False,116.0,RA,27682.0,83567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,7,1,14.99
AT-7-1,compos,BFS,,6.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,14.96MB,31.0,False,41.0,BFS,27682.0,83567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,7,1,14.96
AT-7-1,mono,,,27682.0,0.0,83567.0,0.0,180.0,0.0,0.0,0.0,0.0,1Bs,181.0,False,361.0,Monolithic,27682.0,83567.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1,0.0009765625
AT-7-2,compos,MA,,12195.0,0.0,18520.0,0.0,46659.0,1259.0,0.0,0.0,2906.0,373.91MB,36.0,False,46695.0,MA,198146.0,730927.0,0.0,0.06,0.0,0.03,0.1722,0.0,0.0,0.3976,7,2,373.91
AT-7-2,compos,RA,,9155.0,0.0,11819.0,0.0,6697.0,0.0,0.0,0.0,2397.0,150.47MB,37.0,False,6734.0,RA,198146.0,730927.0,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.3279,7,2,150.47
AT-7-2,compos,BFS,,214.0,0.0,246.0,0.0,43.0,0.0,0.0,0.0,25.0,15.44MB,38.0,False,81.0,BFS,198146.0,730927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,7,2,15.44
