testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
BW-2-12,compos,677,583,2009,1510,1704,1126,0,1,0,148.88MB,28,True,MA,
BW-2-12,compos,489,321,1400,789,764,376,0,1,227,47.62MB,35,True,BFS,
BW-2-12,mono,678,677,2372,1733,37,0,0,0,0,14.07MB,77,True,,
BW-2-13,compos,708,618,2039,1601,3535,1310,0,1,0,169.49MB,29,True,RA,
BW-2-13,compos,785,59,2345,86,2583,1323,0,1,0,125.67MB,28,True,MA,
BW-2-13,compos,554,373,1606,925,915,440,0,1,251,23.07MB,37,True,BFS,
BW-2-13,mono,786,785,2750,2020,34,0,0,0,0,15.04MB,74,True,,
BW-2-14,compos,623,429,1822,1072,1177,511,0,1,276,69.90MB,41,True,BFS,
BW-2-14,compos,530,67,1393,102,935,638,0,1,0,134.48MB,35,True,RA,
BW-2-14,compos,901,747,2714,1947,3053,1531,0,1,0,180.37MB,32,True,MA,
BW-2-14,mono,902,901,3156,2329,39,0,0,0,0,16.19MB,68,True,,
BW-2-15,compos,967,907,2933,2380,3610,1667,0,1,0,112.93MB,29,True,MA,
BW-2-15,compos,696,489,2058,1230,1470,584,0,1,302,92.15MB,28,True,BFS,
BW-2-15,compos,598,71,1587,108,1148,733,0,1,0,108.85MB,29,True,RA,
BW-2-15,mono,1026,1025,3590,2660,47,0,0,0,0,17.05MB,86,True,,
BW-2-2,compos,37,15,79,20,61,36,0,1,0,20.96MB,24,True,MA,
BW-2-2,compos,34,23,66,40,56,19,0,1,0,17.92MB,36,True,RA,
BW-2-2,compos,59,18,110,29,30,11,0,1,42,17.44MB,25,True,BFS,
BW-2-2,mono,38,37,132,73,4,0,0,0,0,7.98MB,68,True,,
BW-2-3,compos,55,43,125,88,71,53,0,1,0,25.44MB,35,True,MA,
BW-2-3,compos,84,33,176,60,53,25,0,1,56,20.48MB,32,True,BFS,
BW-2-3,compos,46,23,90,36,66,32,0,1,0,19.44MB,32,True,RA,
BW-2-3,mono,66,65,230,140,7,0,0,0,0,8.97MB,69,True,,
BW-2-4,compos,81,23,174,32,74,78,0,1,0,23.92MB,26,True,RA,
BW-2-4,compos,87,71,216,158,128,100,0,1,0,15.13MB,25,True,MA,
BW-2-4,compos,113,49,256,97,63,44,0,1,71,25.92MB,25,True,BFS,
BW-2-4,mono,102,101,356,229,10,0,0,0,0,10.28MB,57,True,,
BW-2-5,compos,146,66,350,140,85,68,0,1,87,14.00MB,33,True,BFS,
BW-2-5,compos,120,35,282,58,119,145,0,1,0,16.43MB,26,True,RA,
BW-2-5,compos,145,103,384,239,184,198,0,1,0,48.15MB,26,True,MA,
BW-2-5,mono,146,145,510,340,14,0,0,0,0,11.13MB,63,True,,
BW-2-6,compos,153,31,363,44,139,193,0,1,0,30.51MB,26,True,RA,
BW-2-6,compos,175,151,476,364,246,237,0,1,0,75.16MB,26,True,MA,
BW-2-6,compos,183,90,454,199,117,93,0,1,104,26.25MB,26,True,BFS,
BW-2-6,mono,198,197,692,473,12,0,0,0,0,12.11MB,59,True,,
BW-2-7,compos,231,203,645,500,375,332,0,1,0,131.17MB,27,True,MA,
BW-2-7,compos,226,38,588,59,316,343,0,1,0,89.53MB,37,True,RA,
BW-2-7,compos,224,118,578,269,160,131,0,1,122,48.27MB,26,True,BFS,
BW-2-7,mono,258,257,902,628,20,0,0,0,0,13.47MB,74,True,,
BW-2-8,compos,269,153,714,355,261,172,0,1,141,78.27MB,37,True,BFS,
BW-2-8,compos,325,39,926,56,590,499,0,1,0,97.99MB,27,True,MA,
BW-2-8,compos,267,39,699,56,335,413,0,1,0,109.67MB,26,True,RA,
BW-2-8,mono,326,325,1140,805,24,0,0,0,0,14.90MB,59,True,,
BW-2-9,compos,318,186,864,442,328,219,0,1,161,118.28MB,26,True,BFS,
BW-2-9,compos,352,50,956,81,565,583,0,1,0,75.53MB,27,True,RA,
BW-2-9,compos,401,331,1157,838,831,629,0,1,0,90.45MB,27,True,MA,
BW-2-9,mono,402,401,1406,1004,19,0,0,0,0,16.09MB,61,True,,
BW-3-1,compos,60,35,119,62,82,46,0,1,0,25.44MB,34,True,MA,
BW-3-1,compos,48,26,78,39,50,26,0,1,0,18.48MB,26,True,RA,
BW-3-1,compos,155,44,299,95,60,8,0,1,144,22.96MB,25,True,BFS,
BW-3-1,mono,66,65,299,142,8,0,0,0,0,9.29MB,73,True,,
BW-3-10,compos,10527,9249,42235,33777,878299,28657,0,1,0,361.47MB,30,True,RA,
BW-3-10,compos,10649,8095,44152,29154,976591,20504,0,1,0,310.97MB,37,True,MA,
BW-3-10,compos,4784,424,15905,1082,58755,3745,0,1,2048,310.93MB,29,True,BFS,
BW-3-10,mono,10650,10649,49925,37969,339,0,0,0,0,98.51MB,109,True,,
