testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
TA-1-1,compos,BFS,19.0,15.0,33.0,18.0,16.0,2.0,0.0,1.0,13.0,15.45MB,25.0,True,,41.0,BFS,18.0,33.0,0.83,1.06,0.55,1.0,6.0606,0.0,3.0303,39.3939,1,1,15.45
TA-1-1,compos,MA,17.0,15.0,20.0,18.0,39.0,4.0,0.0,1.0,0.0,18.96MB,24.0,True,,63.0,MA,18.0,33.0,0.83,0.94,0.55,0.61,12.1212,0.0,3.0303,0.0,1,1,18.96
TA-1-1,compos,RA,17.0,15.0,20.0,18.0,30.0,4.0,0.0,1.0,0.0,16.96MB,24.0,True,,54.0,RA,18.0,33.0,0.83,0.94,0.55,0.61,12.1212,0.0,3.0303,0.0,1,1,16.96
TA-1-1,mono,,18.0,15.0,33.0,18.0,4.0,0.0,0.0,0.0,0.0,7.67MB,73.0,True,,77.0,Monolithic,18.0,33.0,0.83,1.0,0.55,1.0,0.0,0.0,0.0,0.0,1,1,7.67
TA-1-10,compos,MA,35.0,33.0,47.0,45.0,84.0,13.0,0.0,1.0,0.0,14.00MB,27.0,True,,111.0,MA,36.0,60.0,0.92,0.97,0.75,0.78,21.6667,0.0,1.6667,0.0,1,10,14.0
TA-1-10,compos,RA,35.0,33.0,47.0,45.0,46.0,13.0,0.0,1.0,0.0,19.44MB,35.0,True,,81.0,RA,36.0,60.0,0.92,0.97,0.75,0.78,21.6667,0.0,1.6667,0.0,1,10,19.44
TA-1-10,compos,BFS,37.0,33.0,60.0,45.0,21.0,9.0,0.0,1.0,13.0,16.96MB,38.0,True,,59.0,BFS,36.0,60.0,0.92,1.03,0.75,1.0,15.0,0.0,1.6667,21.6667,1,10,16.96
TA-1-10,mono,,36.0,33.0,60.0,45.0,4.0,0.0,0.0,0.0,0.0,8.45MB,62.0,True,,66.0,Monolithic,36.0,60.0,0.92,1.0,0.75,1.0,0.0,0.0,0.0,0.0,1,10,8.45
TA-1-11,compos,BFS,39.0,35.0,63.0,48.0,20.0,10.0,0.0,1.0,13.0,16.48MB,27.0,True,,47.0,BFS,38.0,63.0,0.92,1.03,0.76,1.0,15.873,0.0,1.5873,20.6349,1,11,16.48
TA-1-11,compos,MA,37.0,35.0,50.0,48.0,85.0,14.0,0.0,1.0,0.0,14.00MB,35.0,True,,120.0,MA,38.0,63.0,0.92,0.97,0.76,0.79,22.2222,0.0,1.5873,0.0,1,11,14.0
TA-1-11,compos,RA,37.0,35.0,50.0,48.0,53.0,14.0,0.0,1.0,0.0,19.92MB,26.0,True,,79.0,RA,38.0,63.0,0.92,0.97,0.76,0.79,22.2222,0.0,1.5873,0.0,1,11,19.92
TA-1-11,mono,,38.0,35.0,63.0,48.0,4.0,0.0,0.0,0.0,0.0,8.15MB,55.0,True,,59.0,Monolithic,38.0,63.0,0.92,1.0,0.76,1.0,0.0,0.0,0.0,0.0,1,11,8.15
TA-1-12,compos,BFS,41.0,37.0,66.0,51.0,23.0,7.0,0.0,1.0,13.0,16.96MB,26.0,True,,49.0,BFS,40.0,66.0,0.92,1.02,0.77,1.0,10.6061,0.0,1.5152,19.697,1,12,16.96
TA-1-12,compos,RA,39.0,37.0,53.0,51.0,55.0,15.0,0.0,1.0,0.0,19.92MB,26.0,True,,81.0,RA,40.0,66.0,0.92,0.98,0.77,0.8,22.7273,0.0,1.5152,0.0,1,12,19.92
TA-1-12,compos,MA,39.0,37.0,53.0,51.0,100.0,15.0,0.0,1.0,0.0,14.00MB,26.0,True,,126.0,MA,40.0,66.0,0.92,0.98,0.77,0.8,22.7273,0.0,1.5152,0.0,1,12,14.0
TA-1-12,mono,,40.0,37.0,66.0,51.0,3.0,0.0,0.0,0.0,0.0,7.67MB,58.0,True,,61.0,Monolithic,40.0,66.0,0.92,1.0,0.77,1.0,0.0,0.0,0.0,0.0,1,12,7.67
TA-1-13,compos,BFS,43.0,39.0,69.0,54.0,29.0,8.0,0.0,1.0,13.0,16.48MB,38.0,True,,67.0,BFS,42.0,69.0,0.93,1.02,0.78,1.0,11.5942,0.0,1.4493,18.8406,1,13,16.48
TA-1-13,compos,RA,41.0,39.0,56.0,54.0,57.0,16.0,0.0,1.0,0.0,19.92MB,27.0,True,,84.0,RA,42.0,69.0,0.93,0.98,0.78,0.81,23.1884,0.0,1.4493,0.0,1,13,19.92
TA-1-13,compos,MA,41.0,39.0,56.0,54.0,106.0,16.0,0.0,1.0,0.0,14.00MB,26.0,True,,132.0,MA,42.0,69.0,0.93,0.98,0.78,0.81,23.1884,0.0,1.4493,0.0,1,13,14.0
TA-1-13,mono,,42.0,39.0,69.0,54.0,4.0,0.0,0.0,0.0,0.0,7.85MB,56.0,True,,60.0,Monolithic,42.0,69.0,0.93,1.0,0.78,1.0,0.0,0.0,0.0,0.0,1,13,7.85
TA-1-14,compos,MA,43.0,41.0,59.0,57.0,101.0,17.0,0.0,1.0,0.0,14.14MB,27.0,True,,128.0,MA,44.0,72.0,0.93,0.98,0.79,0.82,23.6111,0.0,1.3889,0.0,1,14,14.14
TA-1-14,compos,BFS,45.0,41.0,72.0,57.0,21.0,8.0,0.0,1.0,13.0,16.48MB,27.0,True,,48.0,BFS,44.0,72.0,0.93,1.02,0.79,1.0,11.1111,0.0,1.3889,18.0556,1,14,16.48
TA-1-14,compos,RA,43.0,41.0,59.0,57.0,61.0,17.0,0.0,1.0,0.0,20.48MB,27.0,True,,88.0,RA,44.0,72.0,0.93,0.98,0.79,0.82,23.6111,0.0,1.3889,0.0,1,14,20.48
TA-1-14,mono,,44.0,41.0,72.0,57.0,7.0,0.0,0.0,0.0,0.0,8.58MB,62.0,True,,69.0,Monolithic,44.0,72.0,0.93,1.0,0.79,1.0,0.0,0.0,0.0,0.0,1,14,8.58
TA-1-15,compos,MA,45.0,43.0,62.0,60.0,97.0,18.0,0.0,1.0,0.0,14.34MB,27.0,True,,124.0,MA,46.0,75.0,0.93,0.98,0.8,0.83,24.0,0.0,1.3333,0.0,1,15,14.34
TA-1-15,compos,BFS,47.0,43.0,75.0,60.0,28.0,7.0,0.0,1.0,13.0,16.48MB,35.0,True,,63.0,BFS,46.0,75.0,0.93,1.02,0.8,1.0,9.3333,0.0,1.3333,17.3333,1,15,16.48
TA-1-15,compos,RA,45.0,43.0,62.0,60.0,76.0,18.0,0.0,1.0,0.0,21.44MB,37.0,True,,113.0,RA,46.0,75.0,0.93,0.98,0.8,0.83,24.0,0.0,1.3333,0.0,1,15,21.44
TA-1-15,mono,,46.0,43.0,75.0,60.0,4.0,0.0,0.0,0.0,0.0,7.98MB,57.0,True,,61.0,Monolithic,46.0,75.0,0.93,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1,15,7.98
TA-1-2,compos,MA,19.0,17.0,23.0,21.0,66.0,5.0,0.0,1.0,0.0,19.92MB,33.0,True,,99.0,MA,20.0,36.0,0.85,0.95,0.58,0.64,13.8889,0.0,2.7778,0.0,1,2,19.92
TA-1-2,compos,RA,19.0,17.0,23.0,21.0,33.0,5.0,0.0,1.0,0.0,16.96MB,24.0,True,,57.0,RA,20.0,36.0,0.85,0.95,0.58,0.64,13.8889,0.0,2.7778,0.0,1,2,16.96
TA-1-2,compos,BFS,21.0,17.0,36.0,21.0,22.0,5.0,0.0,1.0,13.0,16.48MB,33.0,True,,55.0,BFS,20.0,36.0,0.85,1.05,0.58,1.0,13.8889,0.0,2.7778,36.1111,1,2,16.48
TA-1-2,mono,,20.0,17.0,36.0,21.0,4.0,0.0,0.0,0.0,0.0,8.15MB,54.0,True,,58.0,Monolithic,20.0,36.0,0.85,1.0,0.58,1.0,0.0,0.0,0.0,0.0,1,2,8.15
TA-1-3,compos,MA,21.0,19.0,26.0,24.0,63.0,6.0,0.0,1.0,0.0,20.96MB,33.0,True,,96.0,MA,22.0,39.0,0.86,0.95,0.62,0.67,15.3846,0.0,2.5641,0.0,1,3,20.96
TA-1-3,compos,BFS,23.0,19.0,39.0,24.0,17.0,6.0,0.0,1.0,13.0,15.92MB,25.0,True,,42.0,BFS,22.0,39.0,0.86,1.05,0.62,1.0,15.3846,0.0,2.5641,33.3333,1,3,15.92
TA-1-3,compos,RA,21.0,19.0,26.0,24.0,36.0,6.0,0.0,1.0,0.0,17.44MB,25.0,True,,61.0,RA,22.0,39.0,0.86,0.95,0.62,0.67,15.3846,0.0,2.5641,0.0,1,3,17.44
TA-1-3,mono,,22.0,19.0,39.0,24.0,3.0,0.0,0.0,0.0,0.0,7.87MB,54.0,True,,57.0,Monolithic,22.0,39.0,0.86,1.0,0.62,1.0,0.0,0.0,0.0,0.0,1,3,7.87
TA-1-4,compos,MA,23.0,21.0,29.0,27.0,53.0,7.0,0.0,1.0,0.0,21.92MB,26.0,True,,79.0,MA,24.0,42.0,0.88,0.96,0.64,0.69,16.6667,0.0,2.381,0.0,1,4,21.92
TA-1-4,compos,RA,23.0,21.0,29.0,27.0,37.0,7.0,0.0,1.0,0.0,16.96MB,25.0,True,,62.0,RA,24.0,42.0,0.88,0.96,0.64,0.69,16.6667,0.0,2.381,0.0,1,4,16.96
TA-1-4,compos,BFS,25.0,21.0,42.0,27.0,25.0,5.0,0.0,1.0,13.0,16.48MB,36.0,True,,61.0,BFS,24.0,42.0,0.88,1.04,0.64,1.0,11.9048,0.0,2.381,30.9524,1,4,16.48
TA-1-4,mono,,24.0,21.0,42.0,27.0,4.0,0.0,0.0,0.0,0.0,7.70MB,57.0,True,,61.0,Monolithic,24.0,42.0,0.88,1.0,0.64,1.0,0.0,0.0,0.0,0.0,1,4,7.7
TA-1-5,compos,MA,25.0,23.0,32.0,30.0,59.0,8.0,0.0,1.0,0.0,22.96MB,25.0,True,,84.0,MA,26.0,45.0,0.88,0.96,0.67,0.71,17.7778,0.0,2.2222,0.0,1,5,22.96
TA-1-5,compos,RA,25.0,23.0,32.0,30.0,39.0,8.0,0.0,1.0,0.0,17.92MB,26.0,True,,65.0,RA,26.0,45.0,0.88,0.96,0.67,0.71,17.7778,0.0,2.2222,0.0,1,5,17.92
TA-1-5,compos,BFS,27.0,23.0,45.0,30.0,20.0,3.0,0.0,1.0,13.0,15.93MB,26.0,True,,46.0,BFS,26.0,45.0,0.88,1.04,0.67,1.0,6.6667,0.0,2.2222,28.8889,1,5,15.93
TA-1-5,mono,,26.0,23.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,7.87MB,68.0,True,,73.0,Monolithic,26.0,45.0,0.88,1.0,0.67,1.0,0.0,0.0,0.0,0.0,1,5,7.87
TA-1-6,compos,MA,27.0,25.0,35.0,33.0,63.0,9.0,0.0,1.0,0.0,23.92MB,25.0,True,,88.0,MA,28.0,48.0,0.89,0.96,0.69,0.73,18.75,0.0,2.0833,0.0,1,6,23.92
TA-1-6,compos,RA,27.0,25.0,35.0,33.0,42.0,9.0,0.0,1.0,0.0,17.92MB,25.0,True,,67.0,RA,28.0,48.0,0.89,0.96,0.69,0.73,18.75,0.0,2.0833,0.0,1,6,17.92
TA-1-6,compos,BFS,29.0,25.0,48.0,33.0,22.0,2.0,0.0,1.0,13.0,16.00MB,32.0,True,,54.0,BFS,28.0,48.0,0.89,1.04,0.69,1.0,4.1667,0.0,2.0833,27.0833,1,6,16.0
TA-1-6,mono,,28.0,25.0,48.0,33.0,4.0,0.0,0.0,0.0,0.0,7.85MB,71.0,True,,75.0,Monolithic,28.0,48.0,0.89,1.0,0.69,1.0,0.0,0.0,0.0,0.0,1,6,7.85
TA-1-7,compos,MA,29.0,27.0,38.0,36.0,66.0,10.0,0.0,1.0,0.0,24.96MB,26.0,True,,92.0,MA,30.0,51.0,0.9,0.97,0.71,0.75,19.6078,0.0,1.9608,0.0,1,7,24.96
TA-1-7,compos,RA,29.0,27.0,38.0,36.0,44.0,10.0,0.0,1.0,0.0,18.48MB,26.0,True,,70.0,RA,30.0,51.0,0.9,0.97,0.71,0.75,19.6078,0.0,1.9608,0.0,1,7,18.48
TA-1-7,compos,BFS,31.0,27.0,51.0,36.0,19.0,3.0,0.0,1.0,13.0,15.92MB,26.0,True,,45.0,BFS,30.0,51.0,0.9,1.03,0.71,1.0,5.8824,0.0,1.9608,25.4902,1,7,15.92
TA-1-7,mono,,30.0,27.0,51.0,36.0,3.0,0.0,0.0,0.0,0.0,7.87MB,57.0,True,,60.0,Monolithic,30.0,51.0,0.9,1.0,0.71,1.0,0.0,0.0,0.0,0.0,1,7,7.87
TA-1-8,compos,MA,31.0,29.0,41.0,39.0,70.0,11.0,0.0,1.0,0.0,25.92MB,32.0,True,,102.0,MA,32.0,54.0,0.91,0.97,0.72,0.76,20.3704,0.0,1.8519,0.0,1,8,25.92
TA-1-8,compos,RA,31.0,29.0,41.0,39.0,48.0,11.0,0.0,1.0,0.0,18.96MB,25.0,True,,73.0,RA,32.0,54.0,0.91,0.97,0.72,0.76,20.3704,0.0,1.8519,0.0,1,8,18.96
TA-1-8,compos,BFS,33.0,29.0,54.0,39.0,19.0,5.0,0.0,1.0,13.0,15.92MB,28.0,True,,47.0,BFS,32.0,54.0,0.91,1.03,0.72,1.0,9.2593,0.0,1.8519,24.0741,1,8,15.92
TA-1-8,mono,,32.0,29.0,54.0,39.0,4.0,0.0,0.0,0.0,0.0,7.85MB,55.0,True,,59.0,Monolithic,32.0,54.0,0.91,1.0,0.72,1.0,0.0,0.0,0.0,0.0,1,8,7.85
TA-1-9,compos,BFS,35.0,31.0,57.0,42.0,20.0,7.0,0.0,1.0,13.0,16.00MB,26.0,True,,46.0,BFS,34.0,57.0,0.91,1.03,0.74,1.0,12.2807,0.0,1.7544,22.807,1,9,16.0
TA-1-9,compos,MA,33.0,31.0,44.0,42.0,101.0,12.0,0.0,1.0,0.0,26.00MB,33.0,True,,134.0,MA,34.0,57.0,0.91,0.97,0.74,0.77,21.0526,0.0,1.7544,0.0,1,9,26.0
TA-1-9,compos,RA,33.0,31.0,44.0,42.0,50.0,12.0,0.0,1.0,0.0,18.96MB,26.0,True,,76.0,RA,34.0,57.0,0.91,0.97,0.74,0.77,21.0526,0.0,1.7544,0.0,1,9,18.96
TA-1-9,mono,,34.0,31.0,57.0,42.0,5.0,0.0,0.0,0.0,0.0,8.45MB,72.0,True,,77.0,Monolithic,34.0,57.0,0.91,1.0,0.74,1.0,0.0,0.0,0.0,0.0,1,9,8.45
TA-2-1,compos,BFS,124.0,81.0,294.0,135.0,101.0,50.0,0.0,1.0,76.0,14.00MB,37.0,True,,138.0,BFS,121.0,300.0,0.67,1.02,0.45,0.98,16.6667,0.0,0.3333,25.3333,2,1,14.0
TA-2-1,compos,MA,92.0,61.0,169.0,90.0,147.0,50.0,0.0,1.0,0.0,29.08MB,26.0,True,,173.0,MA,121.0,300.0,0.5,0.76,0.3,0.56,16.6667,0.0,0.3333,0.0,2,1,29.08
TA-2-1,compos,RA,82.0,40.0,127.0,48.0,112.0,30.0,0.0,1.0,0.0,24.48MB,34.0,True,,146.0,RA,121.0,300.0,0.33,0.68,0.16,0.42,10.0,0.0,0.3333,0.0,2,1,24.48
