testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
DP-1-12,compos,BFS,15.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,34.0,BFS,15.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.1429,1,12,14.0
DP-1-12,compos,RA,15.0,0.0,14.0,0.0,21.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,47.0,RA,15.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.1429,1,12,14.0
DP-1-12,mono,,15.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,7.19MB,60.0,False,,61.0,Monolithic,15.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,12,7.19
DP-1-13,compos,MA,16.0,0.0,15.0,0.0,19.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,44.0,MA,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.6667,1,13,14.0
DP-1-13,compos,BFS,16.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,36.0,BFS,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.6667,1,13,14.0
DP-1-13,compos,RA,16.0,0.0,15.0,0.0,21.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,47.0,RA,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.6667,1,13,14.0
DP-1-13,mono,,16.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,7.19MB,61.0,False,,62.0,Monolithic,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,13,7.19
DP-1-14,compos,RA,17.0,0.0,16.0,0.0,22.0,0.0,0.0,0.0,1.0,14.00MB,27.0,False,,49.0,RA,17.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.25,1,14,14.0
DP-1-14,compos,BFS,17.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,1.0,14.00MB,34.0,False,,47.0,BFS,17.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.25,1,14,14.0
DP-1-14,compos,MA,17.0,0.0,16.0,0.0,19.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,44.0,MA,17.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.25,1,14,14.0
DP-1-14,mono,,17.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,7.19MB,59.0,False,,60.0,Monolithic,17.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,14,7.19
DP-1-15,compos,RA,18.0,0.0,17.0,0.0,24.0,0.0,0.0,0.0,1.0,14.00MB,36.0,False,,60.0,RA,18.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.8824,1,15,14.0
DP-1-15,compos,MA,18.0,0.0,17.0,0.0,26.0,0.0,0.0,0.0,1.0,14.00MB,31.0,False,,57.0,MA,18.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.8824,1,15,14.0
DP-1-15,compos,BFS,18.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,36.0,BFS,18.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.8824,1,15,14.0
DP-1-15,mono,,18.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,7.19MB,69.0,False,,70.0,Monolithic,18.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,15,7.19
DP-1-2,compos,RA,5.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,1.0,13.95MB,24.0,False,,39.0,RA,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,1,2,13.95
DP-1-2,compos,BFS,5.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,33.0,BFS,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,1,2,14.0
DP-1-2,compos,MA,5.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,14.00MB,32.0,False,,48.0,MA,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,1,2,14.0
DP-1-2,mono,,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03MB,61.0,False,,61.0,Monolithic,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,7.03
DP-1-3,compos,RA,6.0,0.0,5.0,0.0,22.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,47.0,RA,6.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,1,3,14.0
DP-1-3,compos,BFS,6.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,14.00MB,33.0,False,,41.0,BFS,6.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,1,3,14.0
DP-1-3,compos,MA,6.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,37.0,MA,6.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,1,3,14.0
DP-1-3,mono,,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19MB,72.0,False,,72.0,Monolithic,6.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,7.19
DP-1-4,compos,MA,7.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,1.0,14.00MB,33.0,False,,47.0,MA,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.6667,1,4,14.0
DP-1-4,compos,BFS,7.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,34.0,BFS,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.6667,1,4,14.0
DP-1-4,compos,RA,7.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,41.0,RA,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.6667,1,4,14.0
DP-1-4,mono,,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19MB,61.0,False,,61.0,Monolithic,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4,7.19
DP-1-5,compos,MA,8.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,40.0,MA,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.2857,1,5,14.0
DP-1-5,compos,RA,8.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0,1.0,13.95MB,25.0,False,,42.0,RA,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.2857,1,5,13.95
DP-1-5,compos,BFS,8.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,34.0,BFS,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.2857,1,5,14.0
DP-1-5,mono,,8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,7.03MB,53.0,False,,54.0,Monolithic,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5,7.03
DP-1-6,compos,RA,9.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,1.0,13.95MB,25.0,False,,42.0,RA,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.5,1,6,13.95
DP-1-6,compos,BFS,9.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,24.0,False,,33.0,BFS,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.5,1,6,14.0
DP-1-6,compos,MA,9.0,0.0,8.0,0.0,21.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,47.0,MA,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.5,1,6,14.0
DP-1-6,mono,,9.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.03MB,60.0,False,,61.0,Monolithic,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6,7.03
DP-1-7,compos,RA,10.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,1.0,13.95MB,26.0,False,,45.0,RA,10.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.1111,1,7,13.95
DP-1-7,compos,BFS,10.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,33.0,BFS,10.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.1111,1,7,14.0
DP-1-7,compos,MA,10.0,0.0,9.0,0.0,22.0,0.0,0.0,0.0,1.0,14.00MB,31.0,False,,53.0,MA,10.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.1111,1,7,14.0
DP-1-7,mono,,10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,7.19MB,55.0,False,,56.0,Monolithic,10.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7,7.19
DP-1-8,compos,RA,11.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,1.0,14.00MB,28.0,False,,47.0,RA,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1,8,14.0
DP-1-8,compos,MA,11.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,1.0,14.00MB,26.0,False,,42.0,MA,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1,8,14.0
DP-1-8,compos,BFS,11.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,31.0,False,,40.0,BFS,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1,8,14.0
DP-1-8,mono,,11.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,7.03MB,57.0,False,,58.0,Monolithic,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,7.03
DP-1-9,compos,BFS,12.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,34.0,BFS,12.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0909,1,9,14.0
DP-1-9,compos,RA,12.0,0.0,11.0,0.0,20.0,0.0,0.0,0.0,1.0,14.00MB,37.0,False,,57.0,RA,12.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0909,1,9,14.0
DP-1-9,compos,MA,12.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,1.0,14.00MB,25.0,False,,42.0,MA,12.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0909,1,9,14.0
DP-1-9,mono,,12.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,7.27MB,66.0,False,,68.0,Monolithic,12.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,9,7.27
DP-10-1,compos,RA,1239.0,1099.0,5346.0,5199.0,1442.0,4.0,0.0,407.0,0.0,95.04MB,32.0,True,,1474.0,RA,,,,,,,,,,,10,1,95.04
DP-10-2,compos,RA,1442.0,1139.0,5584.0,5269.0,1827.0,28.0,6.0,409.0,1.0,17.30MB,32.0,True,,1859.0,RA,,,,,,,,,,,10,2,17.3
DP-10-3,compos,RA,1619.0,1199.0,5891.0,5379.0,2040.0,68.0,36.0,613.0,1.0,100.79MB,33.0,True,,2073.0,RA,,,,,,,,,,,10,3,100.79
DP-10-4,compos,RA,1716.0,1209.0,5988.0,5389.0,2129.0,68.0,36.0,518.0,1.0,139.55MB,33.0,True,,2162.0,RA,,,,,,,,,,,10,4,139.55
DP-10-5,compos,RA,6664.0,1369.0,13763.0,5799.0,53984.0,1204.0,1169.0,1.0,60.0,402.65MB,33.0,True,,54017.0,RA,,,,,,,,,,,10,5,402.65
DP-10-6,compos,RA,9355.0,1463.0,18583.0,6009.0,160323.0,1930.0,2250.0,1.0,86.0,441.98MB,33.0,True,,160356.0,RA,,,,,,,,,,,10,6,441.98
DP-10-7,compos,RA,16745.0,1449.0,29548.0,5979.0,441871.0,2648.0,3564.0,1.0,197.0,433.90MB,34.0,True,,441905.0,RA,,,,,,,,,,,10,7,433.9
DP-10-8,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,10,8,
