testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
BW-1-1,compos,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.44MB,24.0,True,RA,,41.0,RA,6.0,14.0,0.83,0.83,0.43,0.43,14.2857,0.0,7.1429,0.0,1,1,15.44
BW-1-1,compos,10.0,5.0,14.0,6.0,11.0,2.0,0.0,1.0,8.0,14.48MB,24.0,True,BFS,,35.0,BFS,6.0,14.0,0.83,1.67,0.43,1.0,14.2857,0.0,7.1429,57.1429,1,1,14.48
BW-1-1,compos,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.44MB,24.0,True,MA,,41.0,MA,6.0,14.0,0.83,0.83,0.43,0.43,14.2857,0.0,7.1429,0.0,1,1,15.44
BW-1-1,mono,6.0,5.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,7.27MB,53.0,True,,,54.0,Monolithic,6.0,14.0,0.83,1.0,0.43,1.0,0.0,0.0,0.0,0.0,1,1,7.27
BW-1-10,compos,10.0,5.0,14.0,6.0,13.0,2.0,0.0,1.0,7.0,14.96MB,25.0,True,BFS,,38.0,BFS,24.0,59.0,0.21,0.42,0.1,0.24,3.3898,0.0,1.6949,11.8644,1,10,14.96
BW-1-10,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.44MB,25.0,True,MA,,43.0,MA,24.0,59.0,0.21,0.21,0.1,0.1,3.3898,0.0,1.6949,0.0,1,10,15.44
BW-1-10,compos,5.0,5.0,6.0,6.0,25.0,2.0,0.0,1.0,0.0,16.96MB,24.0,True,RA,,49.0,RA,24.0,59.0,0.21,0.21,0.1,0.1,3.3898,0.0,1.6949,0.0,1,10,16.96
BW-1-10,mono,24.0,23.0,59.0,33.0,3.0,0.0,0.0,0.0,0.0,7.84MB,55.0,True,,,58.0,Monolithic,24.0,59.0,0.96,1.0,0.56,1.0,0.0,0.0,0.0,0.0,1,10,7.84
BW-1-11,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.45MB,33.0,True,MA,,51.0,MA,26.0,64.0,0.19,0.19,0.09,0.09,3.125,0.0,1.5625,0.0,1,11,15.45
BW-1-11,compos,5.0,5.0,6.0,6.0,27.0,2.0,0.0,1.0,0.0,16.98MB,24.0,True,RA,,51.0,RA,26.0,64.0,0.19,0.19,0.09,0.09,3.125,0.0,1.5625,0.0,1,11,16.98
