testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
TL-1-1,compos,MA,8.0,7.0,10.0,8.0,17.0,2.0,0.0,1.0,2.0,15.95MB,25.0,True,,42.0,MA,15.0,32.0,0.47,0.53,0.25,0.31,6.25,0.0,3.125,6.25,1,1,15.95
TL-1-1,compos,BFS,10.0,5.0,10.0,5.0,11.0,1.0,0.0,1.0,2.0,14.48MB,24.0,True,,35.0,BFS,15.0,32.0,0.33,0.67,0.16,0.31,3.125,0.0,3.125,6.25,1,1,14.48
TL-1-1,compos,RA,8.0,7.0,9.0,8.0,19.0,2.0,0.0,1.0,1.0,15.45MB,25.0,True,,44.0,RA,15.0,32.0,0.47,0.53,0.25,0.28,6.25,0.0,3.125,3.125,1,1,15.45
TL-1-1,mono,,15.0,8.0,32.0,9.0,3.0,0.0,0.0,0.0,0.0,7.61MB,60.0,True,,63.0,Monolithic,15.0,32.0,0.53,1.0,0.28,1.0,0.0,0.0,0.0,0.0,1,1,7.61
TL-1-10,compos,MA,8.0,7.0,10.0,8.0,19.0,2.0,0.0,1.0,0.0,16.00MB,26.0,True,,45.0,MA,474.0,1454.0,0.01,0.02,0.01,0.01,0.1376,0.0,0.0688,0.0,1,10,16.0
TL-1-10,compos,BFS,36.0,5.0,45.0,5.0,15.0,1.0,0.0,1.0,11.0,15.44MB,38.0,True,,53.0,BFS,474.0,1454.0,0.01,0.08,0.0,0.03,0.0688,0.0,0.0688,0.7565,1,10,15.44
TL-1-10,compos,RA,7.0,7.0,8.0,8.0,23.0,2.0,0.0,1.0,0.0,16.48MB,27.0,True,,50.0,RA,474.0,1454.0,0.01,0.01,0.01,0.01,0.1376,0.0,0.0688,0.0,1,10,16.48
TL-1-10,mono,,474.0,242.0,1454.0,585.0,32.0,0.0,0.0,0.0,0.0,17.34MB,69.0,True,,101.0,Monolithic,474.0,1454.0,0.51,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1,10,17.34
TL-1-11,compos,MA,8.0,7.0,10.0,8.0,20.0,2.0,0.0,1.0,0.0,16.48MB,27.0,True,,47.0,MA,565.0,1742.0,0.01,0.01,0.0,0.01,0.1148,0.0,0.0574,0.0,1,11,16.48
TL-1-11,compos,RA,7.0,7.0,8.0,8.0,25.0,2.0,0.0,1.0,0.0,16.48MB,26.0,True,,51.0,RA,565.0,1742.0,0.01,0.01,0.0,0.0,0.1148,0.0,0.0574,0.0,1,11,16.48
TL-1-11,compos,BFS,39.0,5.0,49.0,5.0,16.0,1.0,0.0,1.0,12.0,15.44MB,27.0,True,,43.0,BFS,565.0,1742.0,0.01,0.07,0.0,0.03,0.0574,0.0,0.0574,0.6889,1,11,15.44
TL-1-11,mono,,565.0,288.0,1742.0,704.0,28.0,0.0,0.0,0.0,0.0,11.24MB,82.0,True,,110.0,Monolithic,565.0,1742.0,0.51,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1,11,11.24
TL-1-12,compos,BFS,42.0,5.0,53.0,5.0,18.0,1.0,0.0,1.0,13.0,15.45MB,26.0,True,,44.0,BFS,664.0,2056.0,0.01,0.06,0.0,0.03,0.0486,0.0,0.0486,0.6323,1,12,15.45
TL-1-12,compos,MA,8.0,7.0,10.0,8.0,28.0,2.0,0.0,1.0,0.0,16.48MB,36.0,True,,64.0,MA,664.0,2056.0,0.01,0.01,0.0,0.0,0.0973,0.0,0.0486,0.0,1,12,16.48
TL-1-12,compos,RA,7.0,7.0,8.0,8.0,29.0,2.0,0.0,1.0,0.0,16.51MB,36.0,True,,65.0,RA,664.0,2056.0,0.01,0.01,0.0,0.0,0.0973,0.0,0.0486,0.0,1,12,16.51
TL-1-12,mono,,664.0,338.0,2056.0,834.0,34.0,0.0,0.0,0.0,0.0,12.06MB,79.0,True,,113.0,Monolithic,664.0,2056.0,0.51,1.0,0.41,1.0,0.0,0.0,0.0,0.0,1,12,12.06
TL-1-13,compos,BFS,45.0,5.0,57.0,5.0,18.0,1.0,0.0,1.0,14.0,15.92MB,27.0,True,,45.0,BFS,771.0,2396.0,0.01,0.06,0.0,0.02,0.0417,0.0,0.0417,0.5843,1,13,15.92
TL-1-13,compos,RA,7.0,7.0,8.0,8.0,34.0,2.0,0.0,1.0,0.0,16.48MB,27.0,True,,61.0,RA,771.0,2396.0,0.01,0.01,0.0,0.0,0.0835,0.0,0.0417,0.0,1,13,16.48
TL-1-13,compos,MA,8.0,7.0,10.0,8.0,21.0,2.0,0.0,1.0,0.0,16.48MB,27.0,True,,48.0,MA,771.0,2396.0,0.01,0.01,0.0,0.0,0.0835,0.0,0.0417,0.0,1,13,16.48
TL-1-13,mono,,771.0,392.0,2396.0,975.0,39.0,0.0,0.0,0.0,0.0,14.70MB,73.0,True,,112.0,Monolithic,771.0,2396.0,0.51,1.0,0.41,1.0,0.0,0.0,0.0,0.0,1,13,14.7
TL-1-14,compos,MA,8.0,7.0,10.0,8.0,21.0,2.0,0.0,1.0,0.0,15.92MB,27.0,True,,48.0,MA,886.0,2762.0,0.01,0.01,0.0,0.0,0.0724,0.0,0.0362,0.0,1,14,15.92
TL-1-14,compos,BFS,48.0,5.0,61.0,5.0,18.0,1.0,0.0,1.0,15.0,15.92MB,27.0,True,,45.0,BFS,886.0,2762.0,0.01,0.05,0.0,0.02,0.0362,0.0,0.0362,0.5431,1,14,15.92
TL-1-14,compos,RA,7.0,7.0,8.0,8.0,27.0,2.0,0.0,1.0,0.0,16.48MB,28.0,True,,55.0,RA,886.0,2762.0,0.01,0.01,0.0,0.0,0.0724,0.0,0.0362,0.0,1,14,16.48
TL-1-14,mono,,886.0,450.0,2762.0,1127.0,61.0,0.0,0.0,0.0,0.0,10.96MB,72.0,True,,133.0,Monolithic,886.0,2762.0,0.51,1.0,0.41,1.0,0.0,0.0,0.0,0.0,1,14,10.96
TL-1-15,compos,MA,8.0,7.0,10.0,8.0,22.0,2.0,0.0,1.0,0.0,16.48MB,28.0,True,,50.0,MA,1009.0,3154.0,0.01,0.01,0.0,0.0,0.0634,0.0,0.0317,0.0,1,15,16.48
TL-1-15,compos,BFS,51.0,5.0,65.0,5.0,19.0,1.0,0.0,1.0,16.0,15.93MB,27.0,True,,46.0,BFS,1009.0,3154.0,0.0,0.05,0.0,0.02,0.0317,0.0,0.0317,0.5073,1,15,15.93
TL-1-15,compos,RA,7.0,7.0,8.0,8.0,34.0,2.0,0.0,1.0,0.0,16.96MB,39.0,True,,73.0,RA,1009.0,3154.0,0.01,0.01,0.0,0.0,0.0634,0.0,0.0317,0.0,1,15,16.96
TL-1-15,mono,,1009.0,512.0,3154.0,1290.0,59.0,0.0,0.0,0.0,0.0,15.25MB,80.0,True,,139.0,Monolithic,1009.0,3154.0,0.51,1.0,0.41,1.0,0.0,0.0,0.0,0.0,1,15,15.25
TL-1-2,compos,MA,8.0,7.0,10.0,8.0,20.0,2.0,0.0,1.0,0.0,15.96MB,35.0,True,,55.0,MA,34.0,86.0,0.21,0.24,0.09,0.12,2.3256,0.0,1.1628,0.0,1,2,15.96
TL-1-2,compos,RA,7.0,7.0,8.0,8.0,25.0,2.0,0.0,1.0,0.0,15.92MB,31.0,True,,56.0,RA,34.0,86.0,0.21,0.21,0.09,0.09,2.3256,0.0,1.1628,0.0,1,2,15.92
TL-1-2,compos,BFS,12.0,5.0,13.0,5.0,11.0,1.0,0.0,1.0,3.0,14.48MB,32.0,True,,43.0,BFS,34.0,86.0,0.15,0.35,0.06,0.15,1.1628,0.0,1.1628,3.4884,1,2,14.48
TL-1-2,mono,,34.0,18.0,86.0,29.0,6.0,0.0,0.0,0.0,0.0,8.25MB,54.0,True,,60.0,Monolithic,34.0,86.0,0.53,1.0,0.34,1.0,0.0,0.0,0.0,0.0,1,2,8.25
TL-1-3,compos,BFS,15.0,5.0,17.0,5.0,12.0,1.0,0.0,1.0,4.0,14.50MB,25.0,True,,37.0,BFS,61.0,166.0,0.08,0.25,0.03,0.1,0.6024,0.0,0.6024,2.4096,1,3,14.5
TL-1-3,compos,MA,8.0,7.0,10.0,8.0,19.0,2.0,0.0,1.0,0.0,15.92MB,25.0,True,,44.0,MA,61.0,166.0,0.11,0.13,0.05,0.06,1.2048,0.0,0.6024,0.0,1,3,15.92
TL-1-3,compos,RA,7.0,7.0,8.0,8.0,26.0,2.0,0.0,1.0,0.0,15.93MB,33.0,True,,59.0,RA,61.0,166.0,0.11,0.11,0.05,0.05,1.2048,0.0,0.6024,0.0,1,3,15.93
TL-1-3,mono,,61.0,32.0,166.0,60.0,7.0,0.0,0.0,0.0,0.0,8.40MB,55.0,True,,62.0,Monolithic,61.0,166.0,0.52,1.0,0.36,1.0,0.0,0.0,0.0,0.0,1,3,8.4
TL-1-4,compos,MA,8.0,7.0,10.0,8.0,20.0,2.0,0.0,1.0,0.0,15.92MB,25.0,True,,45.0,MA,96.0,272.0,0.07,0.08,0.03,0.04,0.7353,0.0,0.3676,0.0,1,4,15.92
TL-1-4,compos,RA,7.0,7.0,8.0,8.0,27.0,2.0,0.0,1.0,0.0,15.92MB,36.0,True,,63.0,RA,96.0,272.0,0.07,0.07,0.03,0.03,0.7353,0.0,0.3676,0.0,1,4,15.92
