testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
CM-1-1,compos,25,17,31,21,37,6,0,1,2,18.48MB,26,True,MA,
CM-1-1,compos,33,17,43,21,24,8,1,1,5,15.92MB,26,True,BFS,
CM-1-1,compos,17,17,21,21,28,5,0,1,0,16.48MB,35,True,RA,
CM-1-1,mono,35,27,54,33,5,0,0,0,0,7.94MB,62,True,,
CM-1-10,compos,833,274,1487,376,971,109,262,24,14,35.02MB,47,True,MA,
CM-1-10,compos,1629,326,2998,447,4513,567,228,1,88,203.79MB,50,True,BFS,
CM-1-10,compos,645,305,1027,426,732,198,31,98,14,65.30MB,52,True,RA,
CM-1-10,mono,1727,905,3330,1273,175,0,0,0,0,52.34MB,89,True,,
CM-1-11,compos,983,296,1776,405,1274,123,322,29,18,87.22MB,63,True,MA,
CM-1-11,compos,1925,360,3556,504,6510,658,299,1,98,222.42MB,53,True,BFS,
CM-1-11,compos,693,357,1108,501,716,218,28,110,15,133.25MB,49,True,RA,
CM-1-11,mono,2075,1083,4014,1531,184,0,0,0,0,55.00MB,120,True,,
CM-1-12,compos,827,413,1344,582,1016,200,144,131,17,80.50MB,61,True,RA,
CM-1-12,compos,2275,428,4225,597,9231,774,344,1,109,189.39MB,51,True,BFS,
CM-1-12,compos,1147,290,2085,387,1835,134,399,10,19,163.78MB,51,True,MA,
CM-1-12,mono,2455,1277,4762,1813,213,0,0,0,0,54.94MB,95,True,,
CM-1-13,compos,2662,476,4968,672,13576,914,399,1,120,279.84MB,60,True,BFS,
CM-1-13,compos,1319,412,2419,565,2025,146,462,33,19,208.00MB,74,True,MA,
CM-1-13,compos,,,,,,,,,,,,,RA,TO
CM-1-13,mono,2867,1487,5574,2119,252,0,0,0,0,73.80MB,105,True,,
CM-1-14,compos,3074,549,5767,774,19905,1068,459,1,131,255.94MB,63,True,BFS,
CM-1-14,compos,1505,542,2776,767,2502,152,545,30,20,101.56MB,53,True,MA,
CM-1-14,mono,3311,1713,6450,2449,294,0,0,0,0,31.98MB,111,True,,
CM-1-15,compos,1703,526,3157,737,3120,169,640,34,22,186.20MB,77,True,MA,
CM-1-15,compos,3513,620,6621,876,28198,1217,523,1,142,263.29MB,75,True,BFS,
CM-1-15,mono,3787,1955,7390,2803,340,0,0,0,0,66.91MB,107,True,,
CM-1-2,compos,84,36,124,45,46,20,7,1,11,18.96MB,40,True,BFS,
CM-1-2,compos,51,33,69,42,81,14,0,2,4,24.48MB,40,True,MA,
CM-1-2,compos,33,33,42,42,41,9,0,2,0,18.48MB,30,True,RA,
CM-1-2,mono,95,57,162,73,10,0,0,0,0,9.40MB,57,True,,
CM-1-3,compos,162,56,256,72,87,36,22,1,20,14.00MB,40,True,BFS,
CM-1-3,compos,53,53,69,69,60,13,0,5,0,21.92MB,31,True,RA,
CM-1-3,compos,115,58,163,74,125,22,9,6,8,17.20MB,30,True,MA,
CM-1-3,mono,187,107,334,139,10,0,0,0,0,11.00MB,61,True,,
CM-1-4,compos,270,83,444,108,134,59,40,1,30,40.36MB,34,True,BFS,
CM-1-4,compos,185,82,291,107,161,38,28,9,8,42.23MB,34,True,MA,
CM-1-4,compos,77,77,102,102,83,17,0,10,0,26.96MB,42,True,RA,
CM-1-4,mono,311,173,570,229,28,0,0,0,0,14.96MB,85,True,,
CM-1-5,compos,263,110,427,146,227,47,48,11,11,76.28MB,37,True,MA,
CM-1-5,compos,413,110,690,146,251,87,64,1,39,97.45MB,36,True,BFS,
CM-1-5,compos,105,105,141,141,117,21,0,17,0,14.96MB,47,True,RA,
CM-1-5,mono,467,255,870,343,35,0,0,0,0,19.75MB,71,True,,
CM-1-6,compos,219,137,316,186,176,25,25,42,5,32.11MB,47,True,RA,
CM-1-6,compos,591,146,1029,195,491,147,92,1,53,89.37MB,38,True,BFS,
CM-1-6,compos,353,140,587,188,332,54,77,18,10,130.43MB,40,True,MA,
CM-1-6,mono,655,353,1234,481,48,0,0,0,0,13.81MB,83,True,,
CM-1-7,compos,814,188,1431,252,837,216,123,1,62,54.40MB,42,True,BFS,
CM-1-7,compos,337,173,504,237,266,60,30,43,10,65.53MB,44,True,RA,
CM-1-7,compos,455,178,789,242,483,75,115,15,13,60.37MB,40,True,MA,
