,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
29,469,146,1064,250,1108,13,0,1,186,77.13,617.0,new,experiments/results/AT_3_3/5mill/29.onnx,AT,3,4,3794.20791387558,1450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,29
30,333,117,699,203,1022,341,0,1,33,140.84,448.0,new,experiments/results/AT_3_3/5mill/30.onnx,AT,3,4,3934.5061271190643,1500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,30
31,415,141,969,252,1129,325,0,1,140,35.2,452.0,new,experiments/results/AT_3_3/5mill/31.onnx,AT,3,4,4074.3320622444153,1550000,1e-05,20,0.1,23,True,10000,True,10000,True,True,31
32,420,100,802,154,825,20,0,1,126,54.07,432.0,new,experiments/results/AT_3_3/5mill/32.onnx,AT,3,4,4214.705090045929,1600000,1e-05,20,0.1,23,True,10000,True,10000,True,True,32
33,388,89,708,135,854,10,0,1,132,78.88,489.0,new,experiments/results/AT_3_3/5mill/33.onnx,AT,3,4,4357.402772903442,1650000,1e-05,20,0.1,23,True,10000,True,10000,True,True,33
34,396,118,768,214,1185,129,0,1,93,52.04,691.0,new,experiments/results/AT_3_3/5mill/34.onnx,AT,3,4,4497.577904224396,1700000,1e-05,20,0.1,23,True,10000,True,10000,True,True,34
35,357,86,663,130,1312,160,0,1,70,18.02,714.0,new,experiments/results/AT_3_3/5mill/35.onnx,AT,3,4,4627.567374944687,1750000,1e-05,20,0.1,23,True,10000,True,10000,True,True,35
36,323,117,711,212,1021,325,0,1,24,153.76,515.0,new,experiments/results/AT_3_3/5mill/36.onnx,AT,3,4,4759.050069332123,1800000,1e-05,20,0.1,23,True,10000,True,10000,True,True,36
37,349,99,711,154,1187,280,0,1,43,139.11,545.0,new,experiments/results/AT_3_3/5mill/37.onnx,AT,3,4,4892.782196998596,1850000,1e-05,20,0.1,23,True,10000,True,10000,True,True,37
38,381,112,664,191,1022,99,0,1,114,66.97,532.0,new,experiments/results/AT_3_3/5mill/38.onnx,AT,3,4,5027.537682294846,1900000,1e-05,20,0.1,23,True,10000,True,10000,True,True,38
39,494,136,1043,230,1249,258,0,1,219,77.36,523.0,new,experiments/results/AT_3_3/5mill/39.onnx,AT,3,4,5160.8029363155365,1950000,1e-05,20,0.1,23,True,10000,True,10000,True,True,39
40,427,112,864,183,1111,183,0,1,149,29.3,413.0,new,experiments/results/AT_3_3/5mill/40.onnx,AT,3,4,5295.646831989288,2000000,1e-05,20,0.1,23,True,10000,True,10000,True,True,40
41,317,119,691,199,1050,329,0,1,0,58.01,474.0,new,experiments/results/AT_3_3/5mill/41.onnx,AT,3,4,5432.4478306770325,2050000,1e-05,20,0.1,23,True,10000,True,10000,True,True,41
42,353,104,786,187,1429,309,0,1,98,146.87,803.0,new,experiments/results/AT_3_3/5mill/42.onnx,AT,3,4,5571.623685836792,2100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,42
43,420,133,830,236,1318,310,0,1,147,33.42,587.0,new,experiments/results/AT_3_3/5mill/43.onnx,AT,3,4,5707.475285768509,2150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,43
44,467,148,1018,263,1563,416,0,1,218,32.15,755.0,new,experiments/results/AT_3_3/5mill/44.onnx,AT,3,4,5848.416348934174,2200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,44
45,449,149,926,267,1008,382,0,1,194,73.36,352.0,new,experiments/results/AT_3_3/5mill/45.onnx,AT,3,4,5988.837739467621,2250000,1e-05,20,0.1,23,True,10000,True,10000,True,True,45
46,457,113,950,191,844,35,0,1,205,32.34,382.0,new,experiments/results/AT_3_3/5mill/46.onnx,AT,3,4,6128.91881942749,2300000,1e-05,20,0.1,23,True,10000,True,10000,True,True,46
47,448,127,899,198,992,12,0,1,186,149.9,599.0,new,experiments/results/AT_3_3/5mill/47.onnx,AT,3,4,6266.622520685196,2350000,1e-05,20,0.1,23,True,10000,True,10000,True,True,47
48,332,112,629,186,1241,210,0,1,48,46.94,708.0,new,experiments/results/AT_3_3/5mill/48.onnx,AT,3,4,6414.92173576355,2400000,1e-05,20,0.1,23,True,10000,True,10000,True,True,48
49,483,149,979,265,1340,6,0,1,192,131.1,930.0,new,experiments/results/AT_3_3/5mill/49.onnx,AT,3,4,6563.14151763916,2450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,49
50,500,135,1054,216,1198,11,0,1,221,83.4,758.0,new,experiments/results/AT_3_3/5mill/50.onnx,AT,3,4,6715.398673057556,2500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,50
51,253,95,463,154,834,111,0,1,28,77.7,393.0,new,experiments/results/AT_3_3/5mill/51.onnx,AT,3,4,6864.940776109695,2550000,1e-05,20,0.1,23,True,10000,True,10000,True,True,51
52,472,130,936,204,934,47,0,1,219,76.36,435.0,new,experiments/results/AT_3_3/5mill/52.onnx,AT,3,4,7011.695917129517,2600000,1e-05,20,0.1,23,True,10000,True,10000,True,True,52
53,513,133,1160,223,1034,8,0,1,257,64.25,508.0,new,experiments/results/AT_3_3/5mill/53.onnx,AT,3,4,7163.88659954071,2650000,1e-05,20,0.1,23,True,10000,True,10000,True,True,53
54,481,163,946,282,1207,12,0,1,190,25.36,732.0,new,experiments/results/AT_3_3/5mill/54.onnx,AT,3,4,7318.67439365387,2700000,1e-05,20,0.1,23,True,10000,True,10000,True,True,54
55,499,144,1079,254,1188,369,0,1,240,101.35,491.0,new,experiments/results/AT_3_3/5mill/55.onnx,AT,3,4,7469.392395973206,2750000,1e-05,20,0.1,23,True,10000,True,10000,True,True,55
56,513,142,1180,249,834,27,0,1,276,53.23,412.0,new,experiments/results/AT_3_3/5mill/56.onnx,AT,3,4,7611.342040300369,2800000,1e-05,20,0.1,23,True,10000,True,10000,True,True,56
