,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
29,31,23,47,33,156,11,0,4,4,17.7,13.0,new,experiments/results/AT_2_2/5mill_RA/29.onnx,AT,2,2,2242.2853112220764,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,False,29
30,28,23,43,33,154,11,0,4,3,17.62,7.0,new,experiments/results/AT_2_2/5mill_RA/30.onnx,AT,2,2,2334.452745437622,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,30
31,32,25,54,39,158,10,0,1,4,18.18,13.0,new,experiments/results/AT_2_2/5mill_RA/31.onnx,AT,2,2,2425.210999250412,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,False,31
32,29,20,44,30,168,11,0,1,3,17.62,9.0,new,experiments/results/AT_2_2/5mill_RA/32.onnx,AT,2,2,2517.4502255916595,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,False,32
33,31,23,47,33,180,13,0,2,5,17.62,12.0,new,experiments/results/AT_2_2/5mill_RA/33.onnx,AT,2,2,2608.7318789958954,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,False,33
34,31,23,45,33,157,12,0,1,5,17.62,19.0,new,experiments/results/AT_2_2/5mill_RA/34.onnx,AT,2,2,2693.263704776764,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,False,34
35,30,23,44,33,155,10,0,1,5,17.62,13.0,new,experiments/results/AT_2_2/5mill_RA/35.onnx,AT,2,2,2774.1568925380707,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,35
36,28,20,41,30,181,8,0,4,4,17.62,12.0,new,experiments/results/AT_2_2/5mill_RA/36.onnx,AT,2,2,2859.8508484363556,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,False,36
37,37,25,62,38,180,10,0,1,10,18.66,19.0,new,experiments/results/AT_2_2/5mill_RA/37.onnx,AT,2,2,2947.920064687729,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,False,37
38,31,20,46,30,185,9,0,1,5,17.62,14.0,new,experiments/results/AT_2_2/5mill_RA/38.onnx,AT,2,2,3037.26385140419,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,False,38
39,29,23,43,33,181,9,0,1,3,17.62,12.0,new,experiments/results/AT_2_2/5mill_RA/39.onnx,AT,2,2,3125.7704701423645,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,False,39
40,25,23,39,33,157,9,0,4,0,17.62,15.0,new,experiments/results/AT_2_2/5mill_RA/40.onnx,AT,2,2,3203.396100997925,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,40
41,25,23,38,33,194,9,0,4,0,17.62,16.0,new,experiments/results/AT_2_2/5mill_RA/41.onnx,AT,2,2,3277.562136888504,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,False,41
