,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,4,0,3,0,177,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,1,0.01694915254237288,0
1,5,0,4,0,165,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,2,0.024242424242424242,0
2,6,0,5,0,164,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,3,0.03048780487804878,0
3,7,0,6,0,186,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,4,0.03225806451612903,0
4,8,0,7,0,209,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,5,0.03349282296650718,0
5,9,0,8,0,169,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,6,0.047337278106508875,0
6,10,0,9,0,170,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,7,0.052941176470588235,0
7,11,0,10,0,214,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,8,0.04672897196261682,0
8,12,0,11,0,168,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,9,0.06547619047619048,0
9,13,0,12,0,172,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,10,0.06976744186046512,0
10,14,0,13,0,169,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,11,0.07692307692307693,0
11,15,0,14,0,172,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,12,0.08139534883720931,0
12,16,0,15,0,169,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,13,0.08875739644970414,0
13,17,0,16,0,193,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,14,0.08290155440414508,0
14,18,0,17,0,171,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,1,15,0.09941520467836257,0
15,57,27,77,35,216,8,1,1,9,21.14,53.0,false,False,new,experiments/results/DP_2_2/boolean_3/0.onnx,DP,2,1,0.35648148148148145,0
