,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
28,43,33,58,46,181,6,0,1,2,17.7,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/28.onnx,DP,2,2,4095.2371983528137,1400000,1e-05,20,0.1,15,True,10000,True,10000,True,28
29,72,42,106,61,198,11,0,14,1,20.18,21.0,new,experiments/results/DP_2_2/TB_5mill_bs100/29.onnx,DP,2,2,4255.916307449341,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,29
30,54,36,75,51,194,21,0,1,0,19.14,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/30.onnx,DP,2,2,4418.1786897182465,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30
31,74,42,107,61,217,16,0,2,3,20.66,27.0,new,experiments/results/DP_2_2/TB_5mill_bs100/31.onnx,DP,2,2,4577.285993099213,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,31
32,49,31,70,41,186,13,0,2,1,18.66,14.0,new,experiments/results/DP_2_2/TB_5mill_bs100/32.onnx,DP,2,2,4754.48450422287,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,32
33,53,36,77,52,178,8,0,1,3,18.66,14.0,new,experiments/results/DP_2_2/TB_5mill_bs100/33.onnx,DP,2,2,4926.64639544487,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,33
34,84,48,129,75,186,20,0,2,9,21.7,21.0,new,experiments/results/DP_2_2/TB_5mill_bs100/34.onnx,DP,2,2,5115.315544605255,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,34
35,52,31,77,42,192,11,0,2,3,18.66,17.0,new,experiments/results/DP_2_2/TB_5mill_bs100/35.onnx,DP,2,2,5303.391233921051,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35
36,53,36,80,52,173,13,0,1,4,18.66,27.0,new,experiments/results/DP_2_2/TB_5mill_bs100/36.onnx,DP,2,2,5488.4787220954895,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,36
37,104,46,154,65,202,21,0,1,7,24.66,32.0,new,experiments/results/DP_2_2/TB_5mill_bs100/37.onnx,DP,2,2,5678.145860671997,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,37
38,127,37,190,50,259,26,0,1,14,26.66,47.0,new,experiments/results/DP_2_2/TB_5mill_bs100/38.onnx,DP,2,2,5869.430189371109,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,38
39,54,28,78,35,202,13,0,1,2,19.14,17.0,new,experiments/results/DP_2_2/TB_5mill_bs100/39.onnx,DP,2,2,6061.988914489746,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,39
40,95,43,129,58,200,9,0,1,10,22.18,28.0,new,experiments/results/DP_2_2/TB_5mill_bs100/40.onnx,DP,2,2,6254.824652194977,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40
41,108,31,159,42,257,19,1,1,11,24.66,51.0,new,experiments/results/DP_2_2/TB_5mill_bs100/41.onnx,DP,2,2,6449.99201965332,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,41
42,66,31,86,42,195,6,0,6,4,18.66,28.0,new,experiments/results/DP_2_2/TB_5mill_bs100/42.onnx,DP,2,2,6634.290271520615,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,42
43,81,25,113,29,210,8,0,1,9,21.62,23.0,new,experiments/results/DP_2_2/TB_5mill_bs100/43.onnx,DP,2,2,6795.890761613846,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,43
44,105,31,159,38,207,26,0,1,9,24.18,24.0,new,experiments/results/DP_2_2/TB_5mill_bs100/44.onnx,DP,2,2,6969.017799854279,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,44
