,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,1091,461,3457,1051,3022,1528,0,1,454,80.15,905.0,new,experiments/results/TA_2_2/ra_feature2_2h/0.onnx,TA,3,3,0.03052544593811035,0,1e-05,20,0.1,17,True,0
1,1091,528,3564,1223,7133,2058,0,1,217,227.82,3115.0,new,experiments/results/TA_2_2/ra_feature2_2h/5.onnx,TA,3,3,373.269287109375,250000,1e-05,20,0.1,17,True,5
2,768,281,2159,521,2326,983,0,1,244,107.7,804.0,new,experiments/results/TA_2_2/ra_feature2_2h/10.onnx,TA,3,3,740.6759288311005,500000,1e-05,20,0.1,17,True,10
3,1085,307,3098,560,4168,48,0,1,222,35.05,3326.0,new,experiments/results/TA_2_2/ra_feature2_2h/15.onnx,TA,3,3,1106.9801630973816,750000,1e-05,20,0.1,17,True,15
4,858,289,2304,537,2467,999,0,1,202,66.23,862.0,new,experiments/results/TA_2_2/ra_feature2_2h/20.onnx,TA,3,3,1473.4378163814545,1000000,1e-05,20,0.1,17,True,20
5,1088,295,2842,535,4307,54,0,1,194,85.28,3481.0,new,experiments/results/TA_2_2/ra_feature2_2h/25.onnx,TA,3,3,1840.4329760074615,1250000,1e-05,20,0.1,17,True,25
6,721,207,1359,333,1879,1,0,1,55,61.17,1330.0,new,experiments/results/TA_2_2/ra_feature2_2h/30.onnx,TA,3,3,2207.4264867305756,1500000,1e-05,20,0.1,17,True,30
7,1088,284,2856,515,3474,1208,0,1,277,210.7,1533.0,new,experiments/results/TA_2_2/ra_feature2_2h/35.onnx,TA,3,3,2577.8138768672943,1750000,1e-05,20,0.1,17,True,35
8,947,311,1998,557,2991,136,0,1,15,153.79,2201.0,new,experiments/results/TA_2_2/ra_feature2_2h/40.onnx,TA,3,3,2949.0659675598145,2000000,1e-05,20,0.1,17,True,40
9,1082,262,2411,462,3862,1216,0,1,1,161.14,2184.0,new,experiments/results/TA_2_2/ra_feature2_2h/45.onnx,TA,3,3,3319.8687584400177,2250000,1e-05,20,0.1,17,True,45
10,1091,246,2270,420,4326,874,0,1,162,264.36,2550.0,new,experiments/results/TA_2_2/ra_feature2_2h/50.onnx,TA,3,3,3690.8218319416046,2500000,1e-05,20,0.1,17,True,50
11,1070,305,2708,558,2553,78,0,1,240,52.83,1789.0,new,experiments/results/TA_2_2/ra_feature2_2h/55.onnx,TA,3,3,4062.6106090545654,2750000,1e-05,20,0.1,17,True,55
12,1085,229,2338,389,4307,869,0,1,217,192.08,2458.0,new,experiments/results/TA_2_2/ra_feature2_2h/60.onnx,TA,3,3,4435.518577814102,3000000,1e-05,20,0.1,17,True,60
13,956,244,1743,418,3038,644,0,1,8,168.87,1859.0,new,experiments/results/TA_2_2/ra_feature2_2h/65.onnx,TA,3,3,4808.908775568008,3250000,1e-05,20,0.1,17,True,65
14,411,127,871,175,1197,415,0,1,1,83.42,568.0,new,experiments/results/TA_2_2/ra_feature2_2h/70.onnx,TA,3,3,5182.5724930763245,3500000,1e-05,20,0.1,17,True,70
15,1087,246,2407,424,3465,192,0,1,245,98.53,2312.0,new,experiments/results/TA_2_2/ra_feature2_2h/75.onnx,TA,3,3,5555.5618550777435,3750000,1e-05,20,0.1,17,True,75
16,949,242,1749,405,2748,758,0,1,8,68.7,1599.0,new,experiments/results/TA_2_2/ra_feature2_2h/80.onnx,TA,3,3,5928.656420707703,4000000,1e-05,20,0.1,17,True,80
17,907,213,1699,347,3074,588,0,1,7,55.23,1708.0,new,experiments/results/TA_2_2/ra_feature2_2h/85.onnx,TA,3,3,6302.500545740128,4250000,1e-05,20,0.1,17,True,85
18,1035,312,1887,528,3477,674,0,1,8,59.05,2059.0,new,experiments/results/TA_2_2/ra_feature2_2h/90.onnx,TA,3,3,6675.946488380432,4500000,1e-05,20,0.1,17,True,90
19,1011,271,1807,440,3402,179,0,1,8,109.83,2600.0,new,experiments/results/TA_2_2/ra_feature2_2h/95.onnx,TA,3,3,7050.024909257889,4750000,1e-05,20,0.1,17,True,95
