,expanded transitions,synthesis time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,,,new,experiments/results/CM_2_2/5mill_RA/0.onnx,CM,3,3,2.9137396812438965,0,1e-05,20,0.1,15,True,10000,True,10000,True,False,0
1,,,new,experiments/results/CM_2_2/5mill_RA/5.onnx,CM,3,3,1403.2426335811615,250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,5
2,,,new,experiments/results/CM_2_2/5mill_RA/10.onnx,CM,3,3,1940.788269519806,500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,10
3,,,new,experiments/results/CM_2_2/5mill_RA/15.onnx,CM,3,3,2430.0263118743896,750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,15
4,,,new,experiments/results/CM_2_2/5mill_RA/20.onnx,CM,3,3,2966.1947741508484,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,20
5,,,new,experiments/results/CM_2_2/5mill_RA/25.onnx,CM,3,3,3484.4502029418945,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,25
6,,,new,experiments/results/CM_2_2/5mill_RA/30.onnx,CM,3,3,4002.4903490543365,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,30
7,,,new,experiments/results/CM_2_2/5mill_RA/35.onnx,CM,3,3,4511.188255310059,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,35
8,,,new,experiments/results/CM_2_2/5mill_RA/40.onnx,CM,3,3,5040.011656761169,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,40
9,,,new,experiments/results/CM_2_2/5mill_RA/45.onnx,CM,3,3,5551.452527999878,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,45
10,,,new,experiments/results/CM_2_2/5mill_RA/50.onnx,CM,3,3,6053.769618272781,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,50
11,,,new,experiments/results/CM_2_2/5mill_RA/55.onnx,CM,3,3,6594.288401842117,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,55
12,,,new,experiments/results/CM_2_2/5mill_RA/60.onnx,CM,3,3,7108.125248432159,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,60
13,,,new,experiments/results/CM_2_2/5mill_RA/65.onnx,CM,3,3,7614.19385766983,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,65
14,,,new,experiments/results/CM_2_2/5mill_RA/70.onnx,CM,3,3,8133.28829574585,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,70
15,,,new,experiments/results/CM_2_2/5mill_RA/75.onnx,CM,3,3,8662.83765244484,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,75
16,,,new,experiments/results/CM_2_2/5mill_RA/80.onnx,CM,3,3,9188.359156847,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,80
17,,,new,experiments/results/CM_2_2/5mill_RA/85.onnx,CM,3,3,9727.649827003479,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,85
18,,,new,experiments/results/CM_2_2/5mill_RA/90.onnx,CM,3,3,10264.424179553986,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,90
19,,,new,experiments/results/CM_2_2/5mill_RA/95.onnx,CM,3,3,10798.543403863907,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,95
20,,,new,experiments/results/CM_2_2/5mill_RA/100.onnx,CM,3,3,11339.220504760742,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,100
