,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
22,88.0,287,175,2,2,DP,11,1277.4212403297424,2150000,-100.12373912726014,11,0.55403006,-0.5968479,-0.16557504,0.7316271,1.0220604,-7.1525574e-07,-2.4852707,-1.4822738,-0.21916583,-1.1730793,-1.3544255
23,47102.0,5078,2835,3,3,DP,11,1277.4212403297424,2150000,-100.12373912726014,11,0.55403006,-0.5968479,-0.16557504,0.7316271,1.0220604,-7.1525574e-07,-2.4852707,-1.4822738,-0.21916583,-1.1730793,-1.3544255
24,99.0,276,172,2,2,DP,11,3510.1520552635193,5300000,-98.04520165383028,12,0.3292608,-1.1400769,-0.16138482,0.5138561,0.8401763,-3.5762787e-07,-1.914663,-0.93851674,-0.44034293,-1.2862787,-1.3777143
25,35822.0,5063,2705,3,3,DP,11,3510.1520552635193,5300000,-98.04520165383028,12,0.3292608,-1.1400769,-0.16138482,0.5138561,0.8401763,-3.5762787e-07,-1.914663,-0.93851674,-0.44034293,-1.2862787,-1.3777143
26,22.0,96,64,2,2,DP,11,1086.0873653888702,1850000,-105.79598719841213,13,0.31957182,-0.64067614,-0.302597,0.71881986,0.74270326,-7.1525574e-07,-3.4482126,-2.0058274,-0.48677436,-1.7662961,-2.6054447
27,13084.0,2825,1693,3,3,DP,11,1086.0873653888702,1850000,-105.79598719841213,13,0.31957182,-0.64067614,-0.302597,0.71881986,0.74270326,-7.1525574e-07,-3.4482126,-2.0058274,-0.48677436,-1.7662961,-2.6054447
28,81.0,265,175,2,2,DP,11,1149.5939424037933,1950000,-94.48491972016734,14,0.4437869,-0.7815506,-0.27279085,0.6306268,0.8736278,-7.1525574e-07,-3.1155102,-1.5706841,-0.3926246,-1.3014975,-1.766985
29,60011.0,6319,2835,3,3,DP,11,1149.5939424037933,1950000,-94.48491972016734,14,0.4437869,-0.7815506,-0.27279085,0.6306268,0.8736278,-7.1525574e-07,-3.1155102,-1.5706841,-0.3926246,-1.3014975,-1.766985
30,82.0,253,168,2,2,DP,11,450.0735385417938,800000,-98.0214773117077,15,0.18742543,-0.4651177,0.20896077,0.22641122,0.6266169,-9.536743e-07,-4.8282185,-2.5601933,-0.5155605,-1.7525141,-3.2629025
31,36428.0,5804,2730,3,3,DP,11,450.0735385417938,800000,-98.0214773117077,15,0.18742543,-0.4651177,0.20896077,0.22641122,0.6266169,-9.536743e-07,-4.8282185,-2.5601933,-0.5155605,-1.7525141,-3.2629025
32,78.0,264,172,2,2,DP,11,2723.261071920395,4250000,-92.0243522078016,16,0.4369112,-0.96036315,-0.45165944,0.6829493,0.9197887,-4.7683716e-07,-1.808091,-1.0230775,-0.80237556,-1.2913523,-1.2349463
33,24721.0,3972,2331,3,3,DP,11,2723.261071920395,4250000,-92.0243522078016,16,0.4369112,-0.96036315,-0.45165944,0.6829493,0.9197887,-4.7683716e-07,-1.808091,-1.0230775,-0.80237556,-1.2913523,-1.2349463
34,89.0,270,171,2,2,DP,11,363.28734374046326,650000,-99.49611158925572,17,0.12838343,0.21065998,-0.36995724,0.03704983,0.93928635,-9.536743e-07,-4.063735,-2.5386958,-0.42605826,-1.2408098,-3.0876405
