,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,1
1,5.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,2
2,6.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,3
3,7.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,4
4,8.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,5
5,9.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,6
6,10.0,0.0,9.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,7
7,11.0,0.0,10.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,8
8,12.0,0.0,11.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,9
9,13.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,10
10,14.0,0.0,13.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,11
11,15.0,0.0,14.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,12
12,16.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,13
13,17.0,0.0,16.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,14
14,18.0,0.0,17.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,new,r,DP,1,15
15,25.0,23.0,29.0,27.0,33.0,4.0,0.0,1.0,1.0,16.18,new,r,DP,2,1
16,28.0,25.0,32.0,29.0,34.0,4.0,0.0,1.0,1.0,16.67,new,r,DP,2,2
17,31.0,27.0,35.0,31.0,36.0,4.0,0.0,1.0,1.0,16.66,new,r,DP,2,3
18,34.0,29.0,38.0,33.0,38.0,4.0,0.0,1.0,1.0,16.66,new,r,DP,2,4
19,37.0,31.0,41.0,35.0,39.0,4.0,0.0,1.0,1.0,17.15,new,r,DP,2,5
20,40.0,33.0,44.0,37.0,41.0,4.0,0.0,1.0,1.0,17.14,new,r,DP,2,6
21,43.0,35.0,47.0,39.0,41.0,4.0,0.0,1.0,1.0,17.62,new,r,DP,2,7
22,46.0,37.0,50.0,41.0,42.0,4.0,0.0,1.0,1.0,17.62,new,r,DP,2,8
23,49.0,39.0,53.0,43.0,43.0,4.0,0.0,1.0,1.0,17.62,new,r,DP,2,9
24,52.0,41.0,56.0,45.0,44.0,4.0,0.0,1.0,1.0,18.18,new,r,DP,2,10
25,55.0,43.0,59.0,47.0,45.0,4.0,0.0,1.0,1.0,18.18,new,r,DP,2,11
26,58.0,45.0,62.0,49.0,47.0,4.0,0.0,1.0,1.0,18.66,new,r,DP,2,12
27,61.0,47.0,65.0,51.0,49.0,4.0,0.0,1.0,1.0,18.66,new,r,DP,2,13
28,64.0,49.0,68.0,53.0,50.0,4.0,0.0,1.0,1.0,19.14,new,r,DP,2,14
29,67.0,51.0,71.0,55.0,54.0,4.0,0.0,1.0,1.0,19.14,new,r,DP,2,15
30,41.0,34.0,49.0,42.0,53.0,4.0,0.0,5.0,0.0,18.18,new,r,DP,3,1
31,62.0,47.0,81.0,65.0,68.0,12.0,1.0,2.0,2.0,20.18,new,r,DP,3,2
32,68.0,50.0,87.0,68.0,69.0,12.0,1.0,2.0,2.0,20.66,new,r,DP,3,3
33,74.0,53.0,93.0,71.0,73.0,12.0,1.0,2.0,2.0,21.14,new,r,DP,3,4
34,80.0,56.0,99.0,74.0,77.0,12.0,1.0,2.0,2.0,21.7,new,r,DP,3,5
35,86.0,59.0,105.0,77.0,80.0,12.0,1.0,2.0,2.0,22.66,new,r,DP,3,6
36,92.0,62.0,111.0,80.0,83.0,12.0,1.0,2.0,2.0,23.14,new,r,DP,3,7
37,98.0,65.0,117.0,83.0,90.0,12.0,1.0,2.0,2.0,23.62,new,r,DP,3,8
38,104.0,68.0,123.0,86.0,85.0,12.0,1.0,2.0,2.0,24.66,new,r,DP,3,9
39,110.0,71.0,129.0,89.0,91.0,12.0,1.0,2.0,2.0,25.14,new,r,DP,3,10
40,116.0,74.0,135.0,92.0,104.0,12.0,1.0,2.0,2.0,26.18,new,r,DP,3,11
41,122.0,77.0,141.0,95.0,112.0,12.0,1.0,2.0,2.0,27.14,new,r,DP,3,12
42,128.0,80.0,147.0,98.0,107.0,12.0,1.0,2.0,2.0,27.63,new,r,DP,3,13
43,134.0,83.0,153.0,101.0,102.0,12.0,1.0,2.0,2.0,28.66,new,r,DP,3,14
44,140.0,86.0,159.0,104.0,113.0,12.0,1.0,2.0,2.0,29.14,new,r,DP,3,15
45,76.0,49.0,97.0,69.0,85.0,4.0,0.0,9.0,0.0,21.62,new,r,DP,4,1
46,115.0,73.0,161.0,113.0,128.0,20.0,3.0,8.0,2.0,28.66,new,r,DP,4,2
47,129.0,77.0,175.0,117.0,125.0,20.0,3.0,4.0,3.0,8.79,new,r,DP,4,3
48,152.0,81.0,202.0,121.0,135.0,20.0,3.0,2.0,4.0,11.81,new,r,DP,4,4
49,206.0,115.0,319.0,205.0,192.0,56.0,26.0,2.0,4.0,36.83,new,r,DP,4,5
50,221.0,119.0,336.0,209.0,213.0,56.0,28.0,2.0,4.0,43.84,new,r,DP,4,6
51,236.0,123.0,353.0,213.0,237.0,56.0,30.0,2.0,4.0,47.88,new,r,DP,4,7
52,251.0,127.0,370.0,217.0,234.0,56.0,32.0,2.0,4.0,54.93,new,r,DP,4,8
53,266.0,131.0,387.0,221.0,244.0,56.0,34.0,2.0,4.0,61.97,new,r,DP,4,9
54,281.0,135.0,404.0,225.0,269.0,56.0,36.0,2.0,4.0,66.99,new,r,DP,4,10
55,296.0,139.0,421.0,229.0,272.0,56.0,38.0,2.0,4.0,71.06,new,r,DP,4,11
56,311.0,143.0,438.0,233.0,303.0,56.0,40.0,2.0,4.0,85.07,new,r,DP,4,12
57,326.0,147.0,455.0,237.0,306.0,56.0,42.0,2.0,4.0,91.13,new,r,DP,4,13
58,341.0,151.0,472.0,241.0,317.0,56.0,44.0,2.0,4.0,95.16,new,r,DP,4,14
59,356.0,155.0,489.0,245.0,347.0,56.0,46.0,2.0,4.0,107.23,new,r,DP,4,15
60,108.0,72.0,160.0,124.0,129.0,4.0,0.0,22.0,0.0,27.14,new,r,DP,5,1
61,205.0,97.0,302.0,169.0,214.0,28.0,6.0,16.0,3.0,24.87,new,r,DP,5,2
62,238.0,112.0,346.0,194.0,222.0,36.0,7.0,8.0,4.0,36.88,new,r,DP,5,3
63,302.0,117.0,419.0,199.0,263.0,36.0,7.0,1.0,7.0,48.9,new,r,DP,5,4
64,435.0,182.0,709.0,364.0,536.0,110.0,76.0,1.0,7.0,32.01,new,r,DP,5,5
65,467.0,187.0,747.0,369.0,548.0,110.0,82.0,1.0,7.0,45.09,new,r,DP,5,6
66,,,,,,,,,,,new,r,DP,5,7
67,,,,,,,,,,,new,r,DP,5,8
68,,,,,,,,,,,new,r,DP,5,9
69,,,,,,,,,,,new,r,DP,5,10
70,,,,,,,,,,,new,r,DP,5,11
71,,,,,,,,,,,new,r,DP,5,12
72,,,,,,,,,,,new,r,DP,5,13
73,,,,,,,,,,,new,r,DP,5,14
74,,,,,,,,,,,new,r,DP,5,15
75,183.0,111.0,318.0,243.0,205.0,4.0,0.0,38.0,0.0,18.08,new,r,DP,6,1
76,242.0,147.0,416.0,309.0,275.0,28.0,6.0,43.0,1.0,31.94,new,r,DP,6,2
77,423.0,163.0,660.0,335.0,433.0,60.0,14.0,20.0,5.0,101.99,new,r,DP,6,3
78,572.0,169.0,831.0,341.0,574.0,60.0,15.0,1.0,11.0,143.01,new,r,DP,6,4
79,,,,,,,,,,,new,r,DP,6,5
80,,,,,,,,,,,new,r,DP,6,6
81,319.0,182.0,653.0,506.0,316.0,4.0,0.0,71.0,0.0,44.05,new,r,DP,7,1
82,354.0,219.0,720.0,573.0,370.0,28.0,6.0,94.0,1.0,58.05,new,r,DP,7,2
83,420.0,246.0,829.0,620.0,457.0,44.0,15.0,89.0,1.0,80.12,new,r,DP,7,3
84,,,,,,,,,,,new,r,DP,7,4
85,,,,,,,,,,,new,r,DP,8,1
86,538.0,355.0,1352.0,1157.0,631.0,28.0,6.0,196.0,1.0,108.16,new,r,DP,8,2
87,,,,,,,,,,,new,r,DP,8,3
88,,,,,,,,,,,new,r,DP,9,1
89,,,,,,,,,,,new,r,DP,9,2
90,,,,,,,,,,,new,r,DP,10,1
91,,,,,,,,,,,new,r,DP,11,1
92,,,,,,,,,,,new,r,DP,12,1
93,,,,,,,,,,,new,r,DP,13,1
94,,,,,,,,,,,new,r,DP,14,1
95,,,,,,,,,,,new,r,DP,15,1
