,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,142,65,208,103,218,37,2,6,9,27.62,53.0,new,base_features_2h0,DP,2,2,52.494354486465454,50000,1e-05,20,0.1,11,False,-92.71181,0,0.10410768,-0.9468527,-1.003973,0.18080702,0.551683,-4.7683716e-07,-5.1616826,-4.8348646,-2.0605183,-3.1502466,-5.275297
1,75,44,115,65,149,12,2,1,2,18.66,24.0,new,base_features_2h1,DP,2,2,103.6681661605835,100000,1e-05,20,0.1,11,False,-88.90741,1,0.4225398,0.051541567,-1.232471,0.4920227,1.4031595,0.0,-4.4300976,-3.6354375,-1.1486726,-1.7240088,-4.5018616
2,175,57,275,90,203,37,2,1,5,11.56,56.0,new,base_features_2h2,DP,2,2,154.98330855369568,150000,1e-05,20,0.1,11,False,-87.32591,2,0.99633104,0.3432305,-0.16019654,1.0362608,1.7016897,-2.3841858e-07,-2.6098895,-1.6282073,0.027996264,-0.7114796,-1.825947
3,160,39,201,55,172,14,0,1,6,26.18,47.0,new,base_features_2h3,DP,2,2,206.6595048904419,200000,1e-05,20,0.1,11,False,-91.29671,3,0.6789389,-0.1922555,-0.30765083,0.97567964,1.3356104,-4.7683716e-07,-3.0271096,-1.609939,0.2805996,-0.57887864,-1.7893045
4,57,36,83,52,155,8,0,1,4,17.14,20.0,new,base_features_2h4,DP,2,2,258.18900752067566,250000,1e-05,20,0.1,11,False,-99.22248,4,0.481906,-0.18199253,-0.62394476,0.8192948,1.1540682,-2.3841858e-07,-3.089625,-1.856174,0.16099152,-1.4029965,-2.4611974
5,75,36,102,52,150,11,0,1,3,18.18,25.0,new,base_features_2h5,DP,2,2,309.60041642189026,300000,1e-05,20,0.1,11,False,-75.13412,5,0.49403358,-0.3324678,-0.1340073,0.74671197,1.3379619,-2.3841858e-07,-2.8818998,-1.4321859,0.267852,-1.014508,-1.8316092
6,43,36,66,52,153,12,0,1,0,17.14,17.0,new,base_features_2h6,DP,2,2,361.05293464660645,350000,1e-05,20,0.1,11,False,-86.321526,6,0.104714975,-0.28894722,-0.14528605,0.7698972,1.0606307,-2.3841858e-07,-3.2751875,-1.7353492,-0.16283269,-1.7307911,-2.7095518
7,175,34,214,45,183,23,0,1,14,29.14,59.0,new,base_features_2h7,DP,2,2,412.8359761238098,400000,1e-05,20,0.1,11,False,-91.130905,7,0.7530419,-0.21704948,-0.10167879,0.9645877,1.1747062,-2.3841858e-07,-2.667653,-1.7892992,0.27605718,-0.8619672,-1.8441631
8,73,44,115,65,166,13,2,1,4,18.66,17.0,new,base_features_2h8,DP,2,2,464.96795535087585,450000,1e-05,20,0.1,11,False,-88.86226,8,0.7091455,-0.25234675,-0.49451718,0.9075676,0.97352445,-4.7683716e-07,-2.8616357,-1.7014065,-0.05760826,-0.93225014,-2.2574465
9,165,28,229,35,247,43,0,1,4,9.49,54.0,new,base_features_2h9,DP,2,2,517.1910030841827,500000,1e-05,20,0.1,11,False,-69.987465,9,0.47201306,0.03341937,0.6301441,0.25768527,1.1593041,-1.1920929e-07,-3.1717415,-1.2824844,-0.035648763,-1.5392132,-1.7305382
10,96,44,152,65,166,27,2,1,6,22.18,37.0,new,base_features_2h10,DP,2,2,569.7127165794373,550000,1e-05,20,0.1,11,False,-98.904625,10,0.22114973,-0.18574154,-0.96038675,0.08543174,0.92219687,2.3841858e-07,-3.7938979,-2.8849316,-0.33769274,-1.0835285,-3.6754303
11,43,36,66,52,159,12,0,1,0,17.14,14.0,new,base_features_2h11,DP,2,2,622.1902434825897,600000,1e-05,20,0.1,11,False,-92.18881,11,0.07702128,-0.379959,-0.308054,0.524909,1.0345521,0.0,-2.6885889,-1.3046256,-0.107188016,-1.4492545,-2.2569985
12,87,37,114,51,148,11,0,1,5,19.62,22.0,new,base_features_2h12,DP,2,2,674.4434585571289,650000,1e-05,20,0.1,11,False,-100.48111,12,0.45832634,0.008755326,-0.58487046,0.89797336,1.4989992,0.0,-2.891621,-1.5336561,0.77397186,-0.68123335,-1.7730459
13,43,31,60,42,126,5,0,1,4,16.66,12.0,new,base_features_2h13,DP,2,2,726.5062901973724,700000,1e-05,20,0.1,11,False,-79.801575,13,0.1378023,-0.4343481,-0.6277939,0.9432297,1.3731657,0.0,-2.694819,-1.5130864,0.014798179,-1.5044473,-2.2312925
14,57,25,76,29,131,4,1,1,6,17.14,16.0,new,base_features_2h14,DP,2,2,778.9151499271393,750000,1e-05,20,0.1,11,False,-76.00754,14,0.3884932,-0.48030734,-0.10467726,0.9047395,1.3766795,-2.3841858e-07,-4.0053377,-2.573868,-0.322681,-1.1732613,-3.1198344
15,131,34,193,44,178,40,0,2,14,26.18,38.0,new,base_features_2h15,DP,2,2,832.5209171772003,800000,1e-05,20,0.1,11,False,-129.05263,15,-0.15171175,-0.6624292,-0.23511976,0.6243317,0.7132958,-4.7683716e-07,-4.592958,-3.5145984,-0.19346637,-1.5917094,-4.23287
16,64,25,92,29,172,8,1,2,4,17.62,24.0,new,base_features_2h16,DP,2,2,886.6105489730835,850000,1e-05,20,0.1,11,False,-90.068665,16,1.1235936,0.046689868,-0.0071491897,1.446664,1.4148867,0.0,-2.5910869,-1.6333281,-0.2865321,-0.097753465,-1.9331036
17,111,43,164,64,180,38,0,1,10,23.62,43.0,new,base_features_2h17,DP,2,2,940.6081345081329,900000,1e-05,20,0.1,11,False,-94.36275,17,-0.3251742,-0.7296475,-0.12351024,0.28767985,0.86686933,-2.3841858e-07,-3.7607107,-2.3819423,-0.8155819,-2.4132373,-3.2344885
18,134,52,191,80,189,30,1,1,6,26.18,41.0,new,base_features_2h18,DP,2,2,994.9458954334259,950000,1e-05,20,0.1,11,False,-93.98296,18,0.58551013,0.1696049,-0.9568398,0.4858026,1.0904565,-4.7683716e-07,-3.5792315,-2.4866598,-0.52347624,-2.3877764,-2.843527
19,167,55,260,89,251,42,2,1,6,8.56,66.0,new,base_features_2h19,DP,2,2,1050.1457266807556,1000000,1e-05,20,0.1,11,False,-103.43311,19,0.46851996,0.06488013,-0.3974154,0.47163486,1.1743679,-4.7683716e-07,-3.6233275,-2.0012875,-0.18474722,-1.0203812,-2.722277
20,175,31,255,38,200,54,0,2,10,12.49,63.0,new,base_features_2h20,DP,2,2,1104.6786668300629,1050000,1e-05,20,0.1,11,False,-74.72595,20,0.41317904,-0.6275953,-0.06876534,0.8483756,1.3116668,-4.7683716e-07,-3.3703814,-1.8323158,0.07192844,-0.4894476,-2.0242512
21,60,36,88,52,139,10,0,1,6,17.62,17.0,new,base_features_2h21,DP,2,2,1159.388661146164,1100000,1e-05,20,0.1,11,False,-85.52292,21,0.6502886,-0.45184338,-0.30228633,0.69318366,1.2274266,-4.7683716e-07,-2.9252195,-1.7170978,0.013225377,-1.4204665,-2.346465
22,65,44,96,65,138,7,2,1,4,17.62,17.0,new,base_features_2h22,DP,2,2,1214.3865685462952,1150000,1e-05,20,0.1,11,False,-84.02377,22,0.7351285,-0.61053765,-0.2427952,0.80732757,1.2617257,-2.3841858e-07,-2.8569047,-1.8278332,-0.23027425,-1.4976087,-2.2893498
23,172,50,278,74,198,47,0,1,17,13.53,54.0,new,base_features_2h23,DP,2,2,1270.0515854358673,1200000,1e-05,20,0.1,11,False,-87.061775,23,0.24482207,-0.58720815,-0.46003273,0.2903107,0.8424219,-4.7683716e-07,-3.486641,-2.3245053,-0.26739293,-2.2055469,-2.7133226
24,129,59,196,88,212,40,2,1,7,26.66,48.0,new,base_features_2h24,DP,2,2,1327.7939195632935,1250000,1e-05,20,0.1,11,False,-118.744514,24,0.528481,-0.2222166,-0.1505009,-0.17985177,0.53289056,-4.7683716e-07,-4.923119,-3.74036,-1.0357436,-1.797498,-4.560448
