,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,4,0,3,0,20,0,0,0,1,14.66,old,r,DP,1,1
1,5,0,4,0,21,0,0,0,1,14.66,old,r,DP,1,2
2,6,0,5,0,22,0,0,0,1,14.66,old,r,DP,1,3
3,7,0,6,0,21,0,0,0,1,14.66,old,r,DP,1,4
4,8,0,7,0,23,0,0,0,1,14.66,old,r,DP,1,5
5,25,23,29,27,40,4,0,1,1,17.14,old,r,DP,2,1
6,28,25,32,29,43,4,0,1,1,17.62,old,r,DP,2,2
7,31,27,35,31,42,4,0,1,1,17.62,old,r,DP,2,3
8,34,29,38,33,43,4,0,1,1,17.62,old,r,DP,2,4
9,37,31,41,35,44,4,0,1,1,17.7,old,r,DP,2,5
10,41,34,49,42,59,4,0,5,0,19.14,old,r,DP,3,1
11,62,47,81,65,74,12,1,2,2,21.14,old,r,DP,3,2
12,68,50,87,68,79,12,1,2,2,21.62,old,r,DP,3,3
13,74,53,93,71,78,12,1,2,2,22.18,old,r,DP,3,4
14,80,56,99,74,83,12,1,2,2,22.66,old,r,DP,3,5
15,76,49,97,69,92,4,0,9,0,22.67,old,r,DP,4,1
16,115,73,161,113,124,20,3,7,2,29.62,old,r,DP,4,2
17,129,77,175,117,183,20,3,4,3,15.15,old,r,DP,4,3
18,152,81,202,121,142,20,3,2,4,15.22,old,r,DP,4,4
19,206,115,319,205,204,56,26,2,4,41.93,old,r,DP,4,5
20,108,72,160,124,130,4,0,18,0,28.18,old,r,DP,5,1
21,205,97,302,169,205,28,6,17,3,27.93,old,r,DP,5,2
22,238,112,346,194,248,36,7,10,4,34.98,old,r,DP,5,3
23,302,117,419,199,307,36,7,1,7,51.02,old,r,DP,5,4
24,435,182,709,364,571,110,76,1,7,35.14,old,r,DP,5,5
