,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,4,0,3,0,17,0,0,0,1,0.0,new,r,DP,1,1
1,5,0,4,0,17,0,0,0,1,0.0,new,r,DP,1,2
2,6,0,5,0,18,0,0,0,1,0.0,new,r,DP,1,3
3,7,0,6,0,18,0,0,0,1,0.0,new,r,DP,1,4
4,8,0,7,0,22,0,0,0,1,0.0,new,r,DP,1,5
5,25,23,29,27,53,4,0,1,1,16.18,new,r,DP,2,1
6,28,25,32,29,57,4,0,1,1,16.67,new,r,DP,2,2
7,31,27,35,31,56,4,0,1,1,16.66,new,r,DP,2,3
8,34,29,38,33,47,4,0,1,1,16.66,new,r,DP,2,4
9,37,31,41,35,63,4,0,1,1,17.15,new,r,DP,2,5
10,41,34,49,42,87,4,0,5,0,18.18,new,r,DP,3,1
11,62,47,81,65,81,12,1,2,2,20.18,new,r,DP,3,2
12,68,50,87,68,162,12,1,2,2,20.66,new,r,DP,3,3
13,74,53,93,71,90,12,1,2,2,21.14,new,r,DP,3,4
14,80,56,99,74,91,12,1,2,2,21.7,new,r,DP,3,5
15,76,49,97,69,98,4,0,9,0,21.62,new,r,DP,4,1
16,115,73,161,113,140,20,3,8,2,28.66,new,r,DP,4,2
17,129,77,175,117,159,20,3,4,3,8.79,new,r,DP,4,3
18,152,81,202,121,222,20,3,2,4,11.81,new,r,DP,4,4
19,206,115,319,205,288,56,26,2,4,35.83,new,r,DP,4,5
20,108,72,160,124,154,4,0,22,0,27.14,new,r,DP,5,1
21,205,97,302,169,321,28,6,16,3,24.86,new,r,DP,5,2
22,238,112,346,194,283,36,7,8,4,36.88,new,r,DP,5,3
23,302,117,419,199,338,36,7,1,7,49.9,new,r,DP,5,4
24,435,182,709,364,657,110,76,1,7,32.89,new,r,DP,5,5
