,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,4,0,3,0,59,0,0,0,1,0.0,6.0,false,OpenSet RA,r,DP,1,1
1,5,0,4,0,16,0,0,0,1,0.0,2.0,false,OpenSet RA,r,DP,1,2
2,6,0,5,0,14,0,0,0,1,0.0,3.0,false,OpenSet RA,r,DP,1,3
3,7,0,6,0,15,0,0,0,1,0.0,3.0,false,OpenSet RA,r,DP,1,4
4,8,0,7,0,14,0,0,0,1,0.0,4.0,false,OpenSet RA,r,DP,1,5
5,9,0,8,0,21,0,0,0,1,0.0,3.0,false,OpenSet RA,r,DP,1,6
6,10,0,9,0,16,0,0,0,1,0.0,5.0,false,OpenSet RA,r,DP,1,7
7,11,0,10,0,21,0,0,0,1,0.0,7.0,false,OpenSet RA,r,DP,1,8
8,12,0,11,0,23,0,0,0,1,0.0,6.0,false,OpenSet RA,r,DP,1,9
9,13,0,12,0,19,0,0,0,1,0.0,5.0,false,OpenSet RA,r,DP,1,10
10,14,0,13,0,18,0,0,0,1,0.0,6.0,false,OpenSet RA,r,DP,1,11
11,15,0,14,0,19,0,0,0,1,0.0,5.0,false,OpenSet RA,r,DP,1,12
12,16,0,15,0,20,0,0,0,1,0.0,6.0,false,OpenSet RA,r,DP,1,13
13,17,0,16,0,26,0,0,0,1,0.0,5.0,false,OpenSet RA,r,DP,1,14
14,18,0,17,0,20,0,0,0,1,0.0,4.0,false,OpenSet RA,r,DP,1,15
15,25,23,29,27,32,4,0,1,1,16.18,15.0,false,OpenSet RA,r,DP,2,1
16,28,25,32,29,35,4,0,1,1,16.18,16.0,false,OpenSet RA,r,DP,2,2
17,31,27,35,31,37,4,0,1,1,16.66,18.0,false,OpenSet RA,r,DP,2,3
18,34,29,38,33,38,4,0,1,1,16.66,15.0,false,OpenSet RA,r,DP,2,4
19,37,31,41,35,51,4,0,1,1,16.66,27.0,false,OpenSet RA,r,DP,2,5
20,40,33,44,37,39,4,0,1,1,16.66,19.0,false,OpenSet RA,r,DP,2,6
21,43,35,47,39,59,4,0,1,1,17.14,29.0,false,OpenSet RA,r,DP,2,7
22,46,37,50,41,41,4,0,1,1,17.14,20.0,false,OpenSet RA,r,DP,2,8
23,49,39,53,43,41,4,0,1,1,17.14,20.0,false,OpenSet RA,r,DP,2,9
24,52,41,56,45,43,4,0,1,1,17.62,20.0,false,OpenSet RA,r,DP,2,10
25,55,43,59,47,46,4,0,1,1,17.62,22.0,false,OpenSet RA,r,DP,2,11
26,58,45,62,49,46,4,0,1,1,17.62,23.0,false,OpenSet RA,r,DP,2,12
27,61,47,65,51,70,4,0,1,1,17.7,38.0,false,OpenSet RA,r,DP,2,13
28,64,49,68,53,48,4,0,1,1,18.18,30.0,false,OpenSet RA,r,DP,2,14
29,67,51,71,55,74,4,0,1,1,18.18,42.0,false,OpenSet RA,r,DP,2,15
30,41,34,49,42,72,4,0,5,0,17.62,38.0,false,OpenSet RA,r,DP,3,1
31,62,47,81,65,89,12,1,2,2,19.62,51.0,false,OpenSet RA,r,DP,3,2
32,68,50,87,68,105,12,1,2,2,19.7,70.0,false,OpenSet RA,r,DP,3,3
33,74,53,93,71,74,12,1,2,2,20.18,43.0,false,OpenSet RA,r,DP,3,4
34,80,56,99,74,76,12,1,2,2,20.66,46.0,false,OpenSet RA,r,DP,3,5
35,86,59,105,77,77,12,1,2,2,21.14,45.0,false,OpenSet RA,r,DP,3,6
36,92,62,111,80,87,12,1,2,2,21.62,59.0,false,OpenSet RA,r,DP,3,7
37,98,65,117,83,82,12,1,2,2,22.18,51.0,false,OpenSet RA,r,DP,3,8
38,104,68,123,86,88,12,1,2,2,22.66,55.0,false,OpenSet RA,r,DP,3,9
39,110,71,129,89,90,12,1,2,2,23.14,56.0,false,OpenSet RA,r,DP,3,10
40,116,74,135,92,92,12,1,2,2,23.62,59.0,false,OpenSet RA,r,DP,3,11
41,122,77,141,95,95,12,1,2,2,24.18,63.0,false,OpenSet RA,r,DP,3,12
42,128,80,147,98,103,12,1,2,2,24.66,67.0,false,OpenSet RA,r,DP,3,13
43,134,83,153,101,100,12,1,2,2,25.14,65.0,false,OpenSet RA,r,DP,3,14
44,140,86,159,104,100,12,1,2,2,25.62,63.0,false,OpenSet RA,r,DP,3,15
45,76,49,97,69,85,4,0,9,0,21.14,59.0,false,OpenSet RA,r,DP,4,1
46,115,73,161,113,112,20,3,9,2,26.66,68.0,false,OpenSet RA,r,DP,4,2
47,129,77,175,117,118,20,3,4,3,28.18,78.0,false,OpenSet RA,r,DP,4,3
48,152,81,202,121,152,20,3,2,4,8.87,101.0,false,OpenSet RA,r,DP,4,4
49,206,115,319,205,193,56,26,2,4,31.05,98.0,false,OpenSet RA,r,DP,4,5
50,221,119,336,209,206,56,28,2,4,34.12,100.0,false,OpenSet RA,r,DP,4,6
51,236,123,353,213,243,56,30,2,4,38.97,130.0,false,OpenSet RA,r,DP,4,7
52,251,127,370,217,289,56,32,2,4,42.06,162.0,false,OpenSet RA,r,DP,4,8
53,266,131,387,221,241,56,34,2,4,48.05,122.0,false,OpenSet RA,r,DP,4,9
54,281,135,404,225,248,56,36,2,4,51.1,125.0,false,OpenSet RA,r,DP,4,10
55,296,139,421,229,355,56,38,2,4,57.15,168.0,false,OpenSet RA,r,DP,4,11
56,311,143,438,233,285,56,40,2,4,61.26,133.0,false,OpenSet RA,r,DP,4,12
57,326,147,455,237,295,56,42,2,4,67.25,148.0,false,OpenSet RA,r,DP,4,13
58,341,151,472,241,312,56,44,2,4,71.32,159.0,false,OpenSet RA,r,DP,4,14
59,356,155,489,245,316,56,46,2,4,76.38,134.0,false,OpenSet RA,r,DP,4,15
60,108,72,160,124,138,4,0,19,0,26.18,101.0,false,OpenSet RA,r,DP,5,1
61,205,97,302,169,217,28,6,16,3,19.93,155.0,false,OpenSet RA,r,DP,5,2
62,238,112,346,194,264,36,7,10,4,28.95,186.0,false,OpenSet RA,r,DP,5,3
63,302,117,419,199,260,36,7,1,7,35.98,181.0,false,OpenSet RA,r,DP,5,4
64,435,182,709,364,502,110,76,1,7,140.03,233.0,false,OpenSet RA,r,DP,5,5
