,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,1.0,3,4,1,1,DP,11,139.0759961605072,262000,1e-05,20,0.1
1,0.0,4,5,1,2,DP,11,139.0759961605072,262000,1e-05,20,0.1
2,0.0,5,6,1,3,DP,11,139.0759961605072,262000,1e-05,20,0.1
3,1.0,6,7,1,4,DP,11,139.0759961605072,262000,1e-05,20,0.1
4,1.0,7,8,1,5,DP,11,139.0759961605072,262000,1e-05,20,0.1
5,7.0,69,47,2,1,DP,11,139.0759961605072,262000,1e-05,20,0.1
6,5.0,72,50,2,2,DP,11,139.0759961605072,262000,1e-05,20,0.1
7,5.0,77,55,2,3,DP,11,139.0759961605072,262000,1e-05,20,0.1
8,5.0,90,64,2,4,DP,11,139.0759961605072,262000,1e-05,20,0.1
9,6.0,103,73,2,5,DP,11,139.0759961605072,262000,1e-05,20,0.1
10,76.0,241,133,3,1,DP,11,139.0759961605072,262000,1e-05,20,0.1
11,123.0,270,144,3,2,DP,11,139.0759961605072,262000,1e-05,20,0.1
12,95.0,336,176,3,3,DP,11,139.0759961605072,262000,1e-05,20,0.1
13,113.0,393,216,3,4,DP,11,139.0759961605072,262000,1e-05,20,0.1
14,210.0,398,212,3,5,DP,11,139.0759961605072,262000,1e-05,20,0.1
15,3985.0,2608,994,4,1,DP,11,139.0759961605072,262000,1e-05,20,0.1
16,1210.0,1260,573,4,2,DP,11,139.0759961605072,262000,1e-05,20,0.1
17,1743.0,1451,641,4,3,DP,11,139.0759961605072,262000,1e-05,20,0.1
18,2614.0,1473,618,4,4,DP,11,139.0759961605072,262000,1e-05,20,0.1
19,3953.0,1485,614,4,5,DP,11,139.0759961605072,262000,1e-05,20,0.1
20,42525.0,5349,2080,5,1,DP,11,139.0759961605072,262000,1e-05,20,0.1
21,62655.0,4727,1967,5,2,DP,11,139.0759961605072,262000,1e-05,20,0.1
22,85066.0,4344,1534,5,3,DP,11,139.0759961605072,262000,1e-05,20,0.1
23,189693.0,5241,1829,5,4,DP,11,139.0759961605072,262000,1e-05,20,0.1
24,79441.0,6279,2205,5,5,DP,11,139.0759961605072,262000,1e-05,20,0.1
