,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,2.0,3.0,4.0,1,1,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
1,1.0,4.0,5.0,1,2,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
2,1.0,5.0,6.0,1,3,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
3,0.0,6.0,7.0,1,4,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
4,1.0,7.0,8.0,1,5,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
5,0.0,8.0,9.0,1,6,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
6,0.0,9.0,10.0,1,7,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
7,1.0,10.0,11.0,1,8,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
8,1.0,11.0,12.0,1,9,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
9,1.0,12.0,13.0,1,10,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
10,0.0,13.0,14.0,1,11,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
11,1.0,14.0,15.0,1,12,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
12,1.0,15.0,16.0,1,13,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
13,0.0,16.0,17.0,1,14,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
14,1.0,17.0,18.0,1,15,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
15,5.0,69.0,47.0,2,1,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
16,5.0,72.0,50.0,2,2,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
17,5.0,77.0,55.0,2,3,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
18,6.0,90.0,64.0,2,4,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
19,8.0,103.0,73.0,2,5,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
20,9.0,116.0,82.0,2,6,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
21,11.0,129.0,91.0,2,7,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
22,13.0,142.0,100.0,2,8,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
23,84.0,155.0,109.0,2,9,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
24,17.0,168.0,118.0,2,10,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
25,16.0,181.0,127.0,2,11,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
26,19.0,194.0,136.0,2,12,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
27,20.0,207.0,145.0,2,13,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
28,44.0,220.0,154.0,2,14,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
