,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,8,7,9,8,29,2,0,1,1,15.15,new,r,TL,1,1
1,10,7,11,8,24,2,0,1,0,15.15,new,r,TL,1,2
2,10,7,11,8,22,2,0,1,0,15.17,new,r,TL,1,3
3,7,7,8,8,26,2,0,1,0,15.18,new,r,TL,1,4
4,7,7,8,8,25,2,0,1,0,15.18,new,r,TL,1,5
5,15,9,17,10,34,2,0,1,3,15.66,new,r,TL,2,1
6,9,9,10,10,35,2,0,1,0,15.66,new,r,TL,2,2
7,9,9,10,10,26,2,0,1,0,15.7,new,r,TL,2,3
8,13,13,16,16,41,4,0,1,0,15.62,new,r,TL,2,4
9,9,9,10,10,37,2,0,1,0,15.64,new,r,TL,2,5
10,17,11,19,12,39,2,0,1,3,15.67,new,r,TL,3,1
11,11,11,12,12,44,2,0,1,0,15.62,new,r,TL,3,2
12,11,11,12,12,35,2,0,1,0,15.7,new,r,TL,3,3
13,11,11,12,12,38,2,0,1,0,16.18,new,r,TL,3,4
14,11,11,12,12,43,2,0,1,0,16.18,new,r,TL,3,5
15,35,13,40,14,75,2,0,1,10,17.14,new,r,TL,4,1
16,13,13,14,14,44,2,0,1,0,16.18,new,r,TL,4,2
17,13,13,14,14,46,2,0,1,0,16.66,new,r,TL,4,3
18,13,13,14,14,48,2,0,1,0,16.66,new,r,TL,4,4
19,13,13,14,14,46,2,0,1,0,17.14,new,r,TL,4,5
20,37,15,42,16,83,2,0,1,10,18.18,new,r,TL,5,1
21,15,15,16,16,76,2,0,1,0,17.14,new,r,TL,5,2
22,15,15,16,16,62,2,0,1,0,17.14,new,r,TL,5,3
23,15,15,16,16,83,2,0,1,0,17.62,new,r,TL,5,4
24,15,15,16,16,73,2,0,1,0,17.62,new,r,TL,5,5
