,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,21.0,2.0,0.0,1.0,0.0,16.18,old,r,BW,1,1
1,5.0,5.0,6.0,6.0,22.0,2.0,0.0,1.0,0.0,16.18,old,r,BW,1,2
2,5.0,5.0,6.0,6.0,27.0,2.0,0.0,1.0,0.0,16.18,old,r,BW,1,3
3,5.0,5.0,6.0,6.0,24.0,2.0,0.0,1.0,0.0,16.18,old,r,BW,1,4
4,5.0,5.0,6.0,6.0,25.0,2.0,0.0,1.0,0.0,16.18,old,r,BW,1,5
5,13.0,11.0,17.0,14.0,32.0,4.0,0.0,1.0,0.0,16.66,old,r,BW,2,1
6,34.0,23.0,66.0,40.0,43.0,19.0,0.0,1.0,0.0,17.62,old,r,BW,2,2
7,46.0,23.0,90.0,36.0,50.0,32.0,0.0,1.0,0.0,19.14,old,r,BW,2,3
8,84.0,54.0,187.0,113.0,79.0,87.0,0.0,1.0,0.0,25.62,old,r,BW,2,4
9,128.0,30.0,307.0,47.0,124.0,161.0,0.0,1.0,0.0,18.72,old,r,BW,2,5
10,48.0,26.0,78.0,39.0,60.0,26.0,0.0,1.0,0.0,19.14,old,r,BW,3,1
11,192.0,46.0,466.0,77.0,153.0,171.0,0.0,1.0,0.0,33.72,old,r,BW,3,2
12,489.0,98.0,1416.0,207.0,832.0,802.0,0.0,1.0,0.0,62.22,old,r,BW,3,3
13,954.0,427.0,3115.0,1346.0,2761.0,1928.0,0.0,1.0,0.0,192.01,old,r,BW,3,4
14,1703.0,1345.0,5985.0,4635.0,10115.0,3917.0,0.0,1.0,0.0,203.6,old,r,BW,3,5
15,186.0,74.0,386.0,139.0,232.0,170.0,0.0,1.0,0.0,39.66,old,r,BW,4,1
16,1175.0,381.0,3974.0,1058.0,3884.0,2332.0,0.0,1.0,0.0,249.96,old,r,BW,4,2
17,3934.0,735.0,15586.0,2206.0,72579.0,10370.0,0.0,1.0,0.0,331.28,old,r,BW,4,3
18,9016.0,5432.0,38011.0,22647.0,592239.0,26914.0,0.0,1.0,0.0,359.0,old,r,BW,4,4
19,,,,,,,,,,,old,r,BW,4,5
20,720.0,218.0,1829.0,517.0,1610.0,932.0,0.0,1.0,0.0,164.96,old,r,BW,5,1
21,6921.0,3407.0,28517.0,13695.0,332762.0,18886.0,0.0,1.0,0.0,350.92,old,r,BW,5,2
22,,,,,,,,,,,old,r,BW,5,3
23,,,,,,,,,,,old,r,BW,5,4
24,,,,,,,,,,,old,r,BW,5,5
