,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,1.0,8.0,7.0,1,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
1,1.0,8.0,7.0,1,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
2,1.0,8.0,7.0,1,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
3,1.0,8.0,7.0,1,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
4,1.0,8.0,7.0,1,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
5,1.0,8.0,7.0,1,6,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
6,1.0,8.0,7.0,1,7,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
7,1.0,8.0,7.0,1,8,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
8,2.0,8.0,7.0,1,9,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
9,2.0,8.0,7.0,1,10,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
10,1.0,8.0,7.0,1,11,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
11,1.0,8.0,7.0,1,12,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
12,1.0,8.0,7.0,1,13,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
13,1.0,8.0,7.0,1,14,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
14,1.0,8.0,7.0,1,15,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
15,2.0,26.0,23.0,2,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
16,5.0,38.0,30.0,2,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
17,5.0,52.0,38.0,2,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
18,8.0,83.0,52.0,2,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
19,11.0,122.0,69.0,2,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
20,17.0,154.0,83.0,2,6,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
21,52.0,175.0,93.0,2,7,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
22,25.0,187.0,100.0,2,8,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
23,33.0,238.0,122.0,2,9,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
24,749.0,1378.0,491.0,2,10,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
25,111.0,442.0,198.0,2,11,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
26,191.0,496.0,220.0,2,12,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
27,149.0,549.0,241.0,2,13,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
28,185.0,602.0,262.0,2,14,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
29,234.0,646.0,280.0,2,15,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
30,8.0,94.0,76.0,3,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
31,20.0,177.0,121.0,3,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
32,52.0,327.0,201.0,3,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
33,,,,3,4,BW,,105.56574487686157,192000,1e-05,20,0.1
34,425.0,1076.0,504.0,3,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
35,532.0,1237.0,595.0,3,6,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
36,850.0,1598.0,753.0,3,7,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
37,,,,3,8,BW,,105.56574487686157,192000,1e-05,20,0.1
38,,,,3,9,BW,,105.56574487686157,192000,1e-05,20,0.1
39,,,,3,10,BW,,105.56574487686157,192000,1e-05,20,0.1
40,,,,3,11,BW,,105.56574487686157,192000,1e-05,20,0.1
41,,,,3,12,BW,,105.56574487686157,192000,1e-05,20,0.1
42,,,,3,13,BW,,105.56574487686157,192000,1e-05,20,0.1
43,,,,3,14,BW,,105.56574487686157,192000,1e-05,20,0.1
44,,,,3,15,BW,,105.56574487686157,192000,1e-05,20,0.1
45,85.0,398.0,283.0,4,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
46,,,,4,2,BW,,105.56574487686157,192000,1e-05,20,0.1
47,,,,4,3,BW,,105.56574487686157,192000,1e-05,20,0.1
48,,,,4,5,BW,,105.56574487686157,192000,1e-05,20,0.1
49,,,,4,6,BW,,105.56574487686157,192000,1e-05,20,0.1
50,,,,4,7,BW,,105.56574487686157,192000,1e-05,20,0.1
51,,,,5,1,BW,,105.56574487686157,192000,1e-05,20,0.1
52,,,,6,1,BW,,105.56574487686157,192000,1e-05,20,0.1
53,,,,7,1,BW,,105.56574487686157,192000,1e-05,20,0.1
54,,,,8,1,BW,,105.56574487686157,192000,1e-05,20,0.1
55,,,,9,1,BW,,105.56574487686157,192000,1e-05,20,0.1
56,,,,10,1,BW,,105.56574487686157,192000,1e-05,20,0.1
57,,,,11,1,BW,,105.56574487686157,192000,1e-05,20,0.1
58,,,,12,1,BW,,105.56574487686157,192000,1e-05,20,0.1
59,,,,13,1,BW,,105.56574487686157,192000,1e-05,20,0.1
60,,,,14,1,BW,,105.56574487686157,192000,1e-05,20,0.1
61,,,,15,1,BW,,105.56574487686157,192000,1e-05,20,0.1
