,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,50,23,85,40,142,21,0,1,33,17.63,20.0,new,base_features_2h0,BW,2,2,49.54741644859314,50000,1e-05,20,0.1,11,False,-43.556618,0,0.5374637,-1.6586909,-1.7566465,-0.41000378,0.7828289,-1.9073486e-06,-4.456723,-2.411258,-1.2722671,-1.242153,-3.978386
1,35,15,44,20,124,9,0,1,17,16.18,14.0,new,base_features_2h1,BW,2,2,99.16013240814209,100000,1e-05,20,0.1,11,False,-46.51417,1,0.5194637,-1.5614121,-1.1286502,-0.6024813,1.1709783,-1.4305115e-06,-3.9994116,-0.7213409,0.13389206,-1.5473962,-2.088395
2,26,18,47,29,146,12,0,1,3,16.66,15.0,new,base_features_2h2,BW,2,2,148.6388556957245,150000,1e-05,20,0.1,11,False,-34.01668,2,-0.30768886,-1.8700773,-1.0911837,-0.6086812,1.7668915,8.940697e-08,-1.4547446,0.5853932,0.7890138,-0.8348103,-0.15223497
3,31,15,46,20,143,11,0,1,18,16.18,11.0,new,base_features_2h3,BW,2,2,197.8803210258484,200000,1e-05,20,0.1,11,False,-37.61116,3,-0.47347844,-2.1208346,-0.68927467,-0.19970149,1.260375,-2.3841858e-07,-1.9947386,0.105317116,0.000119924545,-0.6482852,-1.355683
4,31,15,41,20,133,10,0,1,14,16.18,17.0,new,base_features_2h4,BW,2,2,247.45761060714722,250000,1e-05,20,0.1,11,False,-33.47232,4,-0.40279457,-1.5642619,-0.69675195,-0.67139834,1.390419,-3.2782555e-07,-1.3968909,0.6097013,0.1766696,-0.62587273,-0.55749035
5,31,15,46,20,143,11,0,1,18,16.18,10.0,new,base_features_2h5,BW,2,2,296.47292375564575,300000,1e-05,20,0.1,11,False,-35.821915,5,-0.30552152,-1.4626611,-0.64545655,-0.5513462,0.9572309,-4.7683716e-07,-1.7009776,0.40567183,-0.008927345,-0.31013128,-1.287256
6,28,15,36,20,139,4,0,1,16,15.7,14.0,new,base_features_2h6,BW,2,2,345.9446635246277,350000,1e-05,20,0.1,11,False,-36.52627,6,-0.19231631,-1.4556859,-0.52716553,-0.69697666,0.95297104,-3.5762787e-07,-1.7765031,0.4055097,-0.051320434,-0.38940078,-1.2099727
7,38,18,57,29,153,14,0,1,19,16.66,15.0,new,base_features_2h7,BW,2,2,394.9098525047302,400000,1e-05,20,0.1,11,False,-35.538162,7,-0.25463971,-1.2000918,-0.49743292,-0.9297827,0.86268723,-3.5762787e-07,-1.8823646,0.3094473,0.024384439,-0.32602146,-1.378323
8,35,18,50,29,126,12,0,1,17,16.18,12.0,new,base_features_2h8,BW,2,2,443.8929588794708,450000,1e-05,20,0.1,11,False,-37.05453,8,-0.20726405,-1.3644028,-0.46915016,-0.484817,0.8543031,-7.1525574e-07,-2.2624726,-0.05354607,-0.016738594,-0.4544286,-1.6248382
9,37,18,56,29,157,13,0,1,21,16.18,14.0,new,base_features_2h9,BW,2,2,493.5714542865753,500000,1e-05,20,0.1,11,False,-37.496777,9,-0.16994701,-1.189259,-0.55612653,-0.37068164,0.9398242,-7.1525574e-07,-2.1710474,-0.07069385,-0.008448005,-0.44117972,-1.654874
10,37,18,57,29,147,13,0,1,19,16.66,13.0,new,base_features_2h10,BW,2,2,542.9646906852722,550000,1e-05,20,0.1,11,False,-38.186058,10,-0.06647357,-0.85528314,-0.51355535,-0.28480795,0.5351927,-7.1525574e-07,-2.3484511,0.024501085,0.04535246,-0.68399984,-1.7378834
11,47,18,69,29,141,16,0,1,23,17.14,19.0,new,base_features_2h11,BW,2,2,592.4299194812775,600000,1e-05,20,0.1,11,False,-42.02798,11,0.05417467,-0.7859292,-0.46244276,-0.16697185,0.54057336,-9.536743e-07,-2.7446954,-0.31547105,0.03083238,-0.5239551,-2.1232467
12,33,19,47,30,146,9,0,1,11,16.18,16.0,new,base_features_2h12,BW,2,2,641.8933796882629,650000,1e-05,20,0.1,11,False,-40.83342,12,0.053987123,-1.8808591,-0.25305516,-0.076049656,0.15923381,-9.536743e-07,-3.2155814,-0.88687015,0.087240756,-0.75992495,-2.406196
13,31,18,51,29,128,13,0,1,6,16.66,13.0,new,base_features_2h13,BW,2,2,691.3418259620667,700000,1e-05,20,0.1,11,False,-33.20409,13,0.123056315,-2.3818822,-0.76790744,-0.21869937,0.47649127,-4.7683716e-07,-2.3208964,-0.21021962,0.18691862,-1.9037572,-0.92080396
14,31,15,39,20,129,7,0,1,13,16.18,12.0,new,base_features_2h14,BW,2,2,740.9784190654755,750000,1e-05,20,0.1,11,False,-39.079834,14,0.10337766,-1.6776927,-0.23895203,-0.019284278,0.39379215,-1.1920929e-06,-3.2930424,-0.7161006,0.05228007,-1.0592489,-2.4416444
15,28,19,43,30,146,13,0,1,5,16.18,9.0,new,base_features_2h15,BW,2,2,790.4213185310364,800000,1e-05,20,0.1,11,False,-33.29045,15,0.14718978,-2.1470032,-0.6085712,-0.22009599,0.49738437,-9.536743e-07,-3.1020312,-0.73797774,0.21138847,-1.8276856,-1.6562426
16,26,15,37,20,130,6,0,1,8,16.18,14.0,new,base_features_2h16,BW,2,2,839.656005859375,850000,1e-05,20,0.1,11,False,-33.907295,16,0.27152365,-2.2111986,-0.5489254,-0.23587774,0.31943816,-9.536743e-07,-2.9685867,-0.8226924,0.078145504,-1.2836319,-1.8691622
17,27,19,41,30,150,13,0,1,5,16.18,15.0,new,base_features_2h17,BW,2,2,889.2117781639099,900000,1e-05,20,0.1,11,False,-37.37115,17,0.25915658,-1.7745531,-0.5184408,-0.051654607,0.3872295,-1.1920929e-06,-3.3816857,-1.03493,0.03636402,-1.1792461,-2.3672616
18,32,15,40,20,126,6,0,1,12,16.18,17.0,new,base_features_2h18,BW,2,2,939.1394152641296,950000,1e-05,20,0.1,11,False,-37.027657,18,0.18838206,-1.7740611,-0.5158156,-0.13867596,0.22726637,-9.536743e-07,-3.5750284,-1.1659884,0.08346385,-1.6484982,-2.220263
19,27,19,41,30,124,12,0,1,5,16.18,12.0,new,base_features_2h19,BW,2,2,988.9683430194855,1000000,1e-05,20,0.1,11,False,-32.796257,19,0.18208231,-1.7472894,-0.5185032,-0.31588995,0.40938377,-1.1920929e-06,-3.5520723,-1.2031046,0.12103319,-1.6712446,-2.1532056
20,29,15,41,20,127,11,0,2,8,16.18,20.0,new,base_features_2h20,BW,2,2,1038.5005309581757,1050000,1e-05,20,0.1,11,False,-33.40659,20,0.34609297,-1.6806512,-0.68994546,-0.21963392,0.3341632,-1.66893e-06,-4.1126046,-1.671518,0.10757977,-2.0415778,-2.3449762
21,29,15,51,20,129,16,0,1,6,16.66,16.0,new,base_features_2h21,BW,2,2,1087.7603821754456,1100000,1e-05,20,0.1,11,False,-35.158524,21,0.12662113,-1.8237274,-0.55051553,-0.3393904,0.3353783,-1.4305115e-06,-4.0270963,-1.6039283,0.16095442,-1.8173151,-2.7241542
22,29,15,43,20,166,12,0,2,8,16.18,18.0,new,base_features_2h22,BW,2,2,1137.019633769989,1150000,1e-05,20,0.1,11,False,-34.424362,22,0.19307849,-2.1063473,-0.519165,-0.29966238,0.4568454,-1.4305115e-06,-4.198,-1.8814685,0.1488297,-1.9381646,-2.7909482
23,30,15,42,20,153,11,0,2,9,16.18,20.0,new,base_features_2h23,BW,2,2,1186.5453312397003,1200000,1e-05,20,0.1,11,False,-33.070477,23,0.28950688,-2.191483,-0.63900703,-0.2581603,0.49193084,-1.66893e-06,-4.1410775,-1.8778104,0.14412856,-2.0164194,-2.6492898
24,34,15,45,20,159,8,0,2,14,16.18,14.0,new,base_features_2h24,BW,2,2,1236.4705505371094,1250000,1e-05,20,0.1,11,False,-35.55743,24,0.38886985,-1.7116926,-0.7127124,-0.07927972,0.26703382,-1.4305115e-06,-3.979464,-1.649007,0.12834603,-1.9797684,-2.491251
25,41,15,64,20,158,21,0,1,13,17.14,18.0,new,base_features_2h25,BW,2,2,1286.0828602313995,1300000,1e-05,20,0.1,11,False,-33.368065,25,0.12666963,-1.7988387,-0.4037601,-0.25912812,0.5685838,-1.66893e-06,-4.3570237,-1.8174112,0.20135623,-2.0832834,-2.7453258
26,30,15,52,20,134,14,0,1,6,16.66,18.0,new,base_features_2h26,BW,2,2,1335.5493159294128,1350000,1e-05,20,0.1,11,False,-34.2294,26,0.052733622,-1.9389188,-0.6419779,-0.43808585,0.34776717,-1.1920929e-06,-3.637406,-1.3792353,0.17991829,-1.9258208,-2.3103333
27,35,15,48,20,135,12,0,2,12,16.66,19.0,new,base_features_2h27,BW,2,2,1384.7237973213196,1400000,1e-05,20,0.1,11,False,-34.42029,27,0.25581357,-1.9343364,-0.458962,-0.5087819,0.43426895,-1.1920929e-06,-3.8648646,-1.6425287,0.19026119,-1.828364,-2.534617
28,42,15,70,20,157,22,0,1,19,17.14,14.0,new,base_features_2h28,BW,2,2,1434.1329910755157,1450000,1e-05,20,0.1,11,False,-37.289783,28,0.17477615,-1.8813767,-0.61191154,-0.39310747,0.510472,-1.4305115e-06,-4.027647,-1.8723341,0.1423682,-2.081102,-2.5888999
29,31,22,61,39,130,15,0,1,7,17.14,14.0,new,base_features_2h29,BW,2,2,1483.9269740581512,1500000,1e-05,20,0.1,11,False,-33.810745,29,0.07085224,-1.847321,-0.61534977,-0.5105434,0.27258867,-1.1920929e-06,-3.6718595,-1.2386973,0.16001457,-2.0441966,-2.3853047
30,37,15,50,20,149,12,0,2,14,16.66,15.0,new,base_features_2h30,BW,2,2,1533.5337054729462,1550000,1e-05,20,0.1,11,False,-34.526634,30,0.28031158,-1.7863379,-0.54829335,-0.56215703,0.6645681,-1.66893e-06,-4.2252817,-2.0127177,0.17814451,-2.5115273,-2.476258
31,31,18,45,29,127,10,0,1,9,16.18,17.0,new,base_features_2h31,BW,2,2,1583.0378744602203,1600000,1e-05,20,0.1,11,False,-33.952366,31,0.13403964,-1.9775791,-0.6213575,-0.1704483,0.32044446,-1.4305115e-06,-3.8941107,-1.5562648,0.062140524,-1.9293592,-2.5071402
32,24,15,38,20,158,9,0,2,7,16.18,15.0,new,base_features_2h32,BW,2,2,1632.6499454975128,1650000,1e-05,20,0.1,11,False,-34.313084,32,0.28050414,-1.6833482,-0.61560136,-0.5417243,0.30655313,-1.1920929e-06,-3.6622963,-1.4512404,0.19177264,-2.0117648,-2.3245015
33,35,15,48,20,140,12,0,2,12,16.66,22.0,new,base_features_2h33,BW,2,2,1682.2615492343903,1700000,1e-05,20,0.1,11,False,-34.80248,33,0.19940457,-1.5683833,-0.44209218,-0.53057015,0.37582856,-1.4305115e-06,-3.8279004,-1.4264346,0.16179419,-1.9157199,-2.5325515
34,34,21,56,34,135,18,0,1,8,16.66,16.0,new,base_features_2h34,BW,2,2,1732.1194972991943,1750000,1e-05,20,0.1,11,False,-35.497807,34,0.13785684,-1.4890039,-0.47970667,-0.33110195,0.44784975,-1.66893e-06,-4.145982,-1.6880064,0.21004534,-1.7436322,-2.8340325
35,38,15,52,20,129,13,0,2,15,16.67,15.0,new,base_features_2h35,BW,2,2,1781.5868864059448,1800000,1e-05,20,0.1,11,False,-34.397427,35,0.28430063,-1.7319697,-0.58159345,-0.5967031,0.44520825,-1.4305115e-06,-4.1811323,-1.8387127,0.20307046,-2.3349714,-2.521165
36,29,18,43,29,136,9,0,1,7,16.18,16.0,new,base_features_2h36,BW,2,2,1830.9623856544495,1850000,1e-05,20,0.1,11,False,-37.16856,36,0.11228585,-1.6774515,-0.5284805,-0.5554437,0.35686475,-1.4305115e-06,-4.0811353,-1.6536975,0.20012349,-2.259155,-2.6007729
37,29,18,43,29,143,7,0,1,7,16.18,14.0,new,base_features_2h37,BW,2,2,1880.691507101059,1900000,1e-05,20,0.1,11,False,-37.55006,37,0.16551535,-1.5256213,-0.5058449,-0.4485908,0.4019507,-1.1920929e-06,-4.063284,-1.626896,0.18783867,-2.3572497,-2.4962015
38,33,15,54,20,147,13,0,1,12,16.66,18.0,new,base_features_2h38,BW,2,2,1930.7876632213593,1950000,1e-05,20,0.1,11,False,-33.686916,38,0.02668929,-1.6483788,-0.48754284,-0.2532406,0.20705783,-1.4305115e-06,-4.0101037,-1.4434311,0.1314472,-1.9206502,-2.7464037
39,33,22,61,39,150,12,0,1,12,16.66,19.0,new,base_features_2h39,BW,2,2,1980.3199994564056,2000000,1e-05,20,0.1,11,False,-33.521126,39,0.12661651,-1.6526746,-0.6175433,-0.32859725,0.1494857,-1.4305115e-06,-3.8673458,-1.4413073,0.10556126,-2.0129387,-2.6056428
40,35,22,60,39,132,11,0,1,9,16.66,19.0,new,base_features_2h40,BW,2,2,2029.6335053443909,2050000,1e-05,20,0.1,11,False,-33.86191,40,0.08824717,-1.5690031,-0.56002057,-0.3635385,0.07203323,-1.4305115e-06,-4.0415106,-1.4681348,0.15346575,-2.2100923,-2.5966697
41,32,18,49,29,128,12,0,1,13,16.18,17.0,new,base_features_2h41,BW,2,2,2079.019382715225,2100000,1e-05,20,0.1,11,False,-36.336636,41,0.11696876,-1.6468829,-0.5824797,-0.13316447,-0.093755096,-1.9073486e-06,-4.592829,-1.8652023,0.13250929,-2.1845336,-3.213052
42,35,22,63,39,135,11,0,1,12,16.66,14.0,new,base_features_2h42,BW,2,2,2129.144163131714,2150000,1e-05,20,0.1,11,False,-35.779903,42,0.12504499,-1.6824776,-0.6446774,-0.46445215,0.20695758,-1.66893e-06,-4.2213216,-1.6483992,0.08848846,-2.5772007,-2.7264745
43,33,15,45,20,157,9,0,2,12,16.18,9.0,new,base_features_2h43,BW,2,2,2178.818936109543,2200000,1e-05,20,0.1,11,False,-32.710815,43,0.27139503,-1.6915228,-0.47038555,-0.13607746,-0.016886532,-1.4305115e-06,-4.4616466,-1.6694596,0.14198565,-2.2033198,-3.041748
44,29,15,42,20,144,10,0,1,9,16.18,12.0,new,base_features_2h44,BW,2,2,2228.4061686992645,2250000,1e-05,20,0.1,11,False,-34.43458,44,0.11153734,-1.7024603,-0.66425276,-0.10977495,-0.021140993,-1.9073486e-06,-4.610856,-1.8474517,0.09132236,-2.121319,-3.2447991
45,37,15,51,20,131,12,0,2,15,16.66,13.0,new,base_features_2h45,BW,2,2,2277.9709219932556,2300000,1e-05,20,0.1,11,False,-34.86698,45,0.1575833,-1.6564759,-0.56835324,-0.065413326,0.05113703,-1.4305115e-06,-4.5689507,-1.8362875,0.12067956,-1.8765168,-3.129581
46,38,15,53,20,159,13,0,2,14,16.66,24.0,new,base_features_2h46,BW,2,2,2327.975010871887,2350000,1e-05,20,0.1,11,False,-31.85495,46,0.1937278,-1.8017424,-0.6427172,-0.19316658,-0.13015452,-1.9073486e-06,-5.0114207,-2.2632275,0.18799484,-2.2239532,-3.3861198
47,35,22,59,39,140,21,0,1,8,16.66,20.0,new,base_features_2h47,BW,2,2,2377.6034564971924,2400000,1e-05,20,0.1,11,False,-34.18382,47,-0.020922994,-1.7235975,-0.56257343,-0.31411308,-0.17694402,-1.4305115e-06,-4.7334538,-1.773115,0.18284392,-2.0054243,-3.3687832
48,36,15,50,20,131,14,0,2,12,16.67,15.0,new,base_features_2h48,BW,2,2,2426.962154865265,2450000,1e-05,20,0.1,11,False,-32.912403,48,0.21102513,-1.5913092,-0.72188187,-0.2420544,-0.1239993,-1.9073486e-06,-5.163232,-2.370914,0.23335916,-2.283844,-3.1837275
49,34,15,47,20,129,12,0,2,11,16.66,14.0,new,base_features_2h49,BW,2,2,2476.2152190208435,2500000,1e-05,20,0.1,11,False,-34.370975,49,0.16038597,-1.5934492,-0.7198913,-0.5757607,0.2665022,-9.536743e-07,-3.8541067,-1.4514544,0.19144148,-2.7346823,-2.1627955
