,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
48,8476.0,2157.0,34891.0,6860.0,230609.0,14326.0,0.0,1.0,0.0,377.15,84.0,new,r,BW,4,4
49,,,,,,,,,,,,new,r,BW,4,5
50,,,,,,,,,,,,new,r,BW,4,6
51,,,,,,,,,,,,new,r,BW,4,7
52,,,,,,,,,,,,new,r,BW,4,8
53,,,,,,,,,,,,new,r,BW,4,9
54,,,,,,,,,,,,new,r,BW,4,10
55,,,,,,,,,,,,new,r,BW,4,11
56,1025.0,224.0,3158.0,440.0,1691.0,1095.0,0.0,1.0,0.0,72.02,6.0,new,r,BW,5,1
57,6904.0,2489.0,26084.0,9726.0,98302.0,10194.0,0.0,1.0,0.0,368.76,57.0,new,r,BW,5,2
58,,,,,,,,,,,,new,r,BW,5,3
59,,,,,,,,,,,,new,r,BW,5,4
60,4059.0,876.0,14038.0,2527.0,31775.0,5361.0,0.0,1.0,0.0,312.34,19.0,new,r,BW,6,1
61,,,,,,,,,,,,new,r,BW,6,2
62,,,,,,,,,,,,new,r,BW,7,1
63,,,,,,,,,,,,new,r,BW,8,1
64,,,,,,,,,,,,new,r,BW,9,1
65,,,,,,,,,,,,new,r,BW,10,1
66,,,,,,,,,,,,new,r,BW,11,1
67,,,,,,,,,,,,new,r,BW,12,1
68,,,,,,,,,,,,new,r,BW,13,1
69,,,,,,,,,,,,new,r,BW,14,1
70,,,,,,,,,,,,new,r,BW,15,1
