,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,transitions/ms,algorithm,heuristic,problem,n,k
0,3,0,2,0,13,0,0,0,0,0.0,2.0,True,0.15384615384615385,OpenSet RA,r,BW,1,1
1,3,0,2,0,15,0,0,0,0,0.0,2.0,True,0.13333333333333333,OpenSet RA,r,BW,1,2
2,3,0,2,0,19,0,0,0,0,0.0,3.0,True,0.10526315789473684,OpenSet RA,r,BW,1,3
3,3,0,2,0,21,0,0,0,0,0.0,3.0,True,0.09523809523809523,OpenSet RA,r,BW,1,4
4,3,0,2,0,18,0,0,0,0,0.0,1.0,True,0.1111111111111111,OpenSet RA,r,BW,1,5
5,3,0,2,0,23,0,0,0,0,0.0,4.0,True,0.08695652173913043,OpenSet RA,r,BW,1,6
6,3,0,2,0,23,0,0,0,0,0.0,4.0,True,0.08695652173913043,OpenSet RA,r,BW,1,7
7,3,0,2,0,25,0,0,0,0,0.0,3.0,True,0.08,OpenSet RA,r,BW,1,8
8,3,0,2,0,25,0,0,0,0,0.0,2.0,True,0.08,OpenSet RA,r,BW,1,9
9,3,0,2,0,21,0,0,0,0,0.0,4.0,True,0.09523809523809523,OpenSet RA,r,BW,1,10
10,3,0,2,0,28,0,0,0,0,0.0,2.0,True,0.07142857142857142,OpenSet RA,r,BW,1,11
11,3,0,2,0,23,0,0,0,0,0.0,3.0,True,0.08695652173913043,OpenSet RA,r,BW,1,12
12,3,0,2,0,31,0,0,0,0,0.0,4.0,True,0.06451612903225806,OpenSet RA,r,BW,1,13
13,3,0,2,0,22,0,0,0,0,0.0,2.0,True,0.09090909090909091,OpenSet RA,r,BW,1,14
14,3,0,2,0,24,0,0,0,0,0.0,3.0,True,0.08333333333333333,OpenSet RA,r,BW,1,15
15,3,0,2,0,20,0,0,0,0,0.0,3.0,True,0.1,OpenSet RA,r,BW,2,1
16,3,0,2,0,23,0,0,0,0,0.0,5.0,True,0.08695652173913043,OpenSet RA,r,BW,2,2
17,3,0,2,0,21,0,0,0,0,0.0,3.0,True,0.09523809523809523,OpenSet RA,r,BW,2,3
18,3,0,2,0,20,0,0,0,0,0.0,3.0,True,0.1,OpenSet RA,r,BW,2,4
19,3,0,2,0,26,0,0,0,0,0.0,5.0,True,0.07692307692307693,OpenSet RA,r,BW,2,5
20,3,0,2,0,20,0,0,0,0,0.0,3.0,True,0.1,OpenSet RA,r,BW,2,6
21,3,0,2,0,31,0,0,0,0,0.0,5.0,True,0.06451612903225806,OpenSet RA,r,BW,2,7
22,3,0,2,0,23,0,0,0,0,0.0,3.0,True,0.08695652173913043,OpenSet RA,r,BW,2,8
23,3,0,2,0,26,0,0,0,0,0.0,4.0,True,0.07692307692307693,OpenSet RA,r,BW,2,9
24,3,0,2,0,26,0,0,0,0,0.0,2.0,True,0.07692307692307693,OpenSet RA,r,BW,2,10
25,3,0,2,0,33,0,0,0,0,0.0,5.0,True,0.06060606060606061,OpenSet RA,r,BW,2,11
26,3,0,2,0,31,0,0,0,0,0.0,5.0,True,0.06451612903225806,OpenSet RA,r,BW,2,12
27,3,0,2,0,31,0,0,0,0,0.0,3.0,True,0.06451612903225806,OpenSet RA,r,BW,2,13
28,3,0,2,0,49,0,0,0,0,0.0,5.0,True,0.04081632653061224,OpenSet RA,r,BW,2,14
29,3,0,2,0,37,0,0,0,0,0.0,4.0,True,0.05405405405405406,OpenSet RA,r,BW,2,15
30,3,0,2,0,20,0,0,0,0,0.0,5.0,True,0.1,OpenSet RA,r,BW,3,1
31,3,0,2,0,21,0,0,0,0,0.0,4.0,True,0.09523809523809523,OpenSet RA,r,BW,3,2
32,3,0,2,0,21,0,0,0,0,0.0,4.0,True,0.09523809523809523,OpenSet RA,r,BW,3,3
33,3,0,2,0,29,0,0,0,0,0.0,6.0,True,0.06896551724137931,OpenSet RA,r,BW,3,4
34,3,0,2,0,33,0,0,0,0,0.0,7.0,True,0.06060606060606061,OpenSet RA,r,BW,3,5
35,3,0,2,0,33,0,0,0,0,0.0,7.0,True,0.06060606060606061,OpenSet RA,r,BW,3,6
36,3,0,2,0,39,0,0,0,0,0.0,8.0,True,0.05128205128205128,OpenSet RA,r,BW,3,7
37,3,0,2,0,38,0,0,0,0,0.0,4.0,True,0.05263157894736842,OpenSet RA,r,BW,3,8
38,3,0,2,0,30,0,0,0,0,0.0,3.0,True,0.06666666666666667,OpenSet RA,r,BW,3,9
39,3,0,2,0,48,0,0,0,0,0.0,7.0,True,0.041666666666666664,OpenSet RA,r,BW,3,10
40,3,0,2,0,43,0,0,0,0,0.0,3.0,True,0.046511627906976744,OpenSet RA,r,BW,3,11
41,3,0,2,0,55,0,0,0,0,0.0,6.0,True,0.03636363636363636,OpenSet RA,r,BW,3,12
42,3,0,2,0,59,0,0,0,0,0.0,6.0,True,0.03389830508474576,OpenSet RA,r,BW,3,13
43,3,0,2,0,41,0,0,0,0,0.0,5.0,True,0.04878048780487805,OpenSet RA,r,BW,3,14
44,3,0,2,0,43,0,0,0,0,0.0,4.0,True,0.046511627906976744,OpenSet RA,r,BW,3,15
45,3,0,2,0,30,0,0,0,0,0.0,7.0,True,0.06666666666666667,OpenSet RA,r,BW,4,1
46,3,0,2,0,32,0,0,0,0,0.0,7.0,True,0.0625,OpenSet RA,r,BW,4,2
47,3,0,2,0,24,0,0,0,0,0.0,4.0,True,0.08333333333333333,OpenSet RA,r,BW,4,3
48,3,0,2,0,37,0,0,0,0,0.0,7.0,True,0.05405405405405406,OpenSet RA,r,BW,4,4
49,3,0,2,0,31,0,0,0,0,0.0,5.0,True,0.06451612903225806,OpenSet RA,r,BW,4,5
50,3,0,2,0,30,0,0,0,0,0.0,4.0,True,0.06666666666666667,OpenSet RA,r,BW,4,6
51,3,0,2,0,46,0,0,0,0,0.0,8.0,True,0.043478260869565216,OpenSet RA,r,BW,4,7
52,3,0,2,0,35,0,0,0,0,0.0,4.0,True,0.05714285714285714,OpenSet RA,r,BW,4,8
53,3,0,2,0,51,0,0,0,0,0.0,8.0,True,0.0392156862745098,OpenSet RA,r,BW,4,9
54,3,0,2,0,38,0,0,0,0,0.0,6.0,True,0.05263157894736842,OpenSet RA,r,BW,4,10
55,3,0,2,0,61,0,0,0,0,0.0,6.0,True,0.03278688524590164,OpenSet RA,r,BW,4,11
56,3,0,2,0,71,0,0,0,0,0.0,8.0,True,0.028169014084507043,OpenSet RA,r,BW,4,12
57,3,0,2,0,48,0,0,0,0,0.0,6.0,True,0.041666666666666664,OpenSet RA,r,BW,4,13
58,3,0,2,0,66,0,0,0,0,0.0,7.0,True,0.030303030303030304,OpenSet RA,r,BW,4,14
59,3,0,2,0,57,0,0,0,0,0.0,7.0,True,0.03508771929824561,OpenSet RA,r,BW,4,15
60,3,0,2,0,25,0,0,0,0,0.0,6.0,True,0.08,OpenSet RA,r,BW,5,1
61,3,0,2,0,27,0,0,0,0,0.0,6.0,True,0.07407407407407407,OpenSet RA,r,BW,5,2
62,3,0,2,0,29,0,0,0,0,0.0,6.0,True,0.06896551724137931,OpenSet RA,r,BW,5,3
63,3,0,2,0,45,0,0,0,0,0.0,11.0,True,0.044444444444444446,OpenSet RA,r,BW,5,4
64,3,0,2,0,33,0,0,0,0,0.0,6.0,True,0.06060606060606061,OpenSet RA,r,BW,5,5
65,3,0,2,0,34,0,0,0,0,0.0,5.0,True,0.058823529411764705,OpenSet RA,r,BW,5,6
66,3,0,2,0,42,0,0,0,0,0.0,9.0,True,0.047619047619047616,OpenSet RA,r,BW,5,7
67,3,0,2,0,41,0,0,0,0,0.0,6.0,True,0.04878048780487805,OpenSet RA,r,BW,5,8
68,3,0,2,0,48,0,0,0,0,0.0,7.0,True,0.041666666666666664,OpenSet RA,r,BW,5,9
69,3,0,2,0,72,0,0,0,0,0.0,13.0,True,0.027777777777777776,OpenSet RA,r,BW,5,10
70,3,0,2,0,49,0,0,0,0,0.0,8.0,True,0.04081632653061224,OpenSet RA,r,BW,5,11
71,3,0,2,0,66,0,0,0,0,0.0,11.0,True,0.030303030303030304,OpenSet RA,r,BW,5,12
72,3,0,2,0,59,0,0,0,0,0.0,8.0,True,0.03389830508474576,OpenSet RA,r,BW,5,13
73,3,0,2,0,87,0,0,0,0,0.0,12.0,True,0.022988505747126436,OpenSet RA,r,BW,5,14
74,3,0,2,0,67,0,0,0,0,0.0,7.0,True,0.029850746268656716,OpenSet RA,r,BW,5,15
75,3,0,2,0,32,0,0,0,0,0.0,9.0,True,0.0625,OpenSet RA,r,BW,6,1
76,3,0,2,0,32,0,0,0,0,0.0,9.0,True,0.0625,OpenSet RA,r,BW,6,2
77,3,0,2,0,43,0,0,0,0,0.0,10.0,True,0.046511627906976744,OpenSet RA,r,BW,6,3
78,3,0,2,0,56,0,0,0,0,0.0,15.0,True,0.03571428571428571,OpenSet RA,r,BW,6,4
79,3,0,2,0,38,0,0,0,0,0.0,7.0,True,0.05263157894736842,OpenSet RA,r,BW,6,5
80,3,0,2,0,62,0,0,0,0,0.0,13.0,True,0.03225806451612903,OpenSet RA,r,BW,6,6
81,3,0,2,0,71,0,0,0,0,0.0,15.0,True,0.028169014084507043,OpenSet RA,r,BW,6,7
82,3,0,2,0,62,0,0,0,0,0.0,10.0,True,0.03225806451612903,OpenSet RA,r,BW,6,8
83,3,0,2,0,52,0,0,0,0,0.0,9.0,True,0.038461538461538464,OpenSet RA,r,BW,6,9
84,3,0,2,0,67,0,0,0,0,0.0,13.0,True,0.029850746268656716,OpenSet RA,r,BW,6,10
85,3,0,2,0,67,0,0,0,0,0.0,13.0,True,0.029850746268656716,OpenSet RA,r,BW,6,11
86,3,0,2,0,69,0,0,0,0,0.0,8.0,True,0.028985507246376812,OpenSet RA,r,BW,6,12
87,3,0,2,0,105,0,0,0,0,0.0,23.0,True,0.01904761904761905,OpenSet RA,r,BW,6,13
88,3,0,2,0,76,0,0,0,0,0.0,9.0,True,0.02631578947368421,OpenSet RA,r,BW,6,14
89,3,0,2,0,99,0,0,0,0,0.0,8.0,True,0.020202020202020204,OpenSet RA,r,BW,6,15
90,3,0,2,0,37,0,0,0,0,0.0,9.0,True,0.05405405405405406,OpenSet RA,r,BW,7,1
91,3,0,2,0,38,0,0,0,0,0.0,9.0,True,0.05263157894736842,OpenSet RA,r,BW,7,2
92,3,0,2,0,41,0,0,0,0,0.0,9.0,True,0.04878048780487805,OpenSet RA,r,BW,7,3
93,3,0,2,0,65,0,0,0,0,0.0,16.0,True,0.03076923076923077,OpenSet RA,r,BW,7,4
94,3,0,2,0,46,0,0,0,0,0.0,10.0,True,0.043478260869565216,OpenSet RA,r,BW,7,5
95,3,0,2,0,51,0,0,0,0,0.0,10.0,True,0.0392156862745098,OpenSet RA,r,BW,7,6
96,3,0,2,0,55,0,0,0,0,0.0,10.0,True,0.03636363636363636,OpenSet RA,r,BW,7,7
97,3,0,2,0,57,0,0,0,0,0.0,10.0,True,0.03508771929824561,OpenSet RA,r,BW,7,8
98,3,0,2,0,68,0,0,0,0,0.0,13.0,True,0.029411764705882353,OpenSet RA,r,BW,7,9
99,3,0,2,0,64,0,0,0,0,0.0,10.0,True,0.03125,OpenSet RA,r,BW,7,10
100,3,0,2,0,104,0,0,0,0,0.0,24.0,True,0.019230769230769232,OpenSet RA,r,BW,7,11
101,3,0,2,0,97,0,0,0,0,0.0,11.0,True,0.020618556701030927,OpenSet RA,r,BW,7,12
102,3,0,2,0,84,0,0,0,0,0.0,11.0,True,0.023809523809523808,OpenSet RA,r,BW,7,13
103,3,0,2,0,97,0,0,0,0,0.0,11.0,True,0.020618556701030927,OpenSet RA,r,BW,7,14
104,3,0,2,0,98,0,0,0,0,0.0,14.0,True,0.02040816326530612,OpenSet RA,r,BW,7,15
105,3,0,2,0,53,0,0,0,0,0.0,14.0,True,0.03773584905660377,OpenSet RA,r,BW,8,1
106,3,0,2,0,49,0,0,0,0,0.0,11.0,True,0.04081632653061224,OpenSet RA,r,BW,8,2
107,3,0,2,0,69,0,0,0,0,0.0,15.0,True,0.028985507246376812,OpenSet RA,r,BW,8,3
108,3,0,2,0,80,0,0,0,0,0.0,23.0,True,0.025,OpenSet RA,r,BW,8,4
109,3,0,2,0,63,0,0,0,0,0.0,14.0,True,0.031746031746031744,OpenSet RA,r,BW,8,5
110,3,0,2,0,62,0,0,0,0,0.0,14.0,True,0.03225806451612903,OpenSet RA,r,BW,8,6
111,3,0,2,0,62,0,0,0,0,0.0,13.0,True,0.03225806451612903,OpenSet RA,r,BW,8,7
112,3,0,2,0,100,0,0,0,0,0.0,23.0,True,0.02,OpenSet RA,r,BW,8,8
113,3,0,2,0,84,0,0,0,0,0.0,22.0,True,0.023809523809523808,OpenSet RA,r,BW,8,9
114,3,0,2,0,116,0,0,0,0,0.0,21.0,True,0.017241379310344827,OpenSet RA,r,BW,8,10
115,3,0,2,0,103,0,0,0,0,0.0,14.0,True,0.019417475728155338,OpenSet RA,r,BW,8,11
116,3,0,2,0,113,0,0,0,0,0.0,21.0,True,0.017699115044247787,OpenSet RA,r,BW,8,12
117,3,0,2,0,116,0,0,0,0,0.0,13.0,True,0.017241379310344827,OpenSet RA,r,BW,8,13
118,3,0,2,0,98,0,0,0,0,0.0,13.0,True,0.02040816326530612,OpenSet RA,r,BW,8,14
119,3,0,2,0,126,0,0,0,0,0.0,28.0,True,0.015873015873015872,OpenSet RA,r,BW,8,15
120,3,0,2,0,52,0,0,0,0,0.0,12.0,True,0.038461538461538464,OpenSet RA,r,BW,9,1
121,3,0,2,0,54,0,0,0,0,0.0,14.0,True,0.037037037037037035,OpenSet RA,r,BW,9,2
122,3,0,2,0,60,0,0,0,0,0.0,15.0,True,0.03333333333333333,OpenSet RA,r,BW,9,3
123,3,0,2,0,63,0,0,0,0,0.0,16.0,True,0.031746031746031744,OpenSet RA,r,BW,9,4
