,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,15.0,2.0,0.0,1.0,0.0,15.16,new,r,BW,1,1
1,5.0,5.0,6.0,6.0,21.0,2.0,0.0,1.0,0.0,15.15,new,r,BW,1,2
2,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.17,new,r,BW,1,3
3,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.15,new,r,BW,1,4
4,5.0,5.0,6.0,6.0,19.0,2.0,0.0,1.0,0.0,15.14,new,r,BW,1,5
5,17.0,14.0,28.0,23.0,25.0,9.0,0.0,1.0,0.0,15.7,new,r,BW,2,1
6,30.0,19.0,55.0,30.0,35.0,15.0,0.0,1.0,0.0,16.66,new,r,BW,2,2
7,50.0,23.0,103.0,36.0,48.0,30.0,0.0,1.0,0.0,18.18,new,r,BW,2,3
8,74.0,27.0,169.0,42.0,62.0,51.0,0.0,1.0,0.0,21.62,new,r,BW,2,4
9,102.0,31.0,239.0,48.0,85.0,73.0,0.0,1.0,0.0,26.66,new,r,BW,2,5
10,65.0,41.0,145.0,88.0,61.0,51.0,0.0,1.0,0.0,20.66,new,r,BW,3,1
11,182.0,98.0,473.0,223.0,148.0,152.0,0.0,1.0,0.0,31.57,new,r,BW,3,2
12,419.0,154.0,1187.0,362.0,406.0,379.0,0.0,1.0,0.0,20.77,new,r,BW,3,3
13,882.0,275.0,2877.0,667.0,1480.0,981.0,0.0,1.0,0.0,34.87,new,r,BW,3,4
14,1530.0,426.0,5291.0,1055.0,4186.0,1841.0,0.0,1.0,0.0,24.62,new,r,BW,3,5
15,256.0,89.0,674.0,188.0,204.0,208.0,0.0,1.0,0.0,53.67,new,r,BW,4,1
16,1178.0,577.0,3736.0,1789.0,1999.0,1267.0,0.0,1.0,0.0,139.7,new,r,BW,4,2
17,3236.0,990.0,12260.0,3086.0,28405.0,4974.0,0.0,1.0,0.0,255.54,new,r,BW,4,3
18,8476.0,2157.0,34891.0,6860.0,256689.0,14326.0,0.0,1.0,0.0,356.13,new,r,BW,4,4
19,,,,,,,,,,,new,r,BW,4,5
20,1024.0,121.0,3138.0,180.0,1765.0,995.0,0.0,1.0,0.0,101.14,new,r,BW,5,1
21,6904.0,2489.0,26084.0,9726.0,109542.0,10194.0,0.0,1.0,0.0,325.02,new,r,BW,5,2
22,,,,,,,,,,,new,r,BW,5,3
23,,,,,,,,,,,new,r,BW,5,4
24,,,,,,,,,,,new,r,BW,5,5
