,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,6.0,8.0,7.0,1,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
1,2.0,8.0,7.0,1,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
2,3.0,8.0,7.0,1,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
3,1.0,8.0,7.0,1,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
4,2.0,8.0,7.0,1,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
5,8.0,26.0,23.0,2,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
6,10.0,38.0,30.0,2,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
7,12.0,52.0,38.0,2,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
8,20.0,83.0,52.0,2,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
9,32.0,122.0,69.0,2,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
10,18.0,94.0,76.0,3,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
11,30.0,177.0,121.0,3,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
12,64.0,327.0,201.0,3,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
13,3145.0,3126.0,1163.0,3,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
14,415.0,1076.0,504.0,3,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
15,72.0,398.0,283.0,4,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
16,3824.0,3655.0,1603.0,4,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
17,2401.0,2929.0,1455.0,4,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
18,10586.0,6268.0,2804.0,4,4,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
19,37374.0,11407.0,4801.0,4,5,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
20,1093.0,1793.0,1087.0,5,1,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
21,19918.0,8593.0,4117.0,5,2,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
22,236464.0,27766.0,11830.0,5,3,BW,11.0,105.56574487686157,192000,1e-05,20,0.1
23,,,,5,4,BW,,105.56574487686157,192000,1e-05,20,0.1
24,,,,5,5,BW,,105.56574487686157,192000,1e-05,20,0.1
