,expanded transitions,synthesis time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/0.onnx,CM,3,3,0.011956214904785156,0,1e-05,20,0.1,15,True,0
1,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/5.onnx,CM,3,3,617.4006955623627,250000,1e-05,20,0.1,15,True,5
2,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/10.onnx,CM,3,3,1082.3061137199402,500000,1e-05,20,0.1,15,True,10
3,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/15.onnx,CM,3,3,1551.1455969810486,750000,1e-05,20,0.1,15,True,15
4,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/20.onnx,CM,3,3,2000.5569517612457,1000000,1e-05,20,0.1,15,True,20
5,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/25.onnx,CM,3,3,2437.0066378116608,1250000,1e-05,20,0.1,15,True,25
6,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/30.onnx,CM,3,3,2861.363083600998,1500000,1e-05,20,0.1,15,True,30
7,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/35.onnx,CM,3,3,3282.3823833465576,1750000,1e-05,20,0.1,15,True,35
8,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/40.onnx,CM,3,3,3704.229927301407,2000000,1e-05,20,0.1,15,True,40
9,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/45.onnx,CM,3,3,4117.624316215515,2250000,1e-05,20,0.1,15,True,45
10,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/50.onnx,CM,3,3,4541.765020370483,2500000,1e-05,20,0.1,15,True,50
11,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/55.onnx,CM,3,3,5094.631698131561,2750000,1e-05,20,0.1,15,True,55
12,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/60.onnx,CM,3,3,5648.856422424316,3000000,1e-05,20,0.1,15,True,60
13,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/65.onnx,CM,3,3,6190.570556879044,3250000,1e-05,20,0.1,15,True,65
14,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/70.onnx,CM,3,3,6625.883167982101,3500000,1e-05,20,0.1,15,True,70
15,,,new,experiments/results/CM_2_2/ra_feature2opt_2h/75.onnx,CM,3,3,7065.713431119919,3750000,1e-05,20,0.1,15,True,75
