,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,15.0,15.0,18.0,18.0,218.0,4.0,0.0,1.0,0.0,14.48,17.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,1,
1,17.0,17.0,21.0,21.0,212.0,4.0,0.0,1.0,0.0,14.48,18.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,2,
2,19.0,19.0,24.0,24.0,212.0,4.0,0.0,1.0,0.0,14.99,22.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,3,
3,21.0,21.0,27.0,27.0,219.0,4.0,0.0,1.0,0.0,14.99,24.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,4,
4,23.0,23.0,30.0,30.0,217.0,4.0,0.0,1.0,0.0,15.5,24.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,5,
5,25.0,25.0,33.0,33.0,221.0,4.0,0.0,1.0,0.0,15.5,31.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,6,
6,27.0,27.0,36.0,36.0,221.0,4.0,0.0,1.0,0.0,15.5,30.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,7,
7,29.0,29.0,39.0,39.0,224.0,4.0,0.0,1.0,0.0,15.98,32.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,8,
8,31.0,31.0,42.0,42.0,228.0,4.0,0.0,1.0,0.0,15.98,31.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,9,
9,33.0,33.0,45.0,45.0,227.0,4.0,0.0,1.0,0.0,15.98,39.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,10,
10,35.0,35.0,48.0,48.0,224.0,4.0,0.0,1.0,0.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,11,
