,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
112,2575,2573,3735,3731,8109,272,0,1,0,167.94,5478.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,8,0.46059933407325193
113,2833,2831,4122,4118,9512,274,0,1,0,152.36,6370.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,9,0.43334735071488645
114,3093,3091,4512,4508,11729,276,0,1,0,25.67,8161.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,10,0.3846875266433626
115,3331,3329,4869,4865,10967,278,0,1,0,24.4,7193.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,11,0.4439682684416887
116,3565,3563,5220,5216,11848,280,0,1,0,55.55,7875.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,12,0.44058068872383527
117,3845,3843,5640,5636,13632,282,0,1,0,52.62,9039.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,13,0.4137323943661972
118,4104,4101,6029,6022,17770,286,0,1,0,157.81,12027.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,14,0.3392796848621272
119,4301,4299,6324,6320,17481,286,0,1,0,231.71,11255.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,8,15,0.36176420113265834
120,1535,1535,2046,2046,2967,512,0,1,0,221.3,1339.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,1,0.6895854398382204
121,2051,2049,2821,2817,5580,516,0,1,0,126.7,3266.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,2,0.5055555555555555
122,2565,2563,3592,3588,6809,518,0,1,0,214.56,3972.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,3,0.5275370832721398
123,3079,3077,4363,4359,11405,520,0,1,0,181.7,7314.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,4,0.38255151249451996
124,3593,3591,5134,5130,14947,522,0,1,0,209.62,9413.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,5,0.34348029704957517
125,4107,4105,5905,5901,15874,524,0,1,0,290.41,10016.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,6,0.371991936499937
126,4621,4619,6676,6672,18812,526,0,1,0,359.42,12029.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,7,0.35487986391664894
127,5135,5133,7447,7443,22826,528,0,1,0,412.6,14452.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,8,0.3262507666695873
128,5649,5647,8218,8214,27549,530,0,1,0,143.81,17743.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,9,0.2983048386511307
129,6163,6161,8989,8985,32841,532,0,1,0,111.43,21484.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,10,0.27371273712737126
130,6679,6677,9763,9759,39267,534,0,1,0,381.36,26232.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,11,0.2486311661191331
131,7171,7169,10501,10497,43852,536,0,1,0,242.87,29285.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,12,0.23946456261972088
132,7659,7657,11233,11229,56344,538,0,1,0,437.69,38801.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,13,0.19936461735056085
133,8197,8195,12040,12036,60365,540,0,1,0,283.84,41402.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,14,0.19945332560258427
134,8712,8709,12813,12806,66841,544,0,1,0,342.01,45607.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,9,15,0.19169372091979472
135,3071,3071,4094,4094,7019,1024,0,1,0,83.7,2286.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,1,0.5832739706510899
136,4099,4097,5637,5633,15319,1028,0,1,0,203.68,7413.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,2,0.36797441086232785
137,5125,5123,7176,7172,24159,1030,0,1,0,170.85,12542.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,3,0.2970321619272321
138,6151,6149,8715,8711,33699,1032,0,1,0,185.62,18875.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,4,0.2586130152230037
139,7177,7175,10254,10250,46232,1034,0,1,0,298.16,27514.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,5,0.2217944281017477
140,8203,8201,11793,11789,63628,1036,0,1,0,93.39,39514.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,6,0.1853429307851889
141,9229,9227,13332,13328,80983,1038,0,1,0,328.36,52023.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,7,0.1646271439684872
142,10255,10253,14871,14867,93850,1040,0,1,0,105.18,61129.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,8,0.15845498135322322
143,10352,0,15001,0,89359,798,0,0,0,0.0,64633.0,true,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,10,9,0.1678734095054779
144,6143,6143,8190,8190,29801,2048,0,1,0,525.44,7770.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,11,1,0.27482299251702963
145,8195,8193,11269,11265,69728,2052,0,1,0,120.56,32209.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,11,2,0.16161369894446995
146,10245,10243,14344,14340,105506,2054,0,1,0,283.03,54687.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,11,3,0.13595435330692093
147,10679,0,15001,0,78879,1532,0,0,0,0.0,49566.0,true,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,11,4,0.19017736026065238
148,11304,0,15001,0,75243,3698,0,0,0,0.0,18549.0,true,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,12,1,0.19936738301237325
