,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
21,150.0,775,363,3,3,AT,11,11.774032831192017,22000,1e-05,20,0.1,-24.526304,10,-0.49399602,-1.4108996,-2.5869768,-0.8393984,-0.58170414,-8.34465e-07,-1.2719098,-2.365878,0.658912,-2.056253,-2.1903486
22,4.0,65,39,2,2,AT,11,12.861918449401855,24000,1e-05,20,0.1,-26.781916,11,-0.3868929,-1.5837513,-2.57752,-0.83136714,-0.5798069,-7.1525574e-07,-1.6388534,-2.5689406,0.64005655,-2.242421,-2.3636508
23,192.0,780,368,3,3,AT,11,12.861918449401855,24000,1e-05,20,0.1,-26.781916,11,-0.3868929,-1.5837513,-2.57752,-0.83136714,-0.5798069,-7.1525574e-07,-1.6388534,-2.5689406,0.64005655,-2.242421,-2.3636508
24,4.0,74,41,2,2,AT,11,13.96003794670105,26000,1e-05,20,0.1,-28.568882,12,-0.34939164,-1.7648797,-2.5412486,-0.795515,-0.59085864,-9.536743e-07,-2.068478,-2.7571852,0.6397567,-2.4470663,-2.5033374
25,182.0,806,373,3,3,AT,11,13.96003794670105,26000,1e-05,20,0.1,-28.568882,12,-0.34939164,-1.7648797,-2.5412486,-0.795515,-0.59085864,-9.536743e-07,-2.068478,-2.7571852,0.6397567,-2.4470663,-2.5033374
26,4.0,67,39,2,2,AT,11,15.02591586112976,28000,1e-05,20,0.1,-30.467293,13,-0.27554646,-1.846987,-2.5250928,-0.6701843,-0.58411044,-1.1920929e-06,-2.4730637,-2.9758472,0.6325738,-2.540807,-2.7091026
27,225.0,806,373,3,3,AT,11,15.02591586112976,28000,1e-05,20,0.1,-30.467293,13,-0.27554646,-1.846987,-2.5250928,-0.6701843,-0.58411044,-1.1920929e-06,-2.4730637,-2.9758472,0.6325738,-2.540807,-2.7091026
28,4.0,61,37,2,2,AT,11,16.09360933303833,30000,1e-05,20,0.1,-31.984962,14,-0.2889126,-1.8072226,-2.3889635,-0.6615844,-0.5781594,-1.1920929e-06,-2.9327538,-3.2332087,0.6259117,-2.691575,-2.9726822
29,173.0,797,370,3,3,AT,11,16.09360933303833,30000,1e-05,20,0.1,-31.984962,14,-0.2889126,-1.8072226,-2.3889635,-0.6615844,-0.5781594,-1.1920929e-06,-2.9327538,-3.2332087,0.6259117,-2.691575,-2.9726822
30,58.0,61,37,2,2,AT,11,17.15838098526001,32000,1e-05,20,0.1,-33.566692,15,-0.24140324,-1.8029261,-2.3005636,-0.61074746,-0.5617779,-2.1457672e-06,-3.4139774,-3.4907372,0.58602947,-2.771237,-3.2490003
31,206.0,818,400,3,3,AT,11,17.15838098526001,32000,1e-05,20,0.1,-33.566692,15,-0.24140324,-1.8029261,-2.3005636,-0.61074746,-0.5617779,-2.1457672e-06,-3.4139774,-3.4907372,0.58602947,-2.771237,-3.2490003
32,4.0,60,37,2,2,AT,11,18.2522976398468,34000,1e-05,20,0.1,-35.51301,16,-0.34732634,-1.6345881,-2.2112281,-0.48435444,-0.51716185,-1.66893e-06,-3.760282,-3.722831,0.54893535,-2.7132478,-3.4591644
33,178.0,800,394,3,3,AT,11,18.2522976398468,34000,1e-05,20,0.1,-35.51301,16,-0.34732634,-1.6345881,-2.2112281,-0.48435444,-0.51716185,-1.66893e-06,-3.760282,-3.722831,0.54893535,-2.7132478,-3.4591644
34,4.0,73,41,2,2,AT,11,19.324047803878784,36000,1e-05,20,0.1,-36.62543,17,-0.2318305,-1.580226,-2.1201334,-0.43995458,-0.5022564,-1.66893e-06,-4.369186,-4.022564,0.52984357,-2.7466538,-3.8187234
35,222.0,791,407,3,3,AT,11,19.324047803878784,36000,1e-05,20,0.1,-36.62543,17,-0.2318305,-1.580226,-2.1201334,-0.43995458,-0.5022564,-1.66893e-06,-4.369186,-4.022564,0.52984357,-2.7466538,-3.8187234
36,3.0,60,37,2,2,AT,11,20.4166841506958,38000,1e-05,20,0.1,-37.57785,18,-0.2176024,-1.4710128,-2.0206184,-0.35136637,-0.44888765,-2.6226044e-06,-5.0312967,-4.177113,0.5077706,-2.7055936,-4.1794534
