,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,10.0,87,49,2,2,AT,11,1522.1541430950165,2400000,-82.37558111884891,0
1,312.0,1048,503,3,3,AT,11,1522.1541430950165,2400000,-82.37558111884891,0
2,10.0,87,49,2,2,AT,11,1668.1384303569794,2600000,-81.81768626985532,1
3,351.0,1041,501,3,3,AT,11,1668.1384303569794,2600000,-81.81768626985532,1
4,10.0,87,49,2,2,AT,11,1242.3436193466187,2000000,-82.34968506229167,2
5,381.0,1041,501,3,3,AT,11,1242.3436193466187,2000000,-82.34968506229167,2
6,12.0,87,49,2,2,AT,11,968.7405202388763,1600000,-81.47243103798066,3
7,305.0,1041,501,3,3,AT,11,968.7405202388763,1600000,-81.47243103798066,3
8,10.0,87,49,2,2,AT,11,1381.4278590679169,2200000,-81.97279347166348,4
9,357.0,1048,503,3,3,AT,11,1381.4278590679169,2200000,-81.97279347166348,4
10,10.0,87,49,2,2,AT,11,344.3550841808319,600000,-78.12817251415896,5
11,381.0,1048,503,3,3,AT,11,344.3550841808319,600000,-78.12817251415896,5
12,10.0,87,49,2,2,AT,11,1103.77747631073,1800000,-81.81382512135589,6
13,305.0,1041,501,3,3,AT,11,1103.77747631073,1800000,-81.81382512135589,6
14,7.0,67,37,2,2,AT,11,113.11430191993713,200000,-58.51213870407996,7
15,230.0,627,280,3,3,AT,11,113.11430191993713,200000,-58.51213870407996,7
16,10.0,87,49,2,2,AT,11,839.828843832016,1400000,-82.02929911922332,8
17,296.0,1041,501,3,3,AT,11,839.828843832016,1400000,-82.02929911922332,8
18,10.0,87,49,2,2,AT,11,587.0699343681335,1000000,-81.5363026749641,9
19,402.0,1048,503,3,3,AT,11,587.0699343681335,1000000,-81.5363026749641,9
20,7.0,61,33,2,2,AT,11,225.98001337051392,400000,-58.67792485142363,10
21,213.0,725,337,3,3,AT,11,225.98001337051392,400000,-58.67792485142363,10
22,10.0,87,49,2,2,AT,11,464.4305112361908,800000,-79.74998005656214,11
23,354.0,1048,503,3,3,AT,11,464.4305112361908,800000,-79.74998005656214,11
24,10.0,87,49,2,2,AT,11,711.9566085338593,1200000,-81.85840393538427,12
25,308.0,1041,501,3,3,AT,11,711.9566085338593,1200000,-81.85840393538427,12
