,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,6,6,8,8,18,2,0,2,0,15.18,new,r,AT,1,1
1,6,6,8,8,19,2,0,2,0,15.21,new,r,AT,1,2
2,7,6,9,8,20,2,0,2,0,15.23,new,r,AT,1,3
3,6,6,8,8,22,2,0,2,0,15.63,new,r,AT,1,4
4,6,6,8,8,23,2,0,2,0,15.62,new,r,AT,1,5
5,5,0,4,0,19,0,0,0,1,0.0,new,r,AT,2,1
6,33,25,54,38,44,11,0,1,4,17.14,new,r,AT,2,2
7,35,20,52,30,50,7,0,1,4,17.62,new,r,AT,2,3
8,60,22,94,35,74,13,0,1,7,20.18,new,r,AT,2,4
9,73,22,110,35,88,13,0,1,8,22.18,new,r,AT,2,5
10,5,0,4,0,27,0,0,0,1,0.0,new,r,AT,3,1
11,146,0,219,0,162,7,0,0,32,0.0,new,r,AT,3,2
12,291,117,544,199,268,76,0,1,102,36.92,new,r,AT,3,3
13,454,136,814,240,367,55,0,1,128,54.96,new,r,AT,3,4
14,701,119,1363,221,676,72,0,1,250,117.06,new,r,AT,3,5
15,5,0,4,0,45,0,0,0,1,0.0,new,r,AT,4,1
16,307,0,375,0,257,0,0,0,74,0.0,new,r,AT,4,2
17,1480,0,2552,0,1390,203,0,0,559,0.0,new,r,AT,4,3
18,3377,785,6991,1571,4898,387,0,1,2062,201.91,new,r,AT,4,4
19,5761,826,12193,1662,7195,310,0,1,3270,153.87,new,r,AT,4,5
20,5,0,4,0,33,0,0,0,1,0.0,new,r,AT,5,1
21,1229,0,1639,0,773,0,0,0,342,0.0,new,r,AT,5,2
22,4145,0,5986,0,2449,0,0,0,1753,0.0,new,r,AT,5,3
23,11169,0,17350,0,8268,0,0,0,5662,60.43,new,r,AT,5,4
24,41773,6229,88942,13592,382827,2157,0,1,31760,561.25,new,r,AT,5,5
