,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,8.0,68,42,2,2,AT,11,1483.008222579956,2400000,-34.08986182614522,0
1,820.0,787,425,3,3,AT,11,1483.008222579956,2400000,-34.08986182614522,0
2,3.0,35,23,2,2,AT,11,1622.9371819496155,2600000,-25.30331536331435,1
3,561.0,918,530,3,3,AT,11,1622.9371819496155,2600000,-25.30331536331435,1
4,9.0,70,43,2,2,AT,11,1209.2585730552673,2000000,-34.9949866568423,2
5,311.0,762,416,3,3,AT,11,1209.2585730552673,2000000,-34.9949866568423,2
6,5.0,51,30,2,2,AT,11,941.8999035358429,1600000,-32.07828374498749,3
7,414.0,805,436,3,3,AT,11,941.8999035358429,1600000,-32.07828374498749,3
8,7.0,67,42,2,2,AT,11,1343.2373640537262,2200000,-35.98885601745852,4
9,426.0,778,426,3,3,AT,11,1343.2373640537262,2200000,-35.98885601745852,4
10,11.0,78,49,2,2,AT,11,337.59813356399536,600000,-21.125333628720465,5
11,458.0,981,557,3,3,AT,11,337.59813356399536,600000,-21.125333628720465,5
12,8.0,74,44,2,2,AT,11,1073.0829615592957,1800000,-34.815452769182514,6
13,322.0,784,425,3,3,AT,11,1073.0829615592957,1800000,-34.815452769182514,6
14,9.0,80,49,2,2,AT,11,108.62372374534607,200000,-18.758668464544503,7
15,392.0,775,452,3,3,AT,11,108.62372374534607,200000,-18.758668464544503,7
16,8.0,66,38,2,2,AT,11,815.3534433841705,1400000,-30.54507926464118,8
17,372.0,771,424,3,3,AT,11,815.3534433841705,1400000,-30.54507926464118,8
18,9.0,77,49,2,2,AT,11,570.7131955623627,1000000,-28.60985929541066,9
19,355.0,743,451,3,3,AT,11,570.7131955623627,1000000,-28.60985929541066,9
20,10.0,77,48,2,2,AT,11,220.431232213974,400000,-20.197380991957104,10
21,468.0,982,547,3,3,AT,11,220.431232213974,400000,-20.197380991957104,10
22,7.0,56,40,2,2,AT,11,1757.303066253662,2800000,-25.47869546414008,11
23,137.0,543,358,3,3,AT,11,1757.303066253662,2800000,-25.47869546414008,11
24,8.0,71,44,2,2,AT,11,453.64089822769165,800000,-23.99911085330672,12
25,369.0,957,556,3,3,AT,11,453.64089822769165,800000,-23.99911085330672,12
26,9.0,76,51,2,2,AT,11,695.4522693157196,1200000,-29.629363475500842,13
27,295.0,746,463,3,3,AT,11,695.4522693157196,1200000,-29.629363475500842,13
