,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,6,6,8,8,23,2,0,2,0,16.18,old,r,AT,1,1
1,6,6,8,8,25,2,0,2,0,16.18,old,r,AT,1,2
2,7,6,9,8,25,2,0,2,0,16.18,old,r,AT,1,3
3,6,6,8,8,22,2,0,2,0,16.21,old,r,AT,1,4
4,6,6,8,8,33,2,0,2,0,16.66,old,r,AT,1,5
5,5,0,4,0,22,0,0,0,1,15.14,old,r,AT,2,1
6,33,22,55,35,42,12,0,1,4,18.18,old,r,AT,2,2
7,35,20,52,30,55,7,0,1,4,18.66,old,r,AT,2,3
8,43,20,62,30,68,11,0,2,2,19.62,old,r,AT,2,4
9,48,20,70,30,81,12,0,2,2,20.66,old,r,AT,2,5
10,5,0,4,0,30,0,0,0,1,15.14,old,r,AT,3,1
11,146,0,219,0,120,10,0,0,32,15.14,old,r,AT,3,2
12,246,92,414,150,223,44,0,1,60,20.01,old,r,AT,3,3
13,359,93,592,152,299,75,0,1,72,42.07,old,r,AT,3,4
14,657,104,1176,180,632,108,0,1,170,119.14,old,r,AT,3,5
15,5,0,4,0,40,0,0,0,1,15.14,old,r,AT,4,1
16,311,0,379,0,218,0,0,0,76,15.14,old,r,AT,4,2
17,1483,0,2555,0,1108,201,0,0,562,140.83,old,r,AT,4,3
18,3377,730,6971,1507,4492,371,0,1,2054,220.69,old,r,AT,4,4
19,5761,793,12193,1596,7388,310,0,1,3270,174.93,old,r,AT,4,5
20,5,0,4,0,39,0,0,0,1,15.14,old,r,AT,5,1
21,1230,0,1640,0,743,0,0,0,343,15.62,old,r,AT,5,2
22,4144,0,5985,0,2275,0,0,0,1752,39.7,old,r,AT,5,3
23,11169,0,17350,0,7779,0,0,0,5662,187.03,old,r,AT,5,4
24,41773,6603,88948,14432,442726,2163,0,1,31760,552.04,old,r,AT,5,5
