,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,89.0,55,33,2,2,AT,11,1310.9581801891327,2400000,-36.201981550545085,0
1,427.0,847,530,3,3,AT,11,1310.9581801891327,2400000,-36.201981550545085,0
2,7.0,63,40,2,2,AT,11,1763.572077512741,3200000,-34.839002575540135,1
3,384.0,660,371,3,3,AT,11,1763.572077512741,3200000,-34.839002575540135,1
4,5.0,45,26,2,2,AT,11,1423.6084418296814,2600000,-35.93729881402619,2
5,402.0,951,550,3,3,AT,11,1423.6084418296814,2600000,-35.93729881402619,2
6,8.0,60,37,2,2,AT,11,1089.512990951538,2000000,-33.31884090116907,3
7,236.0,750,402,3,3,AT,11,1089.512990951538,2000000,-33.31884090116907,3
8,6.0,48,29,2,2,AT,11,872.144446849823,1600000,-38.75266648362113,4
9,228.0,691,412,3,3,AT,11,872.144446849823,1600000,-38.75266648362113,4
10,9.0,78,48,2,2,AT,11,1199.443598985672,2200000,-36.04058308209979,5
11,465.0,925,545,3,3,AT,11,1199.443598985672,2200000,-36.04058308209979,5
12,8.0,72,43,2,2,AT,11,321.5643389225006,600000,-29.519473467606794,6
13,285.0,824,459,3,3,AT,11,321.5643389225006,600000,-29.519473467606794,6
14,8.0,72,46,2,2,AT,11,980.350175857544,1800000,-37.960306693871665,7
15,424.0,907,553,3,3,AT,11,980.350175857544,1800000,-37.960306693871665,7
16,8.0,67,47,2,2,AT,11,105.12474489212036,200000,-28.657450146099404,8
17,326.0,829,514,3,3,AT,11,105.12474489212036,200000,-28.657450146099404,8
18,8.0,63,42,2,2,AT,11,764.7616641521454,1400000,-38.52997858934006,9
19,265.0,807,443,3,3,AT,11,764.7616641521454,1400000,-38.52997858934006,9
20,7.0,69,45,2,2,AT,11,547.515636920929,1000000,-34.347530439956316,10
21,321.0,926,560,3,3,AT,11,547.515636920929,1000000,-34.347530439956316,10
22,9.0,73,45,2,2,AT,11,211.92454743385315,400000,-25.03533576483468,11
23,403.0,991,510,3,3,AT,11,211.92454743385315,400000,-25.03533576483468,11
24,9.0,74,46,2,2,AT,11,1537.3495419025421,2800000,-32.64399738882711,12
25,377.0,881,560,3,3,AT,11,1537.3495419025421,2800000,-32.64399738882711,12
26,8.0,65,43,2,2,AT,11,1650.2403411865234,3000000,-34.40071556800403,13
27,391.0,857,505,3,3,AT,11,1650.2403411865234,3000000,-34.40071556800403,13
28,9.0,74,45,2,2,AT,11,433.639524936676,800000,-29.832484214100763,14
29,287.0,917,491,3,3,AT,11,433.639524936676,800000,-29.832484214100763,14
30,4.0,38,25,2,2,AT,11,657.0549895763397,1200000,-36.252294598310456,15
31,283.0,643,324,3,3,AT,11,657.0549895763397,1200000,-36.252294598310456,15
