,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,5.0,8.0,6.0,1,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
1,3.0,8.0,6.0,1,2,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
2,3.0,8.0,6.0,1,3,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
3,2.0,8.0,6.0,1,4,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
4,2.0,8.0,6.0,1,5,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
5,3.0,8.0,6.0,1,6,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
6,2.0,8.0,6.0,1,7,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
7,2.0,8.0,6.0,1,8,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
8,2.0,8.0,6.0,1,9,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
9,2.0,8.0,6.0,1,10,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
10,4.0,19.0,12.0,1,11,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
11,4.0,21.0,13.0,1,12,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
12,68.0,21.0,13.0,1,13,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
13,2.0,8.0,6.0,1,14,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
14,2.0,8.0,6.0,1,15,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
15,3.0,20.0,15.0,2,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
16,5.0,35.0,23.0,2,2,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
17,7.0,54.0,31.0,2,3,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
18,7.0,48.0,31.0,2,4,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
19,11.0,65.0,39.0,2,5,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
20,6.0,47.0,32.0,2,6,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
21,11.0,65.0,42.0,2,7,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
22,121.0,297.0,145.0,2,8,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
23,110.0,308.0,147.0,2,9,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
24,19.0,81.0,53.0,2,10,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
25,16.0,65.0,42.0,2,11,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
26,112.0,186.0,96.0,2,12,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
27,263.0,657.0,286.0,2,13,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
28,380.0,721.0,305.0,2,14,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
29,18.0,91.0,59.0,2,15,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
30,3.0,45.0,35.0,3,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
31,101.0,411.0,258.0,3,2,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
32,84.0,396.0,272.0,3,3,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
33,161.0,488.0,319.0,3,4,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
34,439.0,971.0,540.0,3,5,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
35,566.0,1003.0,568.0,3,6,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
36,,,,3,7,AT,,107.54139351844788,192000,1e-05,20,0.1
37,529.0,743.0,378.0,3,8,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
38,,,,3,9,AT,,107.54139351844788,192000,1e-05,20,0.1
39,,,,3,10,AT,,107.54139351844788,192000,1e-05,20,0.1
40,778.0,758.0,408.0,3,11,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
41,,,,3,12,AT,,107.54139351844788,192000,1e-05,20,0.1
42,,,,3,13,AT,,107.54139351844788,192000,1e-05,20,0.1
43,,,,3,14,AT,,107.54139351844788,192000,1e-05,20,0.1
44,,,,3,15,AT,,107.54139351844788,192000,1e-05,20,0.1
45,5.0,59.0,49.0,4,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
46,334.0,1127.0,830.0,4,2,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
47,,,,4,3,AT,,107.54139351844788,192000,1e-05,20,0.1
48,,,,4,4,AT,,107.54139351844788,192000,1e-05,20,0.1
49,,,,4,5,AT,,107.54139351844788,192000,1e-05,20,0.1
50,,,,4,6,AT,,107.54139351844788,192000,1e-05,20,0.1
51,,,,4,8,AT,,107.54139351844788,192000,1e-05,20,0.1
52,,,,4,11,AT,,107.54139351844788,192000,1e-05,20,0.1
53,40.0,121.0,99.0,5,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
54,,,,5,2,AT,,107.54139351844788,192000,1e-05,20,0.1
55,108.0,307.0,244.0,6,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
56,,,,6,2,AT,,107.54139351844788,192000,1e-05,20,0.1
57,77.0,150.0,151.0,7,1,AT,11.0,107.54139351844788,192000,1e-05,20,0.1
58,,,,7,2,AT,,107.54139351844788,192000,1e-05,20,0.1
59,,,,8,1,AT,,107.54139351844788,192000,1e-05,20,0.1
60,,,,9,1,AT,,107.54139351844788,192000,1e-05,20,0.1
61,,,,10,1,AT,,107.54139351844788,192000,1e-05,20,0.1
62,,,,11,1,AT,,107.54139351844788,192000,1e-05,20,0.1
63,,,,12,1,AT,,107.54139351844788,192000,1e-05,20,0.1
64,,,,13,1,AT,,107.54139351844788,192000,1e-05,20,0.1
65,,,,14,1,AT,,107.54139351844788,192000,1e-05,20,0.1
66,,,,15,1,AT,,107.54139351844788,192000,1e-05,20,0.1
