,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,4.0,0.0,3.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,1,
1,5.0,0.0,4.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,2,
2,6.0,0.0,5.0,0.0,150.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,3,
3,7.0,0.0,6.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,4,
4,8.0,0.0,7.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,5,
5,9.0,0.0,8.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,6,
6,10.0,0.0,9.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,7,
7,11.0,0.0,10.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,8,
8,12.0,0.0,11.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,9,
9,13.0,0.0,12.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,10,
10,14.0,0.0,13.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,11,
11,15.0,0.0,14.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,12,
12,16.0,0.0,15.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,13,
13,17.0,0.0,16.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,14,
14,18.0,0.0,17.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,1,15,
15,57.0,25.0,72.0,32.0,207.0,6.0,2.0,1.0,0.0,15.95,51.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,1,
16,61.0,25.0,71.0,29.0,227.0,5.0,1.0,1.0,0.0,15.47,58.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,2,
17,67.0,27.0,78.0,31.0,215.0,5.0,1.0,1.0,0.0,16.0,48.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,3,
18,73.0,29.0,84.0,33.0,204.0,5.0,1.0,1.0,0.0,16.48,54.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,4,
19,79.0,31.0,90.0,35.0,232.0,5.0,1.0,1.0,0.0,16.48,50.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,5,
20,85.0,33.0,96.0,37.0,225.0,5.0,1.0,1.0,0.0,16.48,51.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,6,
21,91.0,35.0,102.0,39.0,225.0,5.0,1.0,1.0,0.0,16.96,44.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,7,
22,72.0,37.0,83.0,41.0,225.0,5.0,1.0,1.0,0.0,16.48,51.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,8,
23,75.0,39.0,86.0,43.0,226.0,5.0,1.0,1.0,0.0,16.96,60.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,9,
24,79.0,41.0,90.0,45.0,232.0,5.0,1.0,1.0,0.0,16.96,58.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,10,
25,83.0,43.0,94.0,47.0,237.0,5.0,1.0,1.0,0.0,16.96,64.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,11,
26,127.0,45.0,141.0,49.0,250.0,7.0,2.0,1.0,0.0,18.96,68.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,12,
27,133.0,47.0,147.0,51.0,259.0,7.0,2.0,1.0,0.0,19.44,80.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,13,
28,139.0,49.0,153.0,53.0,281.0,7.0,2.0,1.0,0.0,19.92,85.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,14,
29,145.0,51.0,159.0,55.0,266.0,7.0,2.0,1.0,0.0,19.92,85.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,2,15,
30,243.0,55.0,291.0,71.0,343.0,6.0,5.0,1.0,0.0,20.48,158.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,3,1,
31,293.0,37.0,335.0,45.0,364.0,6.0,5.0,1.0,0.0,21.44,174.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,3,2,
32,350.0,57.0,392.0,65.0,331.0,6.0,5.0,1.0,0.0,22.48,144.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,3,3,
33,407.0,62.0,449.0,70.0,368.0,6.0,5.0,1.0,0.0,23.92,192.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,3,4,
34,464.0,46.0,506.0,54.0,454.0,6.0,5.0,1.0,0.0,24.96,248.0,True,new,experiments/results/DP_2_2/focused_7/9.onnx,DP,3,5,
