,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,2560,602,6494,1380,9133,1080,274,1,273,221.63,3355.0,new,experiments/results/DP_2_2/TB_5mill/0.onnx,DP,3,3,1.5783941745758057,0,1e-05,20,0.1,15,True,10000,True,10000,True,0
1,1236,276,2248,576,1901,42,68,151,39,136.41,1327.0,new,experiments/results/DP_2_2/TB_5mill/5.onnx,DP,3,3,374.1783196926117,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5
2,471,52,722,73,510,8,1,154,29,63.73,198.0,new,experiments/results/DP_2_2/TB_5mill/10.onnx,DP,3,3,739.0154683589935,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10
3,829,190,1444,384,643,40,0,357,49,135.69,289.0,new,experiments/results/DP_2_2/TB_5mill/15.onnx,DP,3,3,1105.183385848999,750000,1e-05,20,0.1,15,True,10000,True,10000,True,15
4,1729,617,3896,1375,4944,1047,25,71,115,98.73,2644.0,new,experiments/results/DP_2_2/TB_5mill/20.onnx,DP,3,3,1475.006541967392,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,20
5,1132,585,2406,1297,2815,377,102,14,74,64.64,1766.0,new,experiments/results/DP_2_2/TB_5mill/25.onnx,DP,3,3,1844.2122750282288,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,25
6,498,174,977,353,778,138,27,18,1,57.68,386.0,new,experiments/results/DP_2_2/TB_5mill/30.onnx,DP,3,3,2209.8641681671143,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30
7,2354,735,5439,1656,7362,867,146,110,144,279.71,5417.0,new,experiments/results/DP_2_2/TB_5mill/35.onnx,DP,3,3,2578.7618391513824,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35
8,1264,260,2907,545,3189,675,1,1,48,122.83,1970.0,new,experiments/results/DP_2_2/TB_5mill/40.onnx,DP,3,3,2950.874052286148,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40
9,900,128,1791,250,1532,371,4,1,16,135.89,884.0,new,experiments/results/DP_2_2/TB_5mill/45.onnx,DP,3,3,3320.9398369789124,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
10,2787,431,7019,1031,12486,1482,16,5,311,379.06,6605.0,new,experiments/results/DP_2_2/TB_5mill/50.onnx,DP,3,3,3692.5100259780884,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50
11,1808,189,3661,314,4538,157,35,122,39,160.24,3567.0,new,experiments/results/DP_2_2/TB_5mill/55.onnx,DP,3,3,4065.0754024982452,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55
12,568,92,870,156,981,46,3,5,0,86.61,603.0,new,experiments/results/DP_2_2/TB_5mill/60.onnx,DP,3,3,4435.884192943573,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,60
13,1108,114,2074,193,2343,168,52,3,11,131.21,1610.0,new,experiments/results/DP_2_2/TB_5mill/65.onnx,DP,3,3,4807.077747106552,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,65
14,2784,243,7092,528,13393,2343,0,1,354,307.27,6320.0,new,experiments/results/DP_2_2/TB_5mill/70.onnx,DP,3,3,5177.305357694626,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,70
15,2779,612,7148,1522,14951,2447,8,1,303,281.59,6996.0,new,experiments/results/DP_2_2/TB_5mill/75.onnx,DP,3,3,5553.3495416641235,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,75
16,2781,233,7331,513,13801,2253,53,3,138,135.16,5529.0,new,experiments/results/DP_2_2/TB_5mill/80.onnx,DP,3,3,5923.320730447769,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,80
17,2823,1723,7104,4210,15786,2336,63,19,413,482.15,7358.0,new,experiments/results/DP_2_2/TB_5mill/85.onnx,DP,3,3,6291.957095623016,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,85
18,2779,1132,7051,2745,17524,2316,4,6,292,298.08,9170.0,new,experiments/results/DP_2_2/TB_5mill/90.onnx,DP,3,3,6662.822673559189,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,90
19,2806,431,6892,1031,15085,2508,3,8,391,337.14,7690.0,new,experiments/results/DP_2_2/TB_5mill/95.onnx,DP,3,3,7034.361264228821,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,95
20,2708,431,6787,1031,15641,2514,8,7,117,406.56,8616.0,new,experiments/results/DP_2_2/TB_5mill/100.onnx,DP,3,3,7407.188210248947,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,100
