,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,avg q,idx
0,1.5783941745758057,0,1e-05,20,0.1,15,True,10000,True,10000,True,0.41389963,0
1,73.95772194862366,50000,1e-05,20,0.1,15,True,10000,True,10000,True,-3.7769032,1
2,149.51090502738953,100000,1e-05,20,0.1,15,True,10000,True,10000,True,-7.9916587,2
3,225.04629588127136,150000,1e-05,20,0.1,15,True,10000,True,10000,True,-12.168112,3
4,300.704469203949,200000,1e-05,20,0.1,15,True,10000,True,10000,True,-16.430414,4
5,374.1783196926117,250000,1e-05,20,0.1,15,True,10000,True,10000,True,-20.445074,5
6,445.93376541137695,300000,1e-05,20,0.1,15,True,10000,True,10000,True,-22.060349,6
7,518.7321083545685,350000,1e-05,20,0.1,15,True,10000,True,10000,True,-19.988955,7
8,593.3516499996185,400000,1e-05,20,0.1,15,True,10000,True,10000,True,-26.653482,8
9,665.7710113525391,450000,1e-05,20,0.1,15,True,10000,True,10000,True,-23.312325,9
10,739.0154683589935,500000,1e-05,20,0.1,15,True,10000,True,10000,True,-20.622322,10
11,813.5022060871124,550000,1e-05,20,0.1,15,True,10000,True,10000,True,-29.028952,11
12,886.0157597064972,600000,1e-05,20,0.1,15,True,10000,True,10000,True,-32.961933,12
13,958.0369205474854,650000,1e-05,20,0.1,15,True,10000,True,10000,True,-27.611328,13
14,1031.930382490158,700000,1e-05,20,0.1,15,True,10000,True,10000,True,-34.29022,14
15,1105.183385848999,750000,1e-05,20,0.1,15,True,10000,True,10000,True,-26.787361,15
16,1179.9505698680878,800000,1e-05,20,0.1,15,True,10000,True,10000,True,-28.27058,16
17,1254.8248927593231,850000,1e-05,20,0.1,15,True,10000,True,10000,True,-34.224968,17
18,1328.882747888565,900000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.027935,18
19,1401.1486270427704,950000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.24974,19
20,1475.006541967392,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,-35.905827,20
21,1548.44984292984,1050000,1e-05,20,0.1,15,True,10000,True,10000,True,-38.06458,21
22,1622.5226027965546,1100000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.366745,22
23,1695.8724863529205,1150000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.24408,23
24,1769.5234069824219,1200000,1e-05,20,0.1,15,True,10000,True,10000,True,-42.049473,24
25,1844.2122750282288,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.001484,25
26,1917.44602394104,1300000,1e-05,20,0.1,15,True,10000,True,10000,True,-42.360718,26
